# wavelength_A flux_erg/s/cm2/A
# # Teff=6969.0 logg=2.0 [M/H]=0.036
1.000000e+02 4.313549e+02
1.006939e+02 3.910581e-07
1.013925e+02 1.349846e+04
1.020961e+02 1.535078e+08
1.028045e+02 2.302349e+03
1.035178e+02 8.385439e+04
1.042361e+02 9.480111e+00
1.049593e+02 6.772590e+06
1.056876e+02 1.058346e+04
1.064209e+02 2.408133e+04
1.071593e+02 5.986711e+02
1.079029e+02 1.546117e+08
1.086516e+02 4.235703e+02
1.094055e+02 2.828227e+05
1.101646e+02 1.119939e+05
1.109290e+02 5.880102e+02
1.116987e+02 3.525583e+00
1.124737e+02 1.189053e+01
1.132541e+02 5.113852e-04
1.140400e+02 1.417091e+06
1.148312e+02 7.172742e+07
1.156280e+02 2.988130e+02
1.164303e+02 3.019146e+02
1.172382e+02 3.218286e-01
1.180517e+02 1.511528e+02
1.188708e+02 2.565619e+04
1.196956e+02 1.346389e+06
1.205261e+02 8.744832e-01
1.213624e+02 3.217023e+01
1.222045e+02 5.946347e-03
1.230524e+02 9.579662e+01
1.239062e+02 5.522322e+06
1.247660e+02 8.524245e+04
1.256317e+02 5.574202e+00
1.265034e+02 1.956222e+04
1.273811e+02 2.025494e+05
1.282650e+02 5.220309e+04
1.291550e+02 1.528512e+05
1.300511e+02 3.803471e+04
1.309535e+02 7.504625e+08
1.318621e+02 8.583918e+02
1.327771e+02 5.267116e+03
1.336984e+02 9.427234e+03
1.346261e+02 8.780820e-04
1.355602e+02 2.145944e+06
1.365008e+02 1.140153e+09
1.374479e+02 2.449961e+07
1.384016e+02 1.360449e+05
1.393619e+02 9.339560e+09
1.403289e+02 2.381179e+07
1.413026e+02 1.891388e+06
1.422830e+02 6.041368e+02
1.432703e+02 1.864354e+06
1.442644e+02 3.269699e+03
1.452654e+02 1.510881e+06
1.462733e+02 2.326197e-01
1.472883e+02 7.637174e-31
1.483103e+02 5.578129e-31
1.493393e+02 4.957132e-31
1.503755e+02 9.895801e-31
1.514189e+02 7.481343e-31
1.524696e+02 6.040708e-31
1.535275e+02 4.983501e-31
1.545928e+02 1.112375e-30
1.556654e+02 8.250695e-31
1.567455e+02 8.783709e-31
1.578331e+02 5.151878e-31
1.589283e+02 6.200206e-31
1.600310e+02 9.612065e-31
1.611414e+02 1.066057e-30
1.622595e+02 8.694818e-31
1.633854e+02 1.133901e-30
1.645191e+02 1.051392e-30
1.656606e+02 8.548961e-31
1.668101e+02 9.392149e-31
1.679675e+02 1.351783e-30
1.691330e+02 1.398229e-30
1.703065e+02 1.002027e-30
