# wavelength_A flux_erg/s/cm2/A
# # Teff=6969.0 logg=0.2 [M/H]=0.2
1.000000e+02 3.965414e+06
1.006939e+02 6.449492e+07
1.013925e+02 3.286071e+09
1.020961e+02 9.657786e+06
1.028045e+02 1.476280e-01
1.035178e+02 1.766347e+02
1.042361e+02 2.326625e+04
1.049593e+02 1.245431e+06
1.056876e+02 1.142264e+01
1.064209e+02 1.310377e+03
1.071593e+02 2.763429e+01
1.079029e+02 1.642831e+02
1.086516e+02 1.109606e+00
1.094055e+02 3.556359e+00
1.101646e+02 1.412408e+02
1.109290e+02 1.662411e+01
1.116987e+02 1.780636e+00
1.124737e+02 3.008951e+01
1.132541e+02 4.028738e+02
1.140400e+02 1.046100e+04
1.148312e+02 2.004794e+04
1.156280e+02 4.049940e+02
1.164303e+02 8.675179e-02
1.172382e+02 9.279000e+02
1.180517e+02 5.098957e+04
1.188708e+02 1.182412e+01
1.196956e+02 1.733442e+04
1.205261e+02 7.111670e+04
1.213624e+02 9.239971e+10
1.222045e+02 3.589218e+04
1.230524e+02 7.778227e+09
1.239062e+02 1.456575e-02
1.247660e+02 7.830457e+01
1.256317e+02 2.962942e+02
1.265034e+02 9.282943e+04
1.273811e+02 7.161442e-01
1.282650e+02 1.659054e+05
1.291550e+02 4.928229e+04
1.300511e+02 8.412385e+02
1.309535e+02 1.989393e-01
1.318621e+02 1.049477e+02
1.327771e+02 1.067066e+02
1.336984e+02 5.112366e+04
1.346261e+02 1.339408e+02
1.355602e+02 9.566529e+04
1.365008e+02 4.660855e+06
1.374479e+02 4.083150e+02
1.384016e+02 1.829421e-01
1.393619e+02 1.108033e-01
1.403289e+02 3.211253e+03
1.413026e+02 2.196109e+05
1.422830e+02 1.100296e+07
1.432703e+02 1.709440e+06
1.442644e+02 3.562774e+08
1.452654e+02 9.928418e+01
1.462733e+02 2.115270e-02
1.472883e+02 8.059307e-30
1.483103e+02 1.818535e-29
1.493393e+02 3.112441e-29
1.503755e+02 1.236607e-29
1.514189e+02 1.340156e-29
1.524696e+02 1.607560e-29
1.535275e+02 1.172124e-29
1.545928e+02 1.931134e-29
1.556654e+02 1.464436e-29
1.567455e+02 2.115211e-29
1.578331e+02 2.030772e-29
1.589283e+02 2.659190e-29
1.600310e+02 2.242748e-29
1.611414e+02 1.618633e-29
1.622595e+02 1.860683e-29
1.633854e+02 2.170269e-29
1.645191e+02 1.910349e-29
1.656606e+02 2.231126e-29
1.668101e+02 2.419715e-29
1.679675e+02 2.443927e-29
1.691330e+02 2.084895e-29
1.703065e+02 1.897030e-29
1.714882e+02 1.777506e-29
1.726781e+02 5.339316e-29
1.738762e+02 2.409577e-29
1.750827e+02 3.175122e-29
1.762975e+02 4.351409e-29
1.775208e+02 4.752497e-29
1.787526e+02 2.911630e-29
1.799929e+02 2.624706e-29
1.812418e+02 3.741598e-29
1.824993e+02 2.873014e-29
1.837656e+02 3.634477e-29
1.850407e+02 2.873607e-29
1.863246e+02 2.453649e-29
1.876175e+02 2.510660e-29
1.889193e+02 4.105780e-29
1.902301e+02 3.669571e-29
1.915501e+02 3.274366e-29
1.928792e+02 2.073189e-29
1.942175e+02 2.998025e-29
1.955651e+02 2.839634e-29
1.969220e+02 1.940827e-29
1.982884e+02 2.155233e-29
1.996642e+02 2.853561e-29
2.010496e+02 4.466930e-29
2.024447e+02 2.355048e-29
2.038493e+02 3.573650e-29
2.052638e+02 2.986815e-29
2.066880e+02 3.725595e-29
2.081222e+02 3.946485e-29
2.095662e+02 2.935125e-29
2.110203e+02 2.797841e-29
2.124845e+02 4.509427e-29
2.139589e+02 5.875681e-29
