Wavelength,Transmission
1150.0,0.00154997
1160.0,0.00567335
1162.0,0.00705075
1163.0,0.00773268
1164.0,0.00844854
1165.0,0.0092144
1166.0,0.0100244
1167.0,0.0108799
1168.0,0.0117822
1169.0,0.0127327
1170.0,0.0137328
1171.0,0.0147542
1172.0,0.0158244
1173.0,0.0169445
1174.0,0.0181159
1175.0,0.0193277
1176.0,0.0203793
1177.0,0.0214693
1178.0,0.022585
1179.0,0.0237538
1180.0,0.024949
1181.0,0.0261392
1182.0,0.0273516
1183.0,0.0286173
1184.0,0.0299056
1185.0,0.0312495
1186.0,0.0326164
1187.0,0.0340412
1188.0,0.0354894
1189.0,0.036998
1190.0,0.0385303
1191.0,0.0399957
1192.0,0.0414764
1193.0,0.043013
1194.0,0.0445649
1195.0,0.0461746
1196.0,0.0477995
1197.0,0.0494841
1198.0,0.0511838
1199.0,0.0529452
1200.0,0.054697
1201.0,0.0559387
1202.0,0.0571695
1203.0,0.058414
1204.0,0.0596987
1205.0,0.0609712
1206.0,0.0622575
1207.0,0.0635576
1208.0,0.0648718
1209.0,0.0661999
1210.0,0.0675421
1211.0,0.0689065
1212.0,0.0702854
1213.0,0.0716788
1214.0,0.0730869
1215.0,0.0745097
1216.0,0.0759138
1217.0,0.0770649
1218.0,0.0781878
1219.0,0.079316
1220.0,0.0803788
1221.0,0.0807395
1222.0,0.0810301
1223.0,0.0813212
1224.0,0.0816129
1225.0,0.0819052
1226.0,0.0820903
1227.0,0.0822394
1228.0,0.0824244
1229.0,0.0826094
1230.0,0.082758
1231.0,0.0828925
1232.0,0.0829906
1233.0,0.0831249
1234.0,0.0832592
1235.0,0.0833568
1236.0,0.0834909
1237.0,0.0835881
1238.0,0.083722
1239.0,0.0838559
1240.0,0.0839527
1241.0,0.0840395
1242.0,0.0840892
1243.0,0.0841759
1244.0,0.0842625
1245.0,0.0843118
1246.0,0.0843983
1247.0,0.0844847
1248.0,0.0845336
1249.0,0.0846198
1250.0,0.0846684
1251.0,0.0848233
1252.0,0.0849778
1253.0,0.0850941
1254.0,0.0852478
1255.0,0.0853631
1256.0,0.085516
1257.0,0.0856685
1258.0,0.0857823
1259.0,0.085934
1260.0,0.0860468
1261.0,0.0859914
1262.0,0.0859359
1263.0,0.0858418
1264.0,0.0857862
1265.0,0.085692
1266.0,0.0856364
1267.0,0.0855807
1268.0,0.0854864
1269.0,0.0854307
1270.0,0.0853362
1271.0,0.0852571
1272.0,0.0851779
1273.0,0.08506
1274.0,0.0849809
1275.0,0.0848631
1276.0,0.0847452
1277.0,0.0846274
1278.0,0.0845096
1279.0,0.0843918
1280.0,0.084274
1281.0,0.0841032
1282.0,0.083971
1283.0,0.083839
1284.0,0.083707
1285.0,0.083575
1286.0,0.0834044
1287.0,0.0832725
1288.0,0.0831407
1289.0,0.0830089
1290.0,0.0828771
1291.0,0.0826994
1292.0,0.0825604
1293.0,0.0824214
1294.0,0.0822825
1295.0,0.0821436
1296.0,0.0820048
1297.0,0.0818276
1298.0,0.0816889
1299.0,0.0815503
1300.0,0.0814118
1301.0,0.0812325
1302.0,0.0810532
1303.0,0.0808741
1304.0,0.0807335
1305.0,0.0805545
1306.0,0.0803756
1307.0,0.0801968
1308.0,0.0800182
1309.0,0.079878
1310.0,0.0796994
1311.0,0.0795228
1312.0,0.0793462
1313.0,0.0791697
1314.0,0.0790317
1315.0,0.0788554
1316.0,0.0786791
1317.0,0.078503
1318.0,0.078327
1319.0,0.0781893
1320.0,0.0780134
1321.0,0.0778396
1322.0,0.0776659
1323.0,0.0774923
1324.0,0.0773569
1325.0,0.0771835
1326.0,0.0769719
1327.0,0.0767986
1328.0,0.0766253
1329.0,0.0764522
1330.0,0.076241
1331.0,0.0760688
1332.0,0.0758968
1333.0,0.0757248
1334.0,0.0755528
1335.0,0.0753429
1336.0,0.0751711
1337.0,0.0749995
