Wavelength,Transmission
6737.0,4.98975e-05
6737.5,5.81867e-05
6738.0,6.64752e-05
6738.5,7.4763e-05
6739.0,8.305e-05
6739.5,9.13363e-05
6740.0,9.96217e-05
6740.5,0.000107907
6741.0,0.000116191
6741.5,0.000124475
6742.0,0.000132758
6742.5,0.000141041
6743.0,0.000149323
6743.5,0.000157604
6744.0,0.000165884
6744.5,0.000174164
6745.0,0.000182443
6745.5,0.000190722
6746.0,0.000198999
6746.5,0.000207276
6747.0,0.000215552
6747.5,0.000223828
6748.0,0.000232103
6748.5,0.000240378
6749.0,0.000248651
6749.5,0.000256924
6750.0,0.000265196
6750.5,0.000273466
6751.0,0.000281735
6751.5,0.000290005
6752.0,0.000298273
6752.5,0.00030654
6753.0,0.000314806
6753.5,0.000323071
6754.0,0.000331336
6754.5,0.0003396
6755.0,0.000347863
6755.5,0.000356126
6756.0,0.000364387
6756.5,0.000372649
6757.0,0.000380909
6757.5,0.000389168
6758.0,0.000397426
6758.5,0.000405684
6759.0,0.000413942
6759.5,0.000422198
6760.0,0.000430453
6760.5,0.000438706
6761.0,0.000446959
6761.5,0.000455211
6762.0,0.000463463
6762.5,0.000471713
6763.0,0.000479963
6763.5,0.000488211
6764.0,0.000496459
6764.5,0.000504706
6765.0,0.000512953
6765.5,0.000521198
6766.0,0.000529442
6766.5,0.000537687
6767.0,0.00054593
6767.5,0.000554173
6768.0,0.000562414
6768.5,0.000570655
6769.0,0.000578894
6769.5,0.000587133
6770.0,0.000595371
6770.5,0.000603612
6771.0,0.000611852
6771.5,0.00062009
6772.0,0.000628329
6772.5,0.000636566
6773.0,0.000644802
6773.5,0.000653038
6774.0,0.000661274
6774.5,0.000669508
6775.0,0.000677742
6775.5,0.000685975
6776.0,0.000694208
6776.5,0.00070244
6777.0,0.000710671
6777.5,0.0007189
6778.0,0.00072713
6778.5,0.000735358
6779.0,0.000743587
6779.5,0.000751814
6780.0,0.00076004
6780.5,0.000768266
6781.0,0.000776491
6781.5,0.000784714
6782.0,0.000792937
6782.5,0.00080116
6783.0,0.000809382
6783.5,0.000817603
6784.0,0.000825823
6784.5,0.000834042
6785.0,0.00084226
6785.5,0.000850479
6786.0,0.000858697
6786.5,0.000866912
6787.0,0.000875127
6787.5,0.000883342
6788.0,0.000891557
6788.5,0.00089977
6789.0,0.000907982
6789.5,0.000916195
6790.0,0.000924407
6790.5,0.000932615
6791.0,0.000940822
6791.5,0.000949028
6792.0,0.000957233
6792.5,0.000965437
6793.0,0.000973641
6793.5,0.000981845
6794.0,0.000990048
6794.5,0.000998249
6795.0,0.00100645
6795.5,0.00101465
6796.0,0.00102285
6796.5,0.00103105
6797.0,0.00103925
6797.5,0.00104744
6798.0,0.00105564
6798.5,0.00106383
6799.0,0.00107203
6799.5,0.00108022
6800.0,0.00108841
6800.5,0.00109657
6801.0,0.00110472
6801.5,0.00111288
6802.0,0.00112103
6802.5,0.00112918
6803.0,0.00113732
6803.5,0.00114547
6804.0,0.00115362
6804.5,0.00116176
6805.0,0.0011699
6805.5,0.00117805
6806.0,0.00118619
6806.5,0.00119433
6807.0,0.00120246
6807.5,0.0012106
6808.0,0.00121873
6808.5,0.00122687
6809.0,0.001235
6809.5,0.00124313
6810.0,0.00125126
6810.5,0.0012594
6811.0,0.00126754
6811.5,0.00127568
6812.0,0.00128381
6812.5,0.00129195
6813.0,0.00130008
6813.5,0.00130821
6814.0,0.00131635
6814.5,0.00132448
6815.0,0.0013326
6815.5,0.00134073
6816.0,0.00134886
6816.5,0.00135699
6817.0,0.00136511
6817.5,0.00137323
6818.0,0.00138136
6818.5,0.00138948
6819.0,0.0013976
6819.5,0.00140571
6820.0,0.00141383
6820.5,0.00142193
6821.0,0.00143003
6821.5,0.00143814
6822.0,0.00144623
6822.5,0.00145433
6823.0,0.00146243
6823.5,0.00147052
6824.0,0.00147861
6824.5,0.00148671
6825.0,0.0014948
6825.5,0.00150289
6826.0,0.00151097
6826.5,0.00151906
6827.0,0.00152715
6827.5,0.00153523
6828.0,0.00154331
6828.5,0.0015514
6829.0,0.00155948
6829.5,0.00156755
6830.0,0.00157563
6830.5,0.00158372
6831.0,0.00159181
6831.5,0.0015999
6832.0,0.00160798
6832.5,0.00161607
6833.0,0.00162415
6833.5,0.00163224
6834.0,0.00164032
6834.5,0.0016484
6835.0,0.00165648
6835.5,0.00166456
6836.0,0.00167264
6836.5,0.00168071
6837.0,0.00168879
6837.5,0.00169686
6838.0,0.00170493
6838.5,0.00171301
6839.0,0.00172107
6839.5,0.00172914
6840.0,0.00173721
6840.5,0.00174528
6841.0,0.00175334
6841.5,0.00176141
6842.0,0.00176947
6842.5,0.00177753
6843.0,0.00178559
6843.5,0.00179365
6844.0,0.00180171
6844.5,0.00180977
6845.0,0.00181782
6845.5,0.00182588
6846.0,0.00183393
6846.5,0.00184198
6847.0,0.00185003
6847.5,0.00185808
6848.0,0.00186613
6848.5,0.00187417
6849.0,0.00188222
6849.5,0.00189026
6850.0,0.00189831
6850.5,0.00190634
6851.0,0.00191436
6851.5,0.00192239
6852.0,0.00193041
6852.5,0.00193843
6853.0,0.00194645
6853.5,0.00195447
6854.0,0.00196249
6854.5,0.00197051
6855.0,0.00197852
6855.5,0.00198653
6856.0,0.00199455
6856.5,0.00200256
6857.0,0.00201058
6857.5,0.00201858
6858.0,0.00202659
6858.5,0.0020346
6859.0,0.0020426
6859.5,0.0020506
6860.0,0.00205861
6860.5,0.0020666
6861.0,0.0020746
6861.5,0.0020826
6862.0,0.0020906
6862.5,0.00209859
6863.0,0.00210658
6863.5,0.00211457
6864.0,0.00212256
6864.5,0.00213055
6865.0,0.00218933
6865.5,0.00224809
6866.0,0.00230685
6866.5,0.00236559
6867.0,0.00242432
6867.5,0.00248305
6868.0,0.00254177
6868.5,0.00260047
6869.0,0.00265917
6869.5,0.00271785
6870.0,0.00277653
6870.5,0.00283523
6871.0,0.00289392
6871.5,0.0029526
6872.0,0.00301127
6872.5,0.00306994
6873.0,0.0031286
6873.5,0.00318725
6874.0,0.0032459
6874.5,0.00331718
6875.0,0.00338846
6875.5,0.00345972
6876.0,0.00353098
6876.5,0.00360222
6877.0,0.00367345
6877.5,0.00374468
6878.0,0.0038159
6878.5,0.0038871
6879.0,0.00395829
6879.5,0.00402948
6880.0,0.00410065
6880.5,0.00417178
6881.0,0.00424289
6881.5,0.004314
6882.0,0.0043851
6882.5,0.00445618
6883.0,0.00452725
6883.5,0.00459831
6884.0,0.00466936
6884.5,0.00478159
6885.0,0.0048938
6885.5,0.00500601
6886.0,0.0051182
6886.5,0.00523036
6887.0,0.0053425
6887.5,0.00545462
6888.0,0.00556673
6888.5,0.00567882
6889.0,0.0057909
6889.5,0.00590295
6890.0,0.00601498
6890.5,0.00612697
6891.0,0.00623893
6891.5,0.00635088
6892.0,0.0064628
6892.5,0.00657471
6893.0,0.00668659
6893.5,0.00679846
6894.0,0.00691032
6894.5,0.00704957
6895.0,0.00718879
6895.5,0.00732799
6896.0,0.00746716
6896.5,0.00760631
6897.0,0.00774543
6897.5,0.00788455
6898.0,0.00802363
6898.5,0.00816269
6899.0,0.00830173
6899.5,0.00844074
6900.0,0.00857973
6900.5,0.00871878
6901.0,0.00885782
6901.5,0.00899684
6902.0,0.00913584
6902.5,0.00927481
6903.0,0.00941376
6903.5,0.0095527
6904.0,0.00969161
6904.5,0.00987294
6905.0,0.0100542
6905.5,0.0102355
6906.0,0.0104167
6906.5,0.010598
6907.0,0.0107791
6907.5,0.0109603
6908.0,0.0111414
6908.5,0.0113225
6909.0,0.0115036
6909.5,0.0116847
6910.0,0.0118657
6910.5,0.0120467
6911.0,0.0122277
6911.5,0.0124086
6912.0,0.0125895
6912.5,0.0127704
6913.0,0.0129513
6913.5,0.0131321
6914.0,0.0133129
6914.5,0.0135429
6915.0,0.0137728
6915.5,0.0140027
6916.0,0.0142326
6916.5,0.0144624
6917.0,0.0146922
6917.5,0.014922
6918.0,0.0151517
6918.5,0.0153814
6919.0,0.0156111
6919.5,0.0158407
6920.0,0.0160703
6920.5,0.0162999
6921.0,0.0165295
6921.5,0.016759
6922.0,0.0169885
6922.5,0.0172179
6923.0,0.0174473
6923.5,0.0176767
6924.0,0.017906
6924.5,0.0181749
6925.0,0.0184438
6925.5,0.0187126
6926.0,0.0189813
6926.5,0.0192501
6927.0,0.0195187
6927.5,0.0197874
6928.0,0.020056
6928.5,0.0203246
6929.0,0.0205931
6929.5,0.0208616
6930.0,0.02113
6930.5,0.0213982
6931.0,0.0216663
6931.5,0.0219344
6932.0,0.0222024
6932.5,0.0224703
6933.0,0.0227383
6933.5,0.0230061
6934.0,0.023274
6934.5,0.0236072
6935.0,0.0239403
6935.5,0.0242734
6936.0,0.0246064
6936.5,0.0249394
6937.0,0.0252723
6937.5,0.0256051
6938.0,0.0259379
6938.5,0.0262706
6939.0,0.0266033
6939.5,0.0269359
6940.0,0.0272685
6940.5,0.0276012
6941.0,0.0279338
6941.5,0.0282663
6942.0,0.0285987
6942.5,0.0289312
6943.0,0.0292635
6943.5,0.0295959
6944.0,0.0299281
6944.5,0.0302794
6945.0,0.0306305
6945.5,0.0309817
6946.0,0.0313327
6946.5,0.0316837
6947.0,0.0320347
6947.5,0.0323856
6948.0,0.0327365
6948.5,0.0330873
6949.0,0.033438
6949.5,0.0337886
6950.0,0.0341392
6950.5,0.0344899
6951.0,0.0348406
6951.5,0.0351912
6952.0,0.0355417
6952.5,0.0358922
6953.0,0.0362426
6953.5,0.036593
6954.0,0.0369433
6954.5,0.0373479
6955.0,0.0377524
6955.5,0.0381569
6956.0,0.0385612
6956.5,0.0389656
6957.0,0.0393699
6957.5,0.0397741
6958.0,0.0401783
6958.5,0.0405823
6959.0,0.0409863
6959.5,0.0413903
6960.0,0.0417943
6960.5,0.0421984
6961.0,0.0426025
6961.5,0.0430065
6962.0,0.0434105
6962.5,0.0438144
6963.0,0.0442183
6963.5,0.0446221
6964.0,0.0450258
6964.5,0.0454837
6965.0,0.0459416
6965.5,0.0463994
6966.0,0.0468572
6966.5,0.0473149
6967.0,0.0477725
6967.5,0.04823
6968.0,0.0486875
6968.5,0.049145
6969.0,0.0496024
6969.5,0.0500597
6970.0,0.0505169
6970.5,0.0509731
6971.0,0.0514292
6971.5,0.0518853
6972.0,0.0523412
6972.5,0.052797
6973.0,0.0532528
6973.5,0.0537084
6974.0,0.054164
6974.5,0.0542404
6975.0,0.0543168
6975.5,0.0543932
6976.0,0.0544696
6976.5,0.054546
6977.0,0.0546224
6977.5,0.0546987
6978.0,0.054775
6978.5,0.0548512
6979.0,0.0549274
6979.5,0.0550037
6980.0,0.05508
6980.5,0.0551564
6981.0,0.0552329
6981.5,0.0553092
6982.0,0.0553856
6982.5,0.055462
6983.0,0.0555383
6983.5,0.0556146
6984.0,0.055691
6984.5,0.0562673
6985.0,0.0568436
6985.5,0.0574198
6986.0,0.0579959
6986.5,0.0585719
6987.0,0.0591477
6987.5,0.0597236
6988.0,0.0602993
6988.5,0.0608749
6989.0,0.0614505
6989.5,0.0620258
6990.0,0.0626011
6990.5,0.0631781
6991.0,0.063755
6991.5,0.0643319
6992.0,0.0649087
6992.5,0.0654854
6993.0,0.0660621
6993.5,0.0666386
6994.0,0.067215
6994.5,0.0676701
6995.0,0.068125
6995.5,0.0685799
6996.0,0.0690348
6996.5,0.0694895
6997.0,0.0699441
6997.5,0.0703987
6998.0,0.0708533
6998.5,0.0713079
6999.0,0.0717624
6999.5,0.0722168
7000.0,0.0726712
7000.5,0.0731204
7001.0,0.0735694
7001.5,0.0740183
7002.0,0.074467
7002.5,0.0749156
7003.0,0.0753641
7003.5,0.0758126
7004.0,0.0762609
7004.5,0.0768707
7005.0,0.0774803
7005.5,0.0780899
7006.0,0.0786993
7006.5,0.0793085
7007.0,0.0799174
7007.5,0.0805263
7008.0,0.081135
7008.5,0.0817436
7009.0,0.0823519
7009.5,0.0829602
7010.0,0.0835683
7010.5,0.0841774
7011.0,0.0847863
7011.5,0.0853951
7012.0,0.0860037
7012.5,0.0866122
7013.0,0.0872205
7013.5,0.0878287
7014.0,0.0884368
7014.5,0.088964
7015.0,0.0894911
7015.5,0.0900181
7016.0,0.090545
7016.5,0.0910719
7017.0,0.0915986
7017.5,0.092125
7018.0,0.0926513
7018.5,0.0931775
7019.0,0.0937036
7019.5,0.0942297
7020.0,0.0947557
7020.5,0.0952819
7021.0,0.0958081
7021.5,0.0963341
7022.0,0.09686
7022.5,0.0973857
7023.0,0.0979113
7023.5,0.0984369
7024.0,0.0989623
7024.5,0.0994876
7025.0,0.100013
7025.5,0.100538
7026.0,0.101063
7026.5,0.101587
7027.0,0.102112
7027.5,0.102637
7028.0,0.103161
7028.5,0.103686
7029.0,0.10421
7029.5,0.104734
7030.0,0.105258
7030.5,0.105781
7031.0,0.106303
7031.5,0.106825
7032.0,0.107347
7032.5,0.107869
7033.0,0.108391
7033.5,0.108913
7034.0,0.109434
7034.5,0.109916
7035.0,0.110397
7035.5,0.110878
7036.0,0.111359
7036.5,0.11184
7037.0,0.112321
7037.5,0.112801
7038.0,0.113282
7038.5,0.113762
7039.0,0.114242
7039.5,0.114722
7040.0,0.115202
7040.5,0.115684
7041.0,0.116166
7041.5,0.116648
7042.0,0.11713
7042.5,0.117612
7043.0,0.118093
7043.5,0.118574
7044.0,0.119056
7044.5,0.119604
7045.0,0.120152
7045.5,0.120699
7046.0,0.121247
7046.5,0.121794
7047.0,0.122342
7047.5,0.122889
7048.0,0.123436
7048.5,0.123983
7049.0,0.12453
7049.5,0.125076
7050.0,0.125623
7050.5,0.126168
7051.0,0.126713
7051.5,0.127258
7052.0,0.127802
7052.5,0.128346
7053.0,0.128891
7053.5,0.129435
7054.0,0.129978
7054.5,0.130482
7055.0,0.130986
7055.5,0.13149
7056.0,0.131993
7056.5,0.132497
7057.0,0.133
7057.5,0.133503
7058.0,0.134006
7058.5,0.134509
7059.0,0.135012
7059.5,0.135514
7060.0,0.136017
7060.5,0.136521
7061.0,0.137026
7061.5,0.13753
7062.0,0.138034
7062.5,0.138538
7063.0,0.139042
7063.5,0.139545
7064.0,0.140049
7064.5,0.140499
7065.0,0.14095
7065.5,0.1414
7066.0,0.14185
7066.5,0.1423
7067.0,0.14275
7067.5,0.143199
7068.0,0.143649
7068.5,0.144099
7069.0,0.144548
7069.5,0.144998
7070.0,0.145447
7070.5,0.145892
7071.0,0.146337
7071.5,0.146782
7072.0,0.147226
7072.5,0.147671
7073.0,0.148115
7073.5,0.14856
7074.0,0.149004
7074.5,0.149315
7075.0,0.149627
7075.5,0.149938
7076.0,0.150249
7076.5,0.150561
7077.0,0.150872
7077.5,0.151183
7078.0,0.151493
7078.5,0.151804
7079.0,0.152115
7079.5,0.152426
7080.0,0.152736
7080.5,0.153051
7081.0,0.153365
7081.5,0.153679
7082.0,0.153993
7082.5,0.154308
7083.0,0.154622
7083.5,0.154936
7084.0,0.155249
7084.5,0.155696
7085.0,0.156141
7085.5,0.156588
7086.0,0.157034
7086.5,0.157479
7087.0,0.157925
7087.5,0.15837
7088.0,0.158816
7088.5,0.159261
7089.0,0.159706
7089.5,0.160151
7090.0,0.160596
7090.5,0.161039
7091.0,0.161483
7091.5,0.161926
7092.0,0.16237
7092.5,0.162813
7093.0,0.163256
7093.5,0.1637
7094.0,0.164143
7094.5,0.164361
7095.0,0.16458
7095.5,0.164798
7096.0,0.165016
7096.5,0.165235
7097.0,0.165453
7097.5,0.165671
7098.0,0.165889
7098.5,0.166107
7099.0,0.166325
7099.5,0.166543
7100.0,0.166761
7100.5,0.166979
7101.0,0.167197
7101.5,0.167414
7102.0,0.167631
7102.5,0.167849
7103.0,0.168066
7103.5,0.168283
7104.0,0.1685
7104.5,0.168862
7105.0,0.169224
7105.5,0.169586
7106.0,0.169948
7106.5,0.170309
7107.0,0.170671
7107.5,0.171032
7108.0,0.171393
7108.5,0.171754
7109.0,0.172116
7109.5,0.172477
7110.0,0.172838
7110.5,0.173199
7111.0,0.173559
7111.5,0.17392
7112.0,0.174281
7112.5,0.174642
7113.0,0.175002
7113.5,0.175363
7114.0,0.175723
7114.5,0.175912
