Wavelength,Transmission
6838.0,2.29253e-05
6839.0,2.30495e-05
6840.0,2.31737e-05
6841.0,2.32978e-05
6842.0,2.34241e-05
6843.0,2.35504e-05
6844.0,2.36767e-05
6845.0,2.38028e-05
6846.0,2.3929e-05
6847.0,2.40574e-05
6848.0,2.41856e-05
6849.0,2.43139e-05
6850.0,2.44421e-05
6851.0,2.457e-05
6852.0,2.46999e-05
6853.0,2.48298e-05
6854.0,2.49598e-05
6855.0,2.50896e-05
6856.0,2.52193e-05
6857.0,2.53514e-05
6858.0,2.54833e-05
6859.0,2.56152e-05
6860.0,2.5747e-05
6861.0,2.58787e-05
6862.0,2.60127e-05
6863.0,2.61465e-05
6864.0,2.62803e-05
6865.0,2.64141e-05
6866.0,2.65478e-05
6867.0,2.66837e-05
6868.0,2.68195e-05
6869.0,2.69553e-05
6870.0,2.7091e-05
6871.0,2.72273e-05
6872.0,2.73657e-05
6873.0,2.75041e-05
6874.0,2.76425e-05
6875.0,2.77808e-05
6876.0,2.7919e-05
6877.0,2.80594e-05
6878.0,2.81998e-05
6879.0,2.83401e-05
6880.0,2.84803e-05
6881.0,2.862e-05
6882.0,2.87619e-05
6883.0,2.89037e-05
6884.0,2.90454e-05
6885.0,2.9187e-05
6886.0,2.93288e-05
6887.0,2.94725e-05
6888.0,2.96161e-05
6889.0,2.97598e-05
6890.0,2.99033e-05
6891.0,3.00465e-05
6892.0,3.01918e-05
6893.0,3.03369e-05
6894.0,3.04821e-05
6895.0,3.06272e-05
6896.0,3.07722e-05
6897.0,3.09193e-05
6898.0,3.10663e-05
6899.0,3.12133e-05
6900.0,3.13603e-05
6901.0,3.15078e-05
6902.0,3.16574e-05
6903.0,3.1807e-05
6904.0,3.19565e-05
6905.0,3.2106e-05
6906.0,3.22554e-05
6907.0,3.24068e-05
6908.0,3.25582e-05
6909.0,3.27095e-05
6910.0,3.28609e-05
6911.0,3.30122e-05
6912.0,3.31653e-05
6913.0,3.33185e-05
6914.0,3.34716e-05
6915.0,3.36247e-05
6916.0,3.37777e-05
6917.0,3.39327e-05
6918.0,3.40876e-05
6919.0,3.42424e-05
6920.0,3.43974e-05
6921.0,3.45523e-05
6922.0,3.47091e-05
6923.0,3.48659e-05
6924.0,3.50226e-05
6925.0,3.51793e-05
6926.0,3.5336e-05
6927.0,3.54945e-05
6928.0,3.56531e-05
6929.0,3.58115e-05
6930.0,3.59699e-05
6931.0,3.61275e-05
6932.0,3.6287e-05
6933.0,3.64463e-05
6934.0,3.66056e-05
6935.0,3.67649e-05
6936.0,3.69241e-05
6937.0,3.70852e-05
6938.0,3.72461e-05
6939.0,3.74071e-05
6940.0,3.7568e-05
6941.0,3.77292e-05
6942.0,3.78922e-05
6943.0,3.80553e-05
6944.0,3.82182e-05
6945.0,3.83811e-05
6946.0,3.85439e-05
6947.0,3.87084e-05
6948.0,3.88731e-05
6949.0,3.90376e-05
6950.0,3.9202e-05
6951.0,3.93667e-05
6952.0,3.95333e-05
6953.0,3.96997e-05
6954.0,3.98661e-05
6955.0,4.00325e-05
6956.0,4.01988e-05
6957.0,4.03669e-05
6958.0,4.05349e-05
6959.0,4.07028e-05
6960.0,4.08707e-05
6961.0,4.10392e-05
6962.0,4.12094e-05
6963.0,4.13795e-05
6964.0,4.15495e-05
6965.0,4.17195e-05
6966.0,4.18895e-05
6967.0,4.20612e-05
6968.0,4.22329e-05
6969.0,4.24045e-05
6970.0,4.25761e-05
6971.0,4.27459e-05
6972.0,4.29174e-05
6973.0,4.30887e-05
6974.0,4.326e-05
6975.0,4.34313e-05
6976.0,4.36026e-05
6977.0,4.37755e-05
6978.0,4.39483e-05
6979.0,4.41209e-05
6980.0,4.42936e-05
6981.0,4.44665e-05
6982.0,4.46409e-05
6983.0,4.48153e-05
6984.0,4.49897e-05
6985.0,4.51639e-05
6986.0,4.53381e-05
6987.0,4.55139e-05
6988.0,4.56896e-05
6989.0,4.58653e-05
6990.0,4.60408e-05
6991.0,4.6219e-05
6992.0,4.63986e-05
6993.0,4.65783e-05
6994.0,4.67578e-05
6995.0,4.69374e-05
6996.0,4.71169e-05
6997.0,4.72978e-05
6998.0,4.74787e-05
