Wavelength,Transmission
3214.0,3.57718e-05
3215.0,3.88407e-05
3216.0,4.19465e-05
3217.0,4.5092e-05
3218.0,4.82754e-05
3219.0,5.14982e-05
3220.0,5.4758e-05
3221.0,6.03931e-05
3222.0,6.60986e-05
3223.0,7.18717e-05
3224.0,7.77134e-05
3225.0,8.3624e-05
3226.0,8.96023e-05
3227.0,9.56502e-05
3228.0,0.000101769
3229.0,0.000107954
3230.0,0.000114209
3231.0,0.000124575
3232.0,0.00013506
3233.0,0.000145667
3234.0,0.000156392
3235.0,0.000167236
3236.0,0.000178199
3237.0,0.000189287
3238.0,0.000200489
3239.0,0.000211813
3240.0,0.000223259
3241.0,0.000240833
3242.0,0.00025859
3243.0,0.000276543
3244.0,0.000294686
3245.0,0.000313017
3246.0,0.000331536
3247.0,0.000350252
3248.0,0.00036915
3249.0,0.000388244
3250.0,0.000407522
3251.0,0.000434285
3252.0,0.000461312
3253.0,0.000488602
3254.0,0.00051617
3255.0,0.000543993
3256.0,0.00057209
3257.0,0.000600451
3258.0,0.000629078
3259.0,0.000657967
3260.0,0.000687137
3261.0,0.000725982
3262.0,0.000765192
3263.0,0.000804791
3264.0,0.000844745
3265.0,0.000885078
3266.0,0.000925789
3267.0,0.000966866
3268.0,0.00100831
3269.0,0.00105015
3270.0,0.00109233
3271.0,0.0011454
3272.0,0.00119892
3273.0,0.00125294
3274.0,0.00130743
3275.0,0.00136239
3276.0,0.00141785
3277.0,0.00147377
3278.0,0.00153018
3279.0,0.00158709
3280.0,0.00164443
3281.0,0.00171338
3282.0,0.00178289
3283.0,0.00185299
3284.0,0.0019237
3285.0,0.00199496
3286.0,0.00206683
3287.0,0.00213928
3288.0,0.00221231
3289.0,0.00228593
3290.0,0.00236013
3291.0,0.00244415
3292.0,0.00252879
3293.0,0.00261417
3294.0,0.00270016
3295.0,0.00278688
3296.0,0.00287429
3297.0,0.00296235
3298.0,0.00305108
3299.0,0.00314055
3300.0,0.00323064
3301.0,0.00332492
3302.0,0.00341985
3303.0,0.00351549
3304.0,0.00361168
3305.0,0.0037086
3306.0,0.00380615
3307.0,0.00390434
3308.0,0.00400319
3309.0,0.00410272
3310.0,0.00420282
3311.0,0.00431064
3312.0,0.00441917
3313.0,0.00452835
3314.0,0.00463835
3315.0,0.00474905
3316.0,0.00486049
3317.0,0.0049727
3318.0,0.00508561
3319.0,0.00519922
3320.0,0.00531363
3321.0,0.00542987
3322.0,0.00554691
3323.0,0.00566464
3324.0,0.00578313
3325.0,0.00590231
3326.0,0.00602223
3327.0,0.0061429
3328.0,0.00626419
3329.0,0.00638635
3330.0,0.0065091
3331.0,0.00662947
3332.0,0.0067505
3333.0,0.00687224
3334.0,0.00699471
3335.0,0.0071179
3336.0,0.00724182
3337.0,0.00736649
3338.0,0.00749177
3339.0,0.00761794
3340.0,0.0077447
3341.0,0.00786695
3342.0,0.00798979
3343.0,0.00811339
3344.0,0.00823766
3345.0,0.00836253
3346.0,0.00848811
3347.0,0.00861438
3348.0,0.00874131
3349.0,0.00886893
3350.0,0.00899721
3351.0,0.00912204
3352.0,0.00924751
3353.0,0.00937357
3354.0,0.0095002
3355.0,0.0096276
3356.0,0.00975561
3357.0,0.00988432
3358.0,0.0100136
3359.0,0.0101436
3360.0,0.0102742
3361.0,0.0103988
3362.0,0.010524
3363.0,0.0106497
3364.0,0.0107762
3365.0,0.0109032
3366.0,0.0110309
3367.0,0.0111591
3368.0,0.0112881
3369.0,0.0114175
3370.0,0.0115476
3371.0,0.0116701
3372.0,0.0117932
3373.0,0.0119168
3374.0,0.0120409
3375.0,0.0121657
3376.0,0.0122909
3377.0,0.0124168
3378.0,0.012543
3379.0,0.0126701
3380.0,0.0127974
3381.0,0.0129152
3382.0,0.0130334
3383.0,0.0131522
3384.0,0.0132714
3385.0,0.0133912
3386.0,0.0135114
3387.0,0.0136321
3388.0,0.0137533
3389.0,0.013875
3390.0,0.0139971
3391.0,0.0141163
3392.0,0.0142359
3393.0,0.0143563
3394.0,0.0144768
3395.0,0.014598
3396.0,0.0147195
3397.0,0.0148416
3398.0,0.0149642
3399.0,0.0150871
3400.0,0.0152107
3401.0,0.0153516
3402.0,0.0154932
3403.0,0.0156353
3404.0,0.0157784
3405.0,0.0159219
3406.0,0.0160661
3407.0,0.0162112
3408.0,0.0163568
3409.0,0.0165032
3410.0,0.0166502
3411.0,0.0167873
3412.0,0.0169249
3413.0,0.017063
3414.0,0.0172018
3415.0,0.0173411
3416.0,0.0174811
3417.0,0.0176216
3418.0,0.0177626
3419.0,0.0179044
3420.0,0.0180465
3421.0,0.0181855
3422.0,0.0183252
3423.0,0.0184654
3424.0,0.0186062
3425.0,0.0187475
3426.0,0.0188895
3427.0,0.019032
3428.0,0.0191749
3429.0,0.0193188
3430.0,0.0194629
3431.0,0.0196003
3432.0,0.0197381
3433.0,0.0198764
3434.0,0.0200154
3435.0,0.0201547
3436.0,0.0202947
3437.0,0.0204351
3438.0,0.020576
3439.0,0.0207174
3440.0,0.0208594
3441.0,0.0209964
3442.0,0.0211341
3443.0,0.0212723
3444.0,0.0214107
3445.0,0.0215497
3446.0,0.0216892
3447.0,0.0218291
3448.0,0.0219695
3449.0,0.0221103
3450.0,0.0222516
3451.0,0.0223856
3452.0,0.0225198
3453.0,0.0226546
3454.0,0.0227897
3455.0,0.0229252
3456.0,0.0230612
3457.0,0.0231976
3458.0,0.0233344
3459.0,0.0234717
3460.0,0.0236094
3461.0,0.0237426
3462.0,0.0238766
3463.0,0.0240106
3464.0,0.0241453
3465.0,0.0242802
3466.0,0.0244156
3467.0,0.0245511
3468.0,0.0246871
3469.0,0.0248237
3470.0,0.0249606
3471.0,0.025091
3472.0,0.025222
3473.0,0.0253531
3474.0,0.0254846
3475.0,0.0256164
3476.0,0.0257486
3477.0,0.025881
3478.0,0.0260139
3479.0,0.0261471
3480.0,0.0262806
3481.0,0.0264095
3482.0,0.0265389
3483.0,0.0266685
3484.0,0.0267985
3485.0,0.0269289
3486.0,0.0270593
3487.0,0.0271901
3488.0,0.0273213
3489.0,0.0274528
3490.0,0.0275847
3491.0,0.0277114
3492.0,0.0278385
3493.0,0.0279657
3494.0,0.0280932
3495.0,0.028221
3496.0,0.0283492
3497.0,0.0284776
3498.0,0.0286063
3499.0,0.0287351
3500.0,0.0288643
3501.0,0.0289843
3502.0,0.0291046
3503.0,0.0292248
3504.0,0.0293456
3505.0,0.0294665
3506.0,0.0295875
3507.0,0.0297086
3508.0,0.0298301
3509.0,0.0299517
3510.0,0.0300735
3511.0,0.0301891
3512.0,0.0303049
3513.0,0.0304209
3514.0,0.0305368
3515.0,0.030653
3516.0,0.0307695
3517.0,0.0308861
3518.0,0.0310027
3519.0,0.0311196
3520.0,0.0312366
3521.0,0.0313519
3522.0,0.0314671
3523.0,0.0315826
3524.0,0.0316981
3525.0,0.0318139
3526.0,0.0319298
3527.0,0.0320459
3528.0,0.0321619
3529.0,0.0322782
3530.0,0.0323947
3531.0,0.0325104
3532.0,0.0326261
3533.0,0.0327419
3534.0,0.032858
3535.0,0.0329743
3536.0,0.0330906
3537.0,0.033207
3538.0,0.0333237
3539.0,0.0334403
3540.0,0.0335572
3541.0,0.0336669
3542.0,0.0337766
3543.0,0.0338865
3544.0,0.0339964
3545.0,0.0341064
3546.0,0.0342166
3547.0,0.0343268
3548.0,0.0344372
3549.0,0.0345477
3550.0,0.034658
3551.0,0.0347699
3552.0,0.0348817
3553.0,0.0349937
3554.0,0.0351057
3555.0,0.0352177
3556.0,0.03533
3557.0,0.0354424
3558.0,0.0355548
3559.0,0.0356674
3560.0,0.03578
3561.0,0.0358867
3562.0,0.0359933
3563.0,0.0361001
3564.0,0.0362069
3565.0,0.0363138
3566.0,0.0364207
3567.0,0.0365277
3568.0,0.0366348
3569.0,0.0367419
3570.0,0.0368491
3571.0,0.0369576
3572.0,0.0370663
3573.0,0.0371749
3574.0,0.0372836
3575.0,0.0373922
3576.0,0.0375012
3577.0,0.0376101
3578.0,0.0377192
3579.0,0.0378283
3580.0,0.0379375
3581.0,0.0380426
3582.0,0.0381482
3583.0,0.0382536
3584.0,0.0383591
3585.0,0.0384648
3586.0,0.0385703
3587.0,0.038676
3588.0,0.0387817
3589.0,0.0388875
3590.0,0.0389933
3591.0,0.0391014
3592.0,0.0392094
3593.0,0.0393176
3594.0,0.0394259
3595.0,0.0395341
3596.0,0.0396424
3597.0,0.0397509
3598.0,0.0398594
3599.0,0.039968
3600.0,0.0400767
3601.0,0.0401851
3602.0,0.0402935
3603.0,0.0404021
3604.0,0.0405103
3605.0,0.0406187
3606.0,0.0407269
3607.0,0.0408353
3608.0,0.0409436
3609.0,0.0410518
3610.0,0.04116
3611.0,0.0412665
3612.0,0.0413729
3613.0,0.0414793
3614.0,0.0415855
3615.0,0.0416919
3616.0,0.0417981
3617.0,0.0419043
3618.0,0.0420105
3619.0,0.0421168
3620.0,0.0422229
3621.0,0.042327
3622.0,0.042431
3623.0,0.0425351
3624.0,0.0426389
3625.0,0.0427429
3626.0,0.0428467
3627.0,0.0429505
3628.0,0.0430543
3629.0,0.0431581
3630.0,0.0432619
3631.0,0.043366
3632.0,0.0434701
3633.0,0.0435741
3634.0,0.0436783
3635.0,0.0437822
3636.0,0.0438862
3637.0,0.0439901
3638.0,0.044094
3639.0,0.0441977
3640.0,0.0443016
3641.0,0.0444119
3642.0,0.0445225
3643.0,0.0446328
3644.0,0.0447433
3645.0,0.0448537
3646.0,0.0449643
3647.0,0.0450747
3648.0,0.045185
3649.0,0.0452954
3650.0,0.0454058
3651.0,0.0455137
3652.0,0.0456219
3653.0,0.0457298
3654.0,0.0458377
3655.0,0.0459457
3656.0,0.0460535
3657.0,0.0461614
3658.0,0.0462693
3659.0,0.0463772
3660.0,0.0464849
3661.0,0.0465902
3662.0,0.0466955
3663.0,0.0468007
3664.0,0.0469058
3665.0,0.0470111
3666.0,0.0471162
3667.0,0.0472215
3668.0,0.0473267
3669.0,0.0474316
3670.0,0.0475366
3671.0,0.0476429
3672.0,0.0477493
3673.0,0.0478555
3674.0,0.0479619
3675.0,0.048068
3676.0,0.0481743
3677.0,0.0482803
3678.0,0.0483865
3679.0,0.0484926
3680.0,0.0485986
3681.0,0.0487104
3682.0,0.0488222
3683.0,0.0489339
3684.0,0.0490457
3685.0,0.0491576
3686.0,0.0492693
3687.0,0.049381
3688.0,0.0494928
3689.0,0.0496046
3690.0,0.0497164
3691.0,0.0498211
3692.0,0.049926
3693.0,0.0500307
3694.0,0.0501355
3695.0,0.0502402
3696.0,0.0503448
3697.0,0.0504495
3698.0,0.050554
3699.0,0.0506586
3700.0,0.0507633
3701.0,0.0508844
3702.0,0.0510059
3703.0,0.0511275
3704.0,0.051249
3705.0,0.0513704
3706.0,0.0514922
3707.0,0.0516139
3708.0,0.0517356
3709.0,0.0518574
3710.0,0.0519791
3711.0,0.0521049
3712.0,0.0522306
3713.0,0.0523563
3714.0,0.0524823
3715.0,0.0526083
3716.0,0.0527344
3717.0,0.0528604
3718.0,0.0529866
3719.0,0.0531127
3720.0,0.0532393
3721.0,0.0533649
3722.0,0.0534909
3723.0,0.053617
3724.0,0.0537432
3725.0,0.0538693
3726.0,0.0539956
3727.0,0.0541218
3728.0,0.0542483
3729.0,0.0543746
3730.0,0.0545011
3731.0,0.0546369
3732.0,0.0547728
3733.0,0.0549088
3734.0,0.0550448
3735.0,0.0551811
3736.0,0.0553172
3737.0,0.0554537
3738.0,0.0555901
3739.0,0.0557267
3740.0,0.0558635
3741.0,0.0559957
3742.0,0.0561279
3743.0,0.0562601
3744.0,0.0563927
3745.0,0.0565251
3746.0,0.0566577
3747.0,0.0567902
3748.0,0.0569231
3749.0,0.057056
3750.0,0.0571888
3751.0,0.0573278
3752.0,0.057467
3753.0,0.0576061
3754.0,0.0577455
3755.0,0.057885
3756.0,0.0580247
3757.0,0.0581642
3758.0,0.0583041
3759.0,0.0584438
3760.0,0.058584
3761.0,0.0587275
3762.0,0.0588712
3763.0,0.059015
3764.0,0.0591589
3765.0,0.059303
3766.0,0.0594473
3767.0,0.0595915
3768.0,0.0597359
3769.0,0.0598806
3770.0,0.0600252
3771.0,0.0601637
3772.0,0.0603023
3773.0,0.0604411
3774.0,0.0605798
3775.0,0.0607187
3776.0,0.0608576
3777.0,0.0609967
3778.0,0.061136
3779.0,0.0612752
3780.0,0.0614146
3781.0,0.0615808
3782.0,0.0617472
3783.0,0.0619136
3784.0,0.0620806
3785.0,0.0622475
3786.0,0.0624148
3787.0,0.0625822
3788.0,0.0627499
3789.0,0.0629181
3790.0,0.0630861
3791.0,0.0632584
3792.0,0.0634311
3793.0,0.0636043
3794.0,0.0637773
3795.0,0.0639507
3796.0,0.0641245
3797.0,0.0642983
3798.0,0.0644724
3799.0,0.0646471
3800.0,0.0648215
3801.0,0.0649123
3802.0,0.0650031
3803.0,0.0650938
3804.0,0.0651846
3805.0,0.0652755
3806.0,0.0653667
3807.0,0.0654577
3808.0,0.0655488
3809.0,0.06564
3810.0,0.065731
3811.0,0.0658341
3812.0,0.0659372
3813.0,0.0660402
3814.0,0.0661435
3815.0,0.0662467
3816.0,0.06635
3817.0,0.0664534
3818.0,0.0665568
3819.0,0.0666603
3820.0,0.0667639
3821.0,0.0668721
3822.0,0.0669804
3823.0,0.0670885
3824.0,0.0671969
3825.0,0.0673055
3826.0,0.0674139
3827.0,0.0675226
3828.0,0.0676312
3829.0,0.06774
3830.0,0.0678489
3831.0,0.0679731
3832.0,0.0680976
3833.0,0.0682222
3834.0,0.0683467
3835.0,0.0684717
3836.0,0.0685966
3837.0,0.0687216
3838.0,0.0688468
3839.0,0.0689719
3840.0,0.0690973
3841.0,0.0692186
3842.0,0.0693401
3843.0,0.0694614
3844.0,0.0695831
3845.0,0.0697049
3846.0,0.0698266
3847.0,0.0699486
3848.0,0.0700708
3849.0,0.070193
3850.0,0.0703152
3851.0,0.0704517
3852.0,0.0705884
3853.0,0.070725
3854.0,0.0708619
3855.0,0.070999
3856.0,0.0711362
3857.0,0.0712735
3858.0,0.0714111
3859.0,0.0715486
3860.0,0.0716863
3861.0,0.0718136
3862.0,0.0719409
3863.0,0.0720683
3864.0,0.0721958
3865.0,0.0723235
3866.0,0.0724513
3867.0,0.0725792
3868.0,0.0727072
3869.0,0.0728354
3870.0,0.0729636
3871.0,0.0731046
3872.0,0.0732456
3873.0,0.0733868
3874.0,0.0735281
3875.0,0.0736696
3876.0,0.0738113
3877.0,0.0739531
3878.0,0.074095
3879.0,0.0742372
3880.0,0.0743794
3881.0,0.0745286
3882.0,0.074678
3883.0,0.0748276
3884.0,0.0749773
3885.0,0.0751272
3886.0,0.0752771
3887.0,0.0754274
3888.0,0.0755777
3889.0,0.0757282
3890.0,0.0758788
3891.0,0.0760201
3892.0,0.0761613
3893.0,0.076303
3894.0,0.0764445
3895.0,0.0765862
3896.0,0.0767282
3897.0,0.0768702
3898.0,0.0770125
3899.0,0.0771547
3900.0,0.077297
3901.0,0.0774765
3902.0,0.0776564
3903.0,0.0778365
3904.0,0.0780169
3905.0,0.0781975
3906.0,0.0783783
3907.0,0.0785594
3908.0,0.0787408
3909.0,0.0789226
3910.0,0.0791045
3911.0,0.0792741
3912.0,0.0794442
3913.0,0.0796144
3914.0,0.0797849
3915.0,0.0799554
3916.0,0.0801264
3917.0,0.0802975
3918.0,0.0804689
3919.0,0.0806406
3920.0,0.0808124
3921.0,0.0809913
3922.0,0.0811706
3923.0,0.0813502
3924.0,0.0815299
3925.0,0.0817098
3926.0,0.0818901
3927.0,0.0820705
3928.0,0.0822513
3929.0,0.0824324
3930.0,0.0826138
3931.0,0.0827779
3932.0,0.0829422
3933.0,0.0831068
3934.0,0.0832717
3935.0,0.0834366
3936.0,0.0836021
3937.0,0.0837673
3938.0,0.0839331
3939.0,0.0840991
3940.0,0.0842651
3941.0,0.0844462
3942.0,0.084628
3943.0,0.0848096
3944.0,0.0849916
3945.0,0.0851739
3946.0,0.0853564
3947.0,0.0855393
3948.0,0.0857224
3949.0,0.0859059
3950.0,0.0860892
3951.0,0.0862589
3952.0,0.0864287
3953.0,0.0865988
3954.0,0.0867691
3955.0,0.0869395
3956.0,0.0871103
3957.0,0.0872814
3958.0,0.0874524
3959.0,0.0876238
3960.0,0.0877956
3961.0,0.0879732
3962.0,0.088151
3963.0,0.0883294
3964.0,0.0885077
3965.0,0.0886863
3966.0,0.0888654
3967.0,0.0890444
3968.0,0.089224
3969.0,0.0894037
3970.0,0.0895836
3971.0,0.0897506
3972.0,0.0899179
3973.0,0.0900854
3974.0,0.090253
3975.0,0.0904208
3976.0,0.090589
3977.0,0.0907573
3978.0,0.090926
3979.0,0.0910946
3980.0,0.0912636
3981.0,0.0914484
3982.0,0.0916332
3983.0,0.0918185
3984.0,0.0920039
3985.0,0.0921893
3986.0,0.0923756
3987.0,0.0925616
3988.0,0.0927481
3989.0,0.0929348
3990.0,0.0931218
3991.0,0.0932893
3992.0,0.0934571
3993.0,0.0936249
3994.0,0.0937932
3995.0,0.0939615
3996.0,0.0941302
3997.0,0.0942988
3998.0,0.094468
3999.0,0.0946372
4000.0,0.0948063
4001.0,0.0948977
4002.0,0.0949891
4003.0,0.0950805
4004.0,0.095172
4005.0,0.0952635
4006.0,0.0953548
4007.0,0.0954463
4008.0,0.095538
4009.0,0.0956299
4010.0,0.0957217
4011.0,0.0958059
4012.0,0.0958904
4013.0,0.0959748
4014.0,0.0960594
4015.0,0.096144
4016.0,0.0962287
4017.0,0.0963132
4018.0,0.0963979
4019.0,0.0964826
4020.0,0.0965675
4021.0,0.0966653
4022.0,0.0967633
4023.0,0.0968612
4024.0,0.0969594
4025.0,0.0970575
4026.0,0.0971557
4027.0,0.097254
4028.0,0.0973521
4029.0,0.0974506
4030.0,0.097549
4031.0,0.0976338
4032.0,0.0977187
4033.0,0.0978036
4034.0,0.0978885
4035.0,0.0979736
4036.0,0.0980588
4037.0,0.0981438
4038.0,0.098229
4039.0,0.0983143
4040.0,0.0983995
4041.0,0.0984736
4042.0,0.0985479
4043.0,0.0986219
4044.0,0.0986962
4045.0,0.0987706
4046.0,0.0988448
4047.0,0.0989191
4048.0,0.0989935
4049.0,0.099068
4050.0,0.0991423
4051.0,0.0992075
4052.0,0.0992726
4053.0,0.0993379
4054.0,0.0994029
4055.0,0.099468
4056.0,0.0995335
4057.0,0.0995987
4058.0,0.0996642
4059.0,0.0997293
4060.0,0.0997945
4061.0,0.0998711
4062.0,0.0999473
4063.0,0.100024
4064.0,0.1001
4065.0,0.100177
