Wavelength,Transmission
3561.0,5.3567e-05
3562.0,0.000107185
3563.0,0.000160852
3564.0,0.000214571
3565.0,0.000268342
3566.0,0.000322162
3567.0,0.000376034
3568.0,0.000429955
3569.0,0.000483929
3570.0,0.000537953
3571.0,0.000592003
3572.0,0.000646102
3573.0,0.000700243
3574.0,0.00075443
3575.0,0.00080867
3576.0,0.000862955
3577.0,0.00091728
3578.0,0.000971656
3579.0,0.00102608
3580.0,0.00108054
3581.0,0.00113512
3582.0,0.00118974
3583.0,0.00124442
3584.0,0.00129914
3585.0,0.00135392
3586.0,0.00140875
3587.0,0.00146363
3588.0,0.00151857
3589.0,0.00157354
3590.0,0.00162858
3591.0,0.00168364
3592.0,0.00173875
3593.0,0.0017939
3594.0,0.0018491
3595.0,0.00190435
3596.0,0.00195965
3597.0,0.00201501
3598.0,0.00207039
3599.0,0.00212585
3600.0,0.00218136
3601.0,0.00223699
3602.0,0.00229268
3603.0,0.00234842
3604.0,0.00240422
3605.0,0.00246008
3606.0,0.00251597
3607.0,0.00257194
3608.0,0.00262796
3609.0,0.00268403
3610.0,0.00274014
3611.0,0.00279626
3612.0,0.00285244
3613.0,0.00290866
3614.0,0.00296492
3615.0,0.00302124
3616.0,0.00307763
3617.0,0.00313406
3618.0,0.00319054
3619.0,0.00324707
3620.0,0.00330364
3621.0,0.00336029
3622.0,0.00341701
3623.0,0.00347377
3624.0,0.00353056
3625.0,0.00358743
3626.0,0.00364435
3627.0,0.00370133
3628.0,0.00375833
3629.0,0.00381541
3630.0,0.00387254
3631.0,0.00392986
3632.0,0.00398724
3633.0,0.00404467
3634.0,0.00410216
3635.0,0.0041597
3636.0,0.00421732
3637.0,0.00427496
3638.0,0.00433268
3639.0,0.00439045
3640.0,0.00444828
3641.0,0.00450603
3642.0,0.00456381
3643.0,0.00462166
3644.0,0.00467955
3645.0,0.00473752
3646.0,0.00479549
3647.0,0.00485357
3648.0,0.00491167
3649.0,0.00496984
3650.0,0.00502803
3651.0,0.00508635
3652.0,0.00514469
3653.0,0.00520312
3654.0,0.00526157
3655.0,0.00532008
3656.0,0.00537864
3657.0,0.00543727
3658.0,0.00549595
3659.0,0.00555469
3660.0,0.00561345
3661.0,0.00567222
3662.0,0.00573101
3663.0,0.00578986
3664.0,0.00584876
3665.0,0.00590772
3666.0,0.00596672
3667.0,0.0060258
3668.0,0.00608488
3669.0,0.00614408
3670.0,0.00620327
3671.0,0.00626252
3672.0,0.00632177
