Wavelength,Transmission
4210.0,0.000117942
4220.0,0.000253802
4230.0,0.000408875
4240.0,0.000584501
4250.0,0.000782069
4260.0,0.00100302
4270.0,0.00124885
4280.0,0.00152109
4290.0,0.00182134
4300.0,0.00215123
4310.0,0.00251135
4320.0,0.0029042
4330.0,0.00333157
4340.0,0.00379524
4350.0,0.00429707
4360.0,0.00483897
4370.0,0.00542288
4380.0,0.00605081
4390.0,0.00672486
4400.0,0.00744713
4410.0,0.007797
4420.0,0.00815535
4430.0,0.00852217
4440.0,0.00889748
4450.0,0.0092813
4460.0,0.00967368
4470.0,0.0100746
4480.0,0.0104842
4490.0,0.0109025
4500.0,0.0113294
4510.0,0.0117649
4520.0,0.0122091
4530.0,0.012662
4540.0,0.0131235
4550.0,0.0135938
4560.0,0.0140728
4570.0,0.0145605
4580.0,0.0150569
4590.0,0.015562
4600.0,0.0160759
4610.0,0.0161372
4620.0,0.0161981
4630.0,0.0162586
4640.0,0.0163186
4650.0,0.0163781
4660.0,0.0164373
4670.0,0.016496
4680.0,0.0165542
4690.0,0.016612
4700.0,0.0166692
4710.0,0.0167259
4720.0,0.0167821
4730.0,0.0168379
4740.0,0.0168931
4750.0,0.0169479
4760.0,0.017002
4770.0,0.0170557
4780.0,0.0171088
4790.0,0.0171613
4800.0,0.0172133
4810.0,0.0172057
4820.0,0.0171972
4830.0,0.0171878
4840.0,0.0171773
4850.0,0.0171658
4860.0,0.0171532
4870.0,0.0171395
4880.0,0.0171248
4890.0,0.0171092
4900.0,0.0170925
4910.0,0.0170646
4920.0,0.0170355
4930.0,0.0170053
4940.0,0.0169739
4950.0,0.0169414
4960.0,0.0169078
4970.0,0.0168729
4980.0,0.0168368
4990.0,0.0167995
5000.0,0.0167611
5010.0,0.0167213
5020.0,0.0166808
5030.0,0.0166398
5040.0,0.0165982
5050.0,0.0165559
5060.0,0.0165131
5070.0,0.0164696
5080.0,0.0164255
5090.0,0.0163808
5100.0,0.0163355
5110.0,0.0162896
5120.0,0.0162431
5130.0,0.0161958
5140.0,0.016148
5150.0,0.0160995
5160.0,0.0160505
5170.0,0.0160009
5180.0,0.0159505
5190.0,0.0158995
5200.0,0.0158479
5210.0,0.0157614
5220.0,0.0156749
5230.0,0.0155882
5240.0,0.0155015
5250.0,0.0154146
5260.0,0.0153278
5270.0,0.0152408
5280.0,0.0151538
5290.0,0.0150667
5300.0,0.0149794
5310.0,0.0148921
5320.0,0.0148047
5330.0,0.0147172
5340.0,0.0146296
5350.0,0.0145419
5360.0,0.0144541
5370.0,0.0143661
5380.0,0.014278
5390.0,0.0141899
5400.0,0.0141017
5410.0,0.0140301
5420.0,0.0139581
5430.0,0.0138855
5440.0,0.0138125
5450.0,0.013739
5460.0,0.013665
5470.0,0.0135905
5480.0,0.0135155
5490.0,0.0134401
5500.0,0.0133641
5510.0,0.0132877
5520.0,0.0132109
5530.0,0.0131336
5540.0,0.0130557
5550.0,0.0129774
5560.0,0.0128985
5570.0,0.0128192
5580.0,0.0127394
5590.0,0.0126592
5600.0,0.0125785
5610.0,0.0124945
5620.0,0.0124106
5630.0,0.0123265
5640.0,0.0122424
5650.0,0.0121583
5660.0,0.0120742
5670.0,0.0119901
5680.0,0.011906
5690.0,0.0118217
5700.0,0.0117375
5710.0,0.0116533
5720.0,0.0115691
5730.0,0.0114849
5740.0,0.0114006
5750.0,0.0113164
5760.0,0.0112322
5770.0,0.011148
5780.0,0.0110637
5790.0,0.0109795
5800.0,0.0108953
5810.0,0.0108198
5820.0,0.0107443
5830.0,0.0106689
5840.0,0.0105935
5850.0,0.0105181
5860.0,0.0104428
5870.0,0.0103676
5880.0,0.0102925
5890.0,0.0102174
5900.0,0.0101423
5910.0,0.0100674
5920.0,0.00999248
5930.0,0.00991768
5940.0,0.00984294
5950.0,0.00976827
5960.0,0.00969367
5970.0,0.00961914
5980.0,0.00954467
5990.0,0.00947027
6000.0,0.00939594
6010.0,0.00927232
6020.0,0.00914915
6030.0,0.00902641
6040.0,0.00890409
6050.0,0.00878217
6060.0,0.00866066
6070.0,0.00853956
6080.0,0.00841889
6090.0,0.00829861
6100.0,0.00817873
6110.0,0.00807089
6120.0,0.00796342
6130.0,0.00785631
6140.0,0.00774954
6150.0,0.00764313
6160.0,0.00753704
6170.0,0.00743129
6180.0,0.0073259
6190.0,0.00722084
6200.0,0.00711609
6210.0,0.00703929
6220.0,0.00696264
6230.0,0.00688615
6240.0,0.00680983
6250.0,0.00673363
6260.0,0.00665756
6270.0,0.00658161
6280.0,0.0065058
6290.0,0.00643015
6300.0,0.00635463
6310.0,0.00629059
6320.0,0.00622665
6330.0,0.00616282
6340.0,0.0060991
6350.0,0.00603551
6360.0,0.00597201
6370.0,0.00590861
6380.0,0.00584531
6390.0,0.00578211
6400.0,0.00571902
6410.0,0.00564985
6420.0,0.00558068
6430.0,0.00551152
6440.0,0.00544237
6450.0,0.00537323
6460.0,0.00530409
6470.0,0.00523495
6480.0,0.00516582
6490.0,0.00509667
6500.0,0.00502754
6510.0,0.00496959
6520.0,0.00491161
6530.0,0.00485363
6540.0,0.00479567
6550.0,0.00473772
6560.0,0.0046798
6570.0,0.0046219
6580.0,0.004564
6590.0,0.00450611
6600.0,0.00444824
6610.0,0.00438797
6620.0,0.00432804
6630.0,0.00426845
6640.0,0.00420923
6650.0,0.00415032
6660.0,0.00409174
6670.0,0.00403349
6680.0,0.00397557
6690.0,0.003918
6700.0,0.00386078
6710.0,0.00381458
6720.0,0.00376865
6730.0,0.00372297
6740.0,0.00367755
6750.0,0.0036324
6760.0,0.0035875
6770.0,0.00354286
6780.0,0.00349848
6790.0,0.00345437
6800.0,0.0034105
6810.0,0.00334159
6820.0,0.00327352
6830.0,0.00320628
6840.0,0.00313987
6850.0,0.00307428
6860.0,0.0030095
6870.0,0.00294552
6880.0,0.00288234
6890.0,0.00281995
6900.0,0.00275835
6910.0,0.00269754
6920.0,0.00263752
6930.0,0.00257828
6940.0,0.00251979
6950.0,0.00246206
6960.0,0.00240507
6970.0,0.00234883
6980.0,0.00229335
6990.0,0.0022386
7000.0,0.00218457
7010.0,0.00206037
7020.0,0.00193872
7030.0,0.00181963
7040.0,0.0017031
7050.0,0.00158911
7060.0,0.00147765
7070.0,0.00136872
7080.0,0.00126232
7090.0,0.00115845
7100.0,0.00105709
7110.0,0.00095824
7120.0,0.000861898
7130.0,0.000768052
7140.0,0.0006767
7150.0,0.000587836
7160.0,0.000501454
7170.0,0.000417547
7180.0,0.000336107
7190.0,0.000257128
7200.0,0.000180606
7210.0,0.000164785
7220.0,0.000149931
7230.0,0.000136009
7240.0,0.000122981
7250.0,0.000110813
7260.0,9.94707e-05
7270.0,8.89192e-05
7280.0,7.91256e-05
7290.0,7.00568e-05
7300.0,6.1681e-05
7310.0,5.43109e-05
7320.0,4.74933e-05
7330.0,4.12054e-05
7340.0,3.54248e-05
7350.0,3.01294e-05
7360.0,2.52977e-05
7370.0,2.09087e-05
7380.0,1.69417e-05
7390.0,1.33766e-05
7400.0,1.01936e-05
7410.0,9.00141e-06
7420.0,7.90438e-06
7430.0,6.89824e-06
7440.0,5.97881e-06
7450.0,5.14205e-06
7460.0,4.38394e-06
7470.0,3.70059e-06
