Wavelength,Transmission
1158.0,1.31174e-05
1160.0,1.49194e-05
1162.0,1.68051e-05
1164.0,1.86255e-05
1166.0,2.05466e-05
1168.0,2.25705e-05
1170.0,2.46996e-05
1172.0,2.68291e-05
1174.0,2.9055e-05
1176.0,3.1379e-05
1178.0,3.38031e-05
1180.0,3.63291e-05
1182.0,3.87799e-05
1184.0,4.13179e-05
1186.0,4.39443e-05
1188.0,4.66606e-05
1190.0,4.94681e-05
1192.0,5.20318e-05
1194.0,5.46595e-05
1196.0,5.73519e-05
1198.0,6.01097e-05
1200.0,6.29334e-05
1202.0,6.91141e-05
1204.0,7.55665e-05
1206.0,8.22971e-05
1208.0,8.93124e-05
1210.0,9.66188e-05
1212.0,0.00012619
1214.0,0.000157215
1216.0,0.000189731
1218.0,0.000221626
1220.0,0.000254445
1222.0,0.000321792
1224.0,0.000391065
1226.0,0.00046228
1228.0,0.000535457
1230.0,0.000610611
1232.0,0.000891364
1234.0,0.00117941
1236.0,0.00147479
1238.0,0.00177756
1240.0,0.00208778
1242.0,0.00230267
1244.0,0.00252207
1246.0,0.00274601
1248.0,0.0029745
1250.0,0.00320757
1252.0,0.00330574
1254.0,0.00340521
1256.0,0.00350599
1258.0,0.00360808
1260.0,0.00371149
1262.0,0.00378237
1264.0,0.00385393
1266.0,0.00392616
1268.0,0.00399906
1270.0,0.00407264
1272.0,0.00413388
1274.0,0.00419556
1276.0,0.00425768
1278.0,0.00432023
1280.0,0.00438323
1282.0,0.00443578
1284.0,0.00448861
1286.0,0.00454171
1288.0,0.00459508
1290.0,0.00464871
1292.0,0.00468549
1294.0,0.00472233
1296.0,0.00475921
1298.0,0.00479613
1300.0,0.00483311
1302.0,0.00485635
1304.0,0.00487962
1306.0,0.00490292
1308.0,0.00492625
1310.0,0.0049496
1312.0,0.00498173
1314.0,0.00501392
1316.0,0.00504619
1318.0,0.00507854
1320.0,0.00511095
1322.0,0.00513512
1324.0,0.00515931
1326.0,0.00518354
1328.0,0.0052078
1330.0,0.0052321
1332.0,0.00525066
1334.0,0.00526923
1336.0,0.00528781
1338.0,0.00530638
1340.0,0.00532496
1342.0,0.00537776
1344.0,0.00543073
1346.0,0.00548386
1348.0,0.00553716
1350.0,0.00559063
1352.0,0.00564017
1354.0,0.00568987
1356.0,0.00573972
1358.0,0.00578973
1360.0,0.00583989
1362.0,0.00590171
1364.0,0.00596375
1366.0,0.00602599
1368.0,0.00608844
1370.0,0.0061511
1372.0,0.00619807
1374.0,0.00624517
1376.0,0.0062924
1378.0,0.00633975
1380.0,0.00638723
1382.0,0.00643448
1384.0,0.00648185
1386.0,0.00652934
1388.0,0.00657696
1390.0,0.0066247
1392.0,0.0066617
1394.0,0.00669877
1396.0,0.00673591
1398.0,0.00677311
1400.0,0.00681039
1402.0,0.00684011
1404.0,0.00686986
1406.0,0.00689962
1408.0,0.00692941
1410.0,0.00695923
1412.0,0.00698705
1414.0,0.00701487
1416.0,0.00704271
1418.0,0.00707056
1420.0,0.00709842
1422.0,0.00712799
1424.0,0.00715757
1426.0,0.00718717
1428.0,0.00721679
1430.0,0.00724642
1432.0,0.00727757
1434.0,0.00730874
1436.0,0.00733838
1438.0,0.00736647
1440.0,0.00739454
1442.0,0.00742191
1444.0,0.00744926
1446.0,0.0074766
1448.0,0.00750393
1450.0,0.00753123
1452.0,0.00756169
1454.0,0.00759214
1456.0,0.00762258
1458.0,0.00765302
1460.0,0.00768344
1462.0,0.007716
1464.0,0.00774855
1466.0,0.0077811
1468.0,0.00781363
1470.0,0.00784615
1472.0,0.00786029
1474.0,0.00787437
1476.0,0.00788839
1478.0,0.00790234
1480.0,0.00791624
1482.0,0.00793694
1484.0,0.0079576
1486.0,0.0079782
1488.0,0.00799874
1490.0,0.00801924
1492.0,0.0080412
1494.0,0.00806311
1496.0,0.00808496
1498.0,0.00810675
1500.0,0.00812847
1502.0,0.00814511
1504.0,0.00816168
1506.0,0.00817818
1508.0,0.00819461
1510.0,0.00821097
1512.0,0.00822673
1514.0,0.00824242
1516.0,0.00825804
1518.0,0.00827357
1520.0,0.00828903
1522.0,0.00831697
1524.0,0.00834481
1526.0,0.00837255
1528.0,0.00840019
1530.0,0.00842773
1532.0,0.00844121
1534.0,0.00845461
1536.0,0.00846792
1538.0,0.00848114
1540.0,0.00849427
1542.0,0.00851373
1544.0,0.00853308
1546.0,0.00855234
1548.0,0.0085715
1550.0,0.00859055
1552.0,0.00860303
1554.0,0.00861542
1556.0,0.00862771
1558.0,0.00863991
1560.0,0.00865201
1562.0,0.00867741
1564.0,0.00870268
1566.0,0.00872783
1568.0,0.00875286
1570.0,0.00877776
1572.0,0.00878984
1574.0,0.00880182
1576.0,0.00881372
1578.0,0.00882552
1580.0,0.00883724
1582.0,0.00885549
1584.0,0.00887364
1586.0,0.0088917
1588.0,0.00890967
1590.0,0.00892755
1592.0,0.00895106
1594.0,0.00897447
1596.0,0.0089978
1598.0,0.00902104
1600.0,0.00904419
1602.0,0.0090446
1604.0,0.0090449
1606.0,0.0090451
1608.0,0.00904519
1610.0,0.00905256
1612.0,0.00906479
1614.0,0.00907693
1616.0,0.00908897
1618.0,0.00910091
1620.0,0.00911275
1622.0,0.00913715
1624.0,0.00916143
1626.0,0.0091856
1628.0,0.00920965
1630.0,0.00923358
1632.0,0.00924728
1634.0,0.00926092
1636.0,0.00927451
1638.0,0.00928802
1640.0,0.00930148
1642.0,0.00931646
1644.0,0.00933139
1646.0,0.00934628
1648.0,0.00936112
1650.0,0.00937592
1652.0,0.0094029
1654.0,0.00942982
1656.0,0.00945666
1658.0,0.00948343
1660.0,0.00951013
1662.0,0.00952836
1664.0,0.00954655
1666.0,0.0095647
1668.0,0.00958281
1670.0,0.00960088
1672.0,0.00962363
1674.0,0.00964634
1676.0,0.00966903
1678.0,0.00969169
1680.0,0.00971431
1682.0,0.00973984
1684.0,0.00976535
1686.0,0.00979083
1688.0,0.00981629
1690.0,0.00984173
1692.0,0.00986089
1694.0,0.00988004
1696.0,0.00989916
1698.0,0.00991826
1700.0,0.00993733
1702.0,0.00994071
1704.0,0.00994398
1706.0,0.00994713
1708.0,0.00995017
1710.0,0.00995308
1712.0,0.00995753
1714.0,0.00996186
1716.0,0.00996606
1718.0,0.00997015
1720.0,0.0099741
1722.0,0.00997896
1724.0,0.0099837
1726.0,0.0099883
1728.0,0.00999278
1730.0,0.00999712
1732.0,0.0100018
1734.0,0.0100063
1736.0,0.0100106
1738.0,0.0100149
1740.0,0.010019
1742.0,0.0100229
1744.0,0.0100266
1746.0,0.0100302
1748.0,0.0100336
1750.0,0.010037
1752.0,0.0100368
1754.0,0.0100365
1756.0,0.0100361
1758.0,0.0100355
1760.0,0.0100348
1762.0,0.0100335
1764.0,0.0100321
1766.0,0.0100306
1768.0,0.0100289
1770.0,0.010027
1772.0,0.0100246
1774.0,0.0100221
1776.0,0.0100193
1778.0,0.0100165
1780.0,0.0100134
1782.0,0.0100099
1784.0,0.0100062
1786.0,0.0100023
1788.0,0.00999827
1790.0,0.00999409
1792.0,0.00998936
1794.0,0.00998447
1796.0,0.00997942
1798.0,0.00997421
1800.0,0.00996884
1802.0,0.00999893
1804.0,0.0100291
1806.0,0.0100593
1808.0,0.0100895
1810.0,0.0101198
1812.0,0.0101497
1814.0,0.0101797
1816.0,0.0102097
1818.0,0.0102398
1820.0,0.0102699
1822.0,0.0102996
1824.0,0.0103293
1826.0,0.010359
1828.0,0.0103889
1830.0,0.0104187
1832.0,0.0104481
1834.0,0.0104774
1836.0,0.0105069
1838.0,0.0105363
1840.0,0.0105658
1842.0,0.0105947
1844.0,0.0106237
1846.0,0.0106526
1848.0,0.0106816
1850.0,0.0107107
1852.0,0.0107382
1854.0,0.0107656
1856.0,0.0107932
1858.0,0.0108207
1860.0,0.0108483
1862.0,0.010875
1864.0,0.0109018
1866.0,0.0109285
1868.0,0.0109553
1870.0,0.0109822
1872.0,0.0110085
1874.0,0.0110348
1876.0,0.0110611
1878.0,0.0110875
1880.0,0.0111139
1882.0,0.0111401
1884.0,0.0111664
1886.0,0.0111926
1888.0,0.0112189
1890.0,0.0112452
1892.0,0.0112717
1894.0,0.0112982
1896.0,0.0113247
1898.0,0.0113512
1900.0,0.0113778
1902.0,0.011437
1904.0,0.0114964
1906.0,0.0115559
1908.0,0.0116156
1910.0,0.0116755
1912.0,0.0117352
1914.0,0.0117951
1916.0,0.0118551
1918.0,0.0119154
1920.0,0.0119757
1922.0,0.0120362
1924.0,0.0120969
1926.0,0.0121577
1928.0,0.0122187
1930.0,0.0122799
1932.0,0.0123414
1934.0,0.0124032
1936.0,0.0124651
1938.0,0.0125272
1940.0,0.0125894
1942.0,0.0126524
1944.0,0.0127155
1946.0,0.0127788
1948.0,0.0128423
1950.0,0.012906
1952.0,0.0129703
1954.0,0.0130349
1956.0,0.0130996
1958.0,0.0131645
1960.0,0.0132296
1962.0,0.0132987
1964.0,0.0133716
1966.0,0.0134447
1968.0,0.0135181
1970.0,0.0135918
1972.0,0.013666
1974.0,0.0137406
1976.0,0.0138153
1978.0,0.0138904
1980.0,0.0139657
1982.0,0.0140417
1984.0,0.0141181
1986.0,0.0141946
1988.0,0.0142715
1990.0,0.0143486
1992.0,0.0144266
1994.0,0.014505
1996.0,0.0145835
1998.0,0.0146624
2000.0,0.0147415
2002.0,0.0148184
2004.0,0.0148955
2006.0,0.0149728
2008.0,0.0150504
2010.0,0.0151283
2012.0,0.0152072
2014.0,0.0152864
2016.0,0.0153658
2018.0,0.0154455
2020.0,0.0155254
2022.0,0.015606
2024.0,0.0156868
2026.0,0.0157679
2028.0,0.0158493
2030.0,0.0159309
2032.0,0.0160128
2034.0,0.0160949
2036.0,0.0161773
2038.0,0.0162599
2040.0,0.0163428
2042.0,0.0164255
2044.0,0.0165084
2046.0,0.0165916
2048.0,0.0166751
2050.0,0.0167588
2052.0,0.0168445
2054.0,0.0169304
2056.0,0.0170166
2058.0,0.0171031
2060.0,0.0171899
2062.0,0.0172768
2064.0,0.0173641
2066.0,0.0174516
2068.0,0.0175393
2070.0,0.0176274
2072.0,0.0177152
2074.0,0.0178033
2076.0,0.0178917
2078.0,0.0179803
2080.0,0.0180692
2082.0,0.0181576
2084.0,0.0182462
2086.0,0.0183351
2088.0,0.0184242
2090.0,0.0185136
2092.0,0.018602
2094.0,0.0186907
2096.0,0.0187797
2098.0,0.0188689
2100.0,0.0189583
2102.0,0.0190499
2104.0,0.0191418
2106.0,0.019234
2108.0,0.0193264
2110.0,0.019419
2112.0,0.0195109
2114.0,0.019603
2116.0,0.0196953
2118.0,0.0197879
2120.0,0.0198808
2122.0,0.0199727
2124.0,0.0200648
2126.0,0.0201571
2128.0,0.0202498
2130.0,0.0203426
2132.0,0.0204343
2134.0,0.0205262
2136.0,0.0206184
2138.0,0.0207108
2140.0,0.0208035
2142.0,0.0208947
2144.0,0.0209862
2146.0,0.021078
2148.0,0.02117
2150.0,0.0212622
2152.0,0.0213564
2154.0,0.0214509
2156.0,0.0215456
2158.0,0.0216405
