Wavelength,Transmission
1000.0,2.10814e-06
1010.0,3.05765e-06
1020.0,3.50226e-06
1030.0,3.55839e-06
1040.0,3.3387e-06
1050.0,2.77728e-06
1060.0,2.40226e-06
1070.0,2.25171e-06
1080.0,2.21959e-06
1090.0,2.36886e-06
1100.0,2.98727e-06
1110.0,4.87536e-06
1120.0,9.81722e-06
1130.0,1.45511e-05
1140.0,1.90713e-05
1150.0,2.33736e-05
1152.0,2.7608e-05
1154.0,3.2227e-05
1156.0,3.72457e-05
1158.0,4.26792e-05
1160.0,4.85425e-05
1162.0,5.46779e-05
1164.0,6.06008e-05
1166.0,6.68511e-05
1168.0,7.34363e-05
1170.0,8.03636e-05
1172.0,8.72924e-05
1174.0,9.45346e-05
1176.0,0.000102096
1178.0,0.000109983
1180.0,0.000118202
1182.0,0.000126176
1184.0,0.000134434
1186.0,0.000142979
1188.0,0.000151817
1190.0,0.000160952
1192.0,0.000169293
1194.0,0.000177842
1196.0,0.000186603
1198.0,0.000195575
1200.0,0.000204763
1202.0,0.000213552
1204.0,0.00022261
1206.0,0.00023194
1208.0,0.00024155
1210.0,0.000251442
1212.0,0.000268408
1214.0,0.000286024
1216.0,0.000304304
1218.0,0.00032016
1220.0,0.000336395
1222.0,0.000361212
1224.0,0.000386651
1226.0,0.000412718
1228.0,0.000439419
1230.0,0.000466757
1232.0,0.000498133
1234.0,0.000530206
1236.0,0.000562983
1238.0,0.000596467
1240.0,0.000630664
1242.0,0.000664702
1244.0,0.000699384
1246.0,0.000734715
1248.0,0.000770695
1250.0,0.00080733
1252.0,0.000842927
1254.0,0.000879049
1256.0,0.000915698
1258.0,0.000952875
1260.0,0.000990581
1262.0,0.00103659
1264.0,0.00108321
1266.0,0.00113045
1268.0,0.00117829
1270.0,0.00122676
1272.0,0.00127114
1274.0,0.00131604
1276.0,0.00136143
1278.0,0.00140733
1280.0,0.00145373
1282.0,0.00149435
1284.0,0.00153536
1286.0,0.00157676
1288.0,0.00161856
1290.0,0.00166075
1292.0,0.00170356
1294.0,0.00174675
1296.0,0.00179032
1298.0,0.00183426
1300.0,0.00187859
1302.0,0.00191663
1304.0,0.00195483
1306.0,0.00199318
1308.0,0.00203169
1310.0,0.00207036
1312.0,0.00210617
1314.0,0.00214212
1316.0,0.00217822
1318.0,0.00221446
1320.0,0.00225084
1322.0,0.00227194
1324.0,0.00229311
1326.0,0.00231435
1328.0,0.00233566
1330.0,0.00235703
1332.0,0.00237309
1334.0,0.0023892
1336.0,0.00240534
1338.0,0.00242152
1340.0,0.00243774
1342.0,0.00245029
1344.0,0.00246286
1346.0,0.00247545
1348.0,0.00248806
1350.0,0.0025007
1352.0,0.00250799
1354.0,0.00251528
1356.0,0.00252256
1358.0,0.00252983
1360.0,0.00253709
1362.0,0.00253918
1364.0,0.00254124
1366.0,0.00254326
1368.0,0.00254525
1370.0,0.00254721
1372.0,0.00254453
1374.0,0.0025418
1376.0,0.00253902
1378.0,0.00253617
1380.0,0.00253327
1382.0,0.00252705
1384.0,0.00252075
1386.0,0.00251439
1388.0,0.00250795
1390.0,0.00250144
1392.0,0.0024933
1394.0,0.00248509
1396.0,0.0024768
1398.0,0.00246843
1400.0,0.00245998
1402.0,0.0024518
1404.0,0.00244352
1406.0,0.00243516
1408.0,0.0024267
1410.0,0.00241815
