Wavelength,Transmission
1154.0,1.295e-06
1156.0,1.49667e-06
1158.0,1.71501e-06
1160.0,1.95062e-06
1162.0,2.19716e-06
1164.0,2.43516e-06
1166.0,2.68633e-06
1168.0,2.95094e-06
1170.0,3.22931e-06
1172.0,3.50773e-06
1174.0,3.79875e-06
1176.0,4.1026e-06
1178.0,4.41953e-06
1180.0,4.74978e-06
1182.0,5.07022e-06
1184.0,5.40204e-06
1186.0,5.74543e-06
1188.0,6.10056e-06
1190.0,6.46763e-06
1192.0,6.80281e-06
1194.0,7.14637e-06
1196.0,7.49838e-06
1198.0,7.85894e-06
1200.0,8.22812e-06
1202.0,8.45433e-06
1204.0,8.6844e-06
1206.0,8.91837e-06
1208.0,9.15627e-06
1210.0,9.39812e-06
1212.0,9.64618e-06
1214.0,9.89836e-06
1216.0,1.01547e-05
1218.0,1.03152e-05
1220.0,1.04769e-05
1222.0,1.06352e-05
1224.0,1.07945e-05
1226.0,1.09548e-05
1228.0,1.1116e-05
1230.0,1.12782e-05
1232.0,1.14295e-05
1234.0,1.15814e-05
1236.0,1.17342e-05
1238.0,1.18876e-05
1240.0,1.20417e-05
1242.0,1.21831e-05
1244.0,1.23249e-05
1246.0,1.24671e-05
1248.0,1.26098e-05
1250.0,1.2753e-05
1252.0,1.28695e-05
1254.0,1.29861e-05
1256.0,1.3103e-05
1258.0,1.322e-05
1260.0,1.33373e-05
1262.0,1.34447e-05
1264.0,1.35521e-05
1266.0,1.36596e-05
1268.0,1.37672e-05
1270.0,1.38748e-05
1272.0,1.39748e-05
1274.0,1.40747e-05
1276.0,1.41746e-05
1278.0,1.42745e-05
1280.0,1.43743e-05
1282.0,1.44691e-05
1284.0,1.45638e-05
1286.0,1.46583e-05
1288.0,1.47527e-05
1290.0,1.4847e-05
1292.0,1.49385e-05
1294.0,1.50299e-05
1296.0,1.51211e-05
1298.0,1.52121e-05
1300.0,1.5303e-05
1302.0,1.53419e-05
1304.0,1.53807e-05
1306.0,1.54194e-05
1308.0,1.5458e-05
1310.0,1.54966e-05
1312.0,1.55357e-05
1314.0,1.55748e-05
1316.0,1.56138e-05
1318.0,1.56527e-05
1320.0,1.56915e-05
1322.0,1.57311e-05
1324.0,1.57706e-05
1326.0,1.581e-05
1328.0,1.58493e-05
1330.0,1.58885e-05
1332.0,1.59281e-05
1334.0,1.59675e-05
1336.0,1.60069e-05
1338.0,1.60462e-05
1340.0,1.60854e-05
1342.0,1.61246e-05
1344.0,1.61637e-05
1346.0,1.62027e-05
1348.0,1.62417e-05
1350.0,1.62806e-05
1352.0,1.63231e-05
1354.0,1.63655e-05
1356.0,1.64078e-05
1358.0,1.645e-05
1360.0,1.64922e-05
1362.0,1.65342e-05
1364.0,1.65762e-05
1366.0,1.66181e-05
1368.0,1.66599e-05
1370.0,1.67017e-05
1372.0,1.67432e-05
1374.0,1.67847e-05
1376.0,1.68261e-05
1378.0,1.68674e-05
1380.0,1.69086e-05
1382.0,1.69495e-05
1384.0,1.69904e-05
1386.0,1.70311e-05
1388.0,1.70718e-05
1390.0,1.71124e-05
1392.0,1.71525e-05
1394.0,1.71926e-05
1396.0,1.72326e-05
1398.0,1.72724e-05
1400.0,1.73122e-05
1402.0,1.73585e-05
1404.0,1.74048e-05
1406.0,1.74509e-05
1408.0,1.74969e-05
1410.0,1.75428e-05
1412.0,1.75879e-05
1414.0,1.76329e-05
1416.0,1.76778e-05
1418.0,1.77226e-05
1420.0,1.77673e-05
1422.0,1.7811e-05
1424.0,1.78546e-05
1426.0,1.78981e-05
1428.0,1.79414e-05
1430.0,1.79847e-05
1432.0,1.80267e-05
1434.0,1.80686e-05
1436.0,1.81066e-05
1438.0,1.81406e-05
1440.0,1.81745e-05
1442.0,1.82068e-05
1444.0,1.8239e-05
1446.0,1.82711e-05
1448.0,1.8303e-05
1450.0,1.83347e-05
1452.0,1.83616e-05
1454.0,1.83883e-05
1456.0,1.84149e-05
1458.0,1.84413e-05
1460.0,1.84676e-05
1462.0,1.84919e-05
1464.0,1.85161e-05
1466.0,1.85402e-05
1468.0,1.8564e-05
1470.0,1.85877e-05
1472.0,1.86093e-05
1474.0,1.86306e-05
1476.0,1.86518e-05
1478.0,1.86728e-05
1480.0,1.86937e-05
1482.0,1.87121e-05
1484.0,1.87303e-05
1486.0,1.87483e-05
1488.0,1.87662e-05
1490.0,1.87839e-05
1492.0,1.87988e-05
1494.0,1.88135e-05
1496.0,1.8828e-05
1498.0,1.88423e-05
1500.0,1.88564e-05
1502.0,1.88491e-05
1504.0,1.88417e-05
1506.0,1.88341e-05
1508.0,1.88264e-05
1510.0,1.88186e-05
1512.0,1.88086e-05
1514.0,1.87985e-05
1516.0,1.87883e-05
1518.0,1.87779e-05
1520.0,1.87674e-05
1522.0,1.87553e-05
1524.0,1.8743e-05
1526.0,1.87306e-05
1528.0,1.87181e-05
1530.0,1.87054e-05
1532.0,1.86917e-05
1534.0,1.86779e-05
1536.0,1.8664e-05
1538.0,1.86499e-05
1540.0,1.86357e-05
1542.0,1.8621e-05
1544.0,1.86063e-05
1546.0,1.85914e-05
1548.0,1.85764e-05
1550.0,1.85613e-05
1552.0,1.85399e-05
1554.0,1.85185e-05
1556.0,1.8497e-05
1558.0,1.84754e-05
1560.0,1.84537e-05
1562.0,1.84329e-05
1564.0,1.84121e-05
1566.0,1.83911e-05
1568.0,1.83701e-05
1570.0,1.8349e-05
1572.0,1.83295e-05
1574.0,1.83099e-05
1576.0,1.82903e-05
1578.0,1.82705e-05
1580.0,1.82507e-05
1582.0,1.82331e-05
1584.0,1.82155e-05
1586.0,1.81977e-05
1588.0,1.81799e-05
1590.0,1.8162e-05
1592.0,1.81471e-05
1594.0,1.81321e-05
1596.0,1.8117e-05
1598.0,1.81018e-05
1600.0,1.80866e-05
1602.0,1.80342e-05
1604.0,1.79819e-05
1606.0,1.79297e-05
1608.0,1.78775e-05
1610.0,1.78401e-05
1612.0,1.7807e-05
1614.0,1.77739e-05
1616.0,1.77409e-05
1618.0,1.77078e-05
1620.0,1.76748e-05
1622.0,1.76469e-05
1624.0,1.7619e-05
1626.0,1.75911e-05
1628.0,1.75632e-05
1630.0,1.75353e-05
1632.0,1.75131e-05
1634.0,1.7491e-05
1636.0,1.74688e-05
1638.0,1.74467e-05
1640.0,1.74246e-05
1642.0,1.74086e-05
1644.0,1.73927e-05
1646.0,1.73768e-05
1648.0,1.73609e-05
1650.0,1.73449e-05
1652.0,1.73296e-05
1654.0,1.73142e-05
1656.0,1.72988e-05
1658.0,1.72834e-05
1660.0,1.7268e-05
1662.0,1.72591e-05
1664.0,1.725e-05
1666.0,1.7241e-05
1668.0,1.72319e-05
1670.0,1.72228e-05
1672.0,1.72194e-05
1674.0,1.72159e-05
1676.0,1.72124e-05
1678.0,1.72088e-05
1680.0,1.72052e-05
1682.0,1.72065e-05
1684.0,1.72077e-05
1686.0,1.72088e-05
1688.0,1.72099e-05
1690.0,1.7211e-05
1692.0,1.72162e-05
1694.0,1.72214e-05
1696.0,1.72266e-05
1698.0,1.72317e-05
1700.0,1.72367e-05
1702.0,1.722e-05
1704.0,1.72032e-05
1706.0,1.71862e-05
1708.0,1.71691e-05
1710.0,1.71518e-05
1712.0,1.71373e-05
1714.0,1.71227e-05
1716.0,1.71079e-05
1718.0,1.70929e-05
1720.0,1.70778e-05
1722.0,1.70648e-05
1724.0,1.70516e-05
1726.0,1.70383e-05
1728.0,1.70247e-05
1730.0,1.7011e-05
1732.0,1.69987e-05
1734.0,1.69862e-05
1736.0,1.69736e-05
1738.0,1.69607e-05
1740.0,1.69477e-05
1742.0,1.69356e-05
1744.0,1.69232e-05
1746.0,1.69107e-05
1748.0,1.6898e-05
1750.0,1.68851e-05
1752.0,1.68676e-05
1754.0,1.685e-05
1756.0,1.68321e-05
1758.0,1.68141e-05
1760.0,1.67958e-05
1762.0,1.67777e-05
1764.0,1.67594e-05
1766.0,1.67408e-05
1768.0,1.67221e-05
1770.0,1.67031e-05
1772.0,1.66843e-05
1774.0,1.66653e-05
1776.0,1.6646e-05
1778.0,1.66265e-05
1780.0,1.66068e-05
1782.0,1.65873e-05
1784.0,1.65676e-05
1786.0,1.65476e-05
1788.0,1.65275e-05
1790.0,1.65071e-05
1792.0,1.64868e-05
1794.0,1.64664e-05
1796.0,1.64457e-05
1798.0,1.64248e-05
1800.0,1.64036e-05
