Wavelength,Transmission
1090.0,5.33741e-08
1100.0,6.73078e-08
1110.0,2.40723e-07
1120.0,7.58248e-07
1130.0,1.52188e-06
1140.0,2.4775e-06
1150.0,3.54496e-06
1152.0,4.28587e-06
1154.0,5.11816e-06
1156.0,6.04838e-06
1158.0,7.08334e-06
1160.0,8.23002e-06
1162.0,9.43443e-06
1164.0,1.06384e-05
1166.0,1.19364e-05
1168.0,1.33327e-05
1170.0,1.48317e-05
1172.0,1.6331e-05
1174.0,1.79248e-05
1176.0,1.96164e-05
1178.0,2.14097e-05
1180.0,2.33082e-05
1182.0,2.51513e-05
1184.0,2.70858e-05
1186.0,2.91143e-05
1188.0,3.12397e-05
1190.0,3.34647e-05
1192.0,3.5514e-05
1194.0,3.76385e-05
1196.0,3.98397e-05
1198.0,4.21193e-05
1200.0,4.44789e-05
1202.0,4.60146e-05
1204.0,4.75883e-05
1206.0,4.92005e-05
1208.0,5.08518e-05
1210.0,5.25428e-05
1212.0,5.41818e-05
1214.0,5.58569e-05
1216.0,5.75686e-05
1218.0,5.87484e-05
1220.0,5.99426e-05
1222.0,6.10459e-05
1224.0,6.21605e-05
1226.0,6.32867e-05
1228.0,6.44244e-05
1230.0,6.55737e-05
1232.0,6.66163e-05
1234.0,6.76675e-05
1236.0,6.87273e-05
1238.0,6.97957e-05
1240.0,7.08727e-05
1242.0,7.18667e-05
1244.0,7.28672e-05
1246.0,7.38742e-05
1248.0,7.48878e-05
1250.0,7.59079e-05
1252.0,7.67549e-05
1254.0,7.7606e-05
1256.0,7.84611e-05
1258.0,7.93204e-05
1260.0,8.01837e-05
1262.0,8.09424e-05
1264.0,8.17033e-05
1266.0,8.24664e-05
1268.0,8.32317e-05
1270.0,8.39991e-05
1272.0,8.46806e-05
1274.0,8.53628e-05
1276.0,8.60458e-05
1278.0,8.67295e-05
1280.0,8.7414e-05
1282.0,8.80341e-05
1284.0,8.86541e-05
1286.0,8.92739e-05
1288.0,8.98935e-05
1290.0,9.05129e-05
1292.0,9.1088e-05
1294.0,9.16623e-05
1296.0,9.22359e-05
1298.0,9.28088e-05
1300.0,9.33808e-05
1302.0,9.35931e-05
1304.0,9.38047e-05
1306.0,9.40156e-05
1308.0,9.42259e-05
1310.0,9.44355e-05
1312.0,9.45995e-05
1314.0,9.47626e-05
1316.0,9.49249e-05
1318.0,9.50863e-05
1320.0,9.52468e-05
1322.0,9.53835e-05
1324.0,9.55193e-05
1326.0,9.56541e-05
1328.0,9.57879e-05
1330.0,9.59208e-05
1332.0,9.60488e-05
1334.0,9.61759e-05
1336.0,9.6302e-05
1338.0,9.64271e-05
1340.0,9.65512e-05
1342.0,9.66911e-05
1344.0,9.683e-05
1346.0,9.69681e-05
1348.0,9.71053e-05
1350.0,9.72415e-05
1352.0,9.74163e-05
1354.0,9.75902e-05
1356.0,9.77633e-05
1358.0,9.79354e-05
1360.0,9.81067e-05
1362.0,9.82792e-05
1364.0,9.84508e-05
1366.0,9.86216e-05
1368.0,9.87915e-05
1370.0,9.89606e-05
1372.0,9.91294e-05
1374.0,9.92974e-05
1376.0,9.94645e-05
1378.0,9.96308e-05
1380.0,9.97962e-05
1382.0,9.99595e-05
1384.0,0.000100122
1386.0,0.000100284
1388.0,0.000100444
1390.0,0.000100604
1392.0,0.00010076
1394.0,0.000100915
1396.0,0.00010107
1398.0,0.000101223
1400.0,0.000101376
1402.0,0.000101565
1404.0,0.000101753
1406.0,0.00010194
1408.0,0.000102126
1410.0,0.000102311
1412.0,0.000102491
1414.0,0.00010267
1416.0,0.000102848
1418.0,0.000103024
1420.0,0.0001032
1422.0,0.000103369
1424.0,0.000103538
1426.0,0.000103705
1428.0,0.000103871
1430.0,0.000104036
1432.0,0.000104193
1434.0,0.00010435
1436.0,0.000104483
1438.0,0.000104593
1440.0,0.000104702
1442.0,0.000104802
1444.0,0.0001049
1446.0,0.000104998
1448.0,0.000105094
1450.0,0.000105189
1452.0,0.00010525
1454.0,0.000105311
1456.0,0.00010537
1458.0,0.000105429
1460.0,0.000105486
1462.0,0.000105526
1464.0,0.000105566
1466.0,0.000105604
1468.0,0.000105641
1470.0,0.000105677
1472.0,0.000105703
