Wavelength,Transmission
1120.0,1.73013e-05
1130.0,2.5644e-05
1140.0,3.36102e-05
1150.0,4.11923e-05
1152.0,4.86547e-05
1154.0,5.6795e-05
1156.0,6.56397e-05
1158.0,7.52153e-05
1160.0,8.55485e-05
1162.0,9.63612e-05
1164.0,0.000106799
1166.0,0.000117815
1168.0,0.00012942
1170.0,0.000141628
1172.0,0.000153839
1174.0,0.000166602
1176.0,0.000179928
1178.0,0.000193828
1180.0,0.000208312
1182.0,0.000222365
1184.0,0.000236918
1186.0,0.000251978
1188.0,0.000267553
1190.0,0.000283652
1192.0,0.000298352
1194.0,0.000313419
1196.0,0.000328858
1198.0,0.000344671
1200.0,0.000360862
1202.0,0.000370783
1204.0,0.000380873
1206.0,0.000391134
1208.0,0.000401568
1210.0,0.000412175
1212.0,0.000423054
1214.0,0.000434114
1216.0,0.000445355
1218.0,0.000452397
1220.0,0.000459485
1222.0,0.000466429
1224.0,0.000473416
1226.0,0.000480445
1228.0,0.000487516
1230.0,0.00049463
1232.0,0.000501264
1234.0,0.000507929
1236.0,0.000514626
1238.0,0.000521355
1240.0,0.000528116
1242.0,0.000534315
1244.0,0.000540533
1246.0,0.000546772
1248.0,0.000553032
1250.0,0.000559312
1252.0,0.000564418
1254.0,0.000569533
1256.0,0.000574658
1258.0,0.000579793
1260.0,0.000584936
1262.0,0.000589645
1264.0,0.000594357
1266.0,0.000599071
1268.0,0.000603788
1270.0,0.000608508
1272.0,0.000612894
1274.0,0.000617277
1276.0,0.000621659
1278.0,0.000626038
1280.0,0.000630415
1282.0,0.000634572
1284.0,0.000638725
1286.0,0.000642871
1288.0,0.000647013
1290.0,0.000651149
1292.0,0.000655162
1294.0,0.000659168
1296.0,0.000663167
1298.0,0.000667159
1300.0,0.000671144
1302.0,0.00067285
1304.0,0.000674552
1306.0,0.00067625
1308.0,0.000677944
1310.0,0.000679635
1312.0,0.000681352
1314.0,0.000683066
1316.0,0.000684776
1318.0,0.000686482
1320.0,0.000688185
1322.0,0.00068992
1324.0,0.000691651
1326.0,0.000693379
1328.0,0.000695104
1330.0,0.000696826
1332.0,0.000698559
1334.0,0.000700289
1336.0,0.000702016
1338.0,0.00070374
1340.0,0.000705461
1342.0,0.000707179
1344.0,0.000708894
1346.0,0.000710605
1348.0,0.000712314
1350.0,0.000714019
1352.0,0.000715882
1354.0,0.000717742
1356.0,0.000719598
1358.0,0.000721451
1360.0,0.000723301
1362.0,0.000725145
1364.0,0.000726986
1366.0,0.000728823
1368.0,0.000730657
1370.0,0.000732487
1372.0,0.000734309
1374.0,0.000736128
1376.0,0.000737943
1378.0,0.000739755
1380.0,0.000741563
1382.0,0.000743358
1384.0,0.000745149
1386.0,0.000746936
1388.0,0.00074872
1390.0,0.000750501
1392.0,0.000752261
1394.0,0.000754018
1396.0,0.00075577
1398.0,0.00075752
1400.0,0.000759265
1402.0,0.000761296
1404.0,0.000763323
1406.0,0.000765345
1408.0,0.000767363
1410.0,0.000769377
1412.0,0.000771355
1414.0,0.000773329
1416.0,0.000775298
1418.0,0.000777263
1420.0,0.000779223
1422.0,0.00078114
1424.0,0.000783051
1426.0,0.000784958
1428.0,0.00078686
1430.0,0.000788757
1432.0,0.000790601
1434.0,0.000792439
1436.0,0.000794105
1438.0,0.000795596
1440.0,0.00079708
1442.0,0.000798499
1444.0,0.000799912
1446.0,0.000801317
1448.0,0.000802716
1450.0,0.000804107
1452.0,0.000805286
1454.0,0.000806459
1456.0,0.000807625
1458.0,0.000808784
1460.0,0.000809936
1462.0,0.000811004
1464.0,0.000812065
1466.0,0.000813119
1468.0,0.000814166
1470.0,0.000815205
1472.0,0.000816149
1474.0,0.000817086
1476.0,0.000818015
1478.0,0.000818937
1480.0,0.000819851
1482.0,0.000820658
1484.0,0.000821458
1486.0,0.000822249
1488.0,0.000823032
1490.0,0.000823807
1492.0,0.000824461
1494.0,0.000825106
1496.0,0.000825742
1498.0,0.00082637
1500.0,0.00082699
1502.0,0.000826669
1504.0,0.000826342
1506.0,0.000826011
1508.0,0.000825673
1510.0,0.000825331
1512.0,0.000824893
1514.0,0.000824449
1516.0,0.000824
1518.0,0.000823545
1520.0,0.000823085
1522.0,0.000822553
1524.0,0.000822015
1526.0,0.000821471
1528.0,0.000820922
1530.0,0.000820366
1532.0,0.000819766
1534.0,0.00081916
1536.0,0.000818548
1538.0,0.00081793
1540.0,0.000817307
1542.0,0.000816666
1544.0,0.000816019
1546.0,0.000815366
1548.0,0.000814708
1550.0,0.000814044
1552.0,0.000813109
1554.0,0.000812169
1556.0,0.000811226
1558.0,0.000810278
1560.0,0.000809326
1562.0,0.000808416
1564.0,0.000807501
1566.0,0.000806583
1568.0,0.000805661
1570.0,0.000804734
1572.0,0.00080388
1574.0,0.000803021
1576.0,0.000802159
1578.0,0.000801293
1580.0,0.000800423
1582.0,0.000799653
1584.0,0.000798879
1586.0,0.000798101
1588.0,0.00079732
1590.0,0.000796535
1592.0,0.00079588
1594.0,0.000795221
1596.0,0.000794559
1598.0,0.000793894
1600.0,0.000793225
1602.0,0.000817797
1604.0,0.000842216
1606.0,0.000866485
1608.0,0.000890602
1610.0,0.000915316
1612.0,0.000951747
1614.0,0.000988037
1616.0,0.00102419
1618.0,0.0010602
1620.0,0.00109606
1622.0,0.00120909
1624.0,0.00132175
1626.0,0.00143405
1628.0,0.00154599
1630.0,0.00165756
1632.0,0.00184483
1634.0,0.00203163
1636.0,0.00221794
1638.0,0.00240378
1640.0,0.00258913
1642.0,0.00279115
1644.0,0.0029928
1646.0,0.00319406
1648.0,0.00339496
1650.0,0.00359548
1652.0,0.00379592
1654.0,0.00399601
1656.0,0.00419572
1658.0,0.00439508
1660.0,0.00459406
1662.0,0.00479424
1664.0,0.00499421
1666.0,0.00519395
1668.0,0.00539347
1670.0,0.00559277
1672.0,0.00576086
1674.0,0.00592888
1676.0,0.00609681
1678.0,0.00626466
1680.0,0.00643243
1682.0,0.00657338
1684.0,0.00671434
1686.0,0.00685529
1688.0,0.00699625
1690.0,0.0071372
1692.0,0.00725698
1694.0,0.00737681
1696.0,0.00749669
1698.0,0.00761661
1700.0,0.00773657
1702.0,0.00782275
1704.0,0.00790868
1706.0,0.00799435
1708.0,0.00807976
1710.0,0.0081649
1712.0,0.00823034
1714.0,0.00829556
1716.0,0.00836058
1718.0,0.00842538
1720.0,0.00848998
1722.0,0.00854197
1724.0,0.00859378
1726.0,0.00864541
1728.0,0.00869684
1730.0,0.00874809
1732.0,0.0087848
1734.0,0.00882135
1736.0,0.00885774
1738.0,0.00889395
1740.0,0.00893
1742.0,0.00895489
1744.0,0.00897963
1746.0,0.00900422
1748.0,0.00902865
1750.0,0.00905293
1752.0,0.00906253
1754.0,0.00907197
1756.0,0.00908126
1758.0,0.00909039
1760.0,0.00909936
1762.0,0.00909953
1764.0,0.00909957
1766.0,0.00909946
1768.0,0.00909921
1770.0,0.00909882
1772.0,0.00909902
1774.0,0.00909907
1776.0,0.00909897
1778.0,0.00909873
1780.0,0.00909835
1782.0,0.00909719
1784.0,0.0090959
1786.0,0.00909445
1788.0,0.00909286
1790.0,0.00909112
1792.0,0.00908801
1794.0,0.00908477
1796.0,0.00908137
1798.0,0.00907783
1800.0,0.00907414
1802.0,0.00910185
1804.0,0.0091296
1806.0,0.0091574
1808.0,0.00918524
1810.0,0.00921312
1812.0,0.00923993
1814.0,0.00926678
1816.0,0.00929366
1818.0,0.00932058
1820.0,0.00934754
1822.0,0.00937382
1824.0,0.00940013
1826.0,0.00942648
1828.0,0.00945286
1830.0,0.00947928
1832.0,0.00950484
1834.0,0.00953044
1836.0,0.00955607
1838.0,0.00958173
1840.0,0.00960742
1842.0,0.00963265
1844.0,0.00965792
1846.0,0.0096832
1848.0,0.00970852
1850.0,0.00973386
1852.0,0.00975808
1854.0,0.00978231
1856.0,0.00980657
1858.0,0.00983085
1860.0,0.00985515
1862.0,0.00987918
1864.0,0.00990323
1866.0,0.0099273
1868.0,0.0099514
1870.0,0.00997551
1872.0,0.0100002
1874.0,0.010025
1876.0,0.0100497
1878.0,0.0100745
1880.0,0.0100993
1882.0,0.0101248
1884.0,0.0101502
1886.0,0.0101758
1888.0,0.0102013
1890.0,0.0102269
1892.0,0.0102517
1894.0,0.0102767
1896.0,0.0103016
1898.0,0.0103265
1900.0,0.0103515
1902.0,0.0104043
1904.0,0.0104573
1906.0,0.0105104
1908.0,0.0105636
1910.0,0.010617
1912.0,0.0106699
1914.0,0.0107229
1916.0,0.0107761
1918.0,0.0108294
1920.0,0.0108829
1922.0,0.0109381
1924.0,0.0109935
1926.0,0.011049
1928.0,0.0111047
1930.0,0.0111605
1932.0,0.011218
1934.0,0.0112756
1936.0,0.0113334
1938.0,0.0113914
1940.0,0.0114495
1942.0,0.0115081
1944.0,0.0115669
1946.0,0.0116259
1948.0,0.011685
1950.0,0.0117443
1952.0,0.0118035
1954.0,0.0118628
1956.0,0.0119223
1958.0,0.011982
1960.0,0.0120418
1962.0,0.0121053
1964.0,0.0121723
1966.0,0.0122395
1968.0,0.0123069
1970.0,0.0123746
1972.0,0.0124436
1974.0,0.0125127
1976.0,0.0125822
1978.0,0.0126519
1980.0,0.0127218
1982.0,0.0127929
1984.0,0.0128644
1986.0,0.012936
1988.0,0.013008
1990.0,0.0130802
1992.0,0.0131532
1994.0,0.0132264
1996.0,0.0133
1998.0,0.0133738
2000.0,0.0134478
2002.0,0.0135192
2004.0,0.0135907
2006.0,0.0136625
2008.0,0.0137346
2010.0,0.0138068
2012.0,0.0138799
2014.0,0.0139533
2016.0,0.0140269
2018.0,0.0141007
2020.0,0.0141748
2022.0,0.0142506
2024.0,0.0143267
2026.0,0.0144031
2028.0,0.0144797
2030.0,0.0145566
2032.0,0.0146355
2034.0,0.0147147
2036.0,0.0147941
2038.0,0.0148739
2040.0,0.0149539
2042.0,0.0150333
2044.0,0.0151129
2046.0,0.0151929
2048.0,0.0152731
2050.0,0.0153536
2052.0,0.0154328
2054.0,0.0155124
2056.0,0.0155922
2058.0,0.0156722
2060.0,0.0157525
2062.0,0.0158322
2064.0,0.0159122
2066.0,0.0159924
2068.0,0.0160728
2070.0,0.0161535
2072.0,0.016238
2074.0,0.0163228
2076.0,0.0164079
2078.0,0.0164933
2080.0,0.016579
2082.0,0.016669
2084.0,0.0167594
2086.0,0.0168501
2088.0,0.0169412
2090.0,0.0170326
2092.0,0.0171204
2094.0,0.0172086
2096.0,0.0172971
2098.0,0.0173858
2100.0,0.0174749
2102.0,0.0175573
2104.0,0.01764
2106.0,0.0177228
2108.0,0.017806
2110.0,0.0178893
2112.0,0.0179687
2114.0,0.0180484
2116.0,0.0181282
2118.0,0.0182082
2120.0,0.0182885
2122.0,0.018373
2124.0,0.0184577
2126.0,0.0185427
2128.0,0.0186279
2130.0,0.0187134
2132.0,0.0188027
2134.0,0.0188924
2136.0,0.0189823
2138.0,0.0190724
2140.0,0.0191629
2142.0,0.0192515
2144.0,0.0193404
2146.0,0.0194295
2148.0,0.0195189
2150.0,0.0196086
2152.0,0.019697
2154.0,0.0197856
2156.0,0.0198745
2158.0,0.0199636
2160.0,0.0200529
2162.0,0.0201396
2164.0,0.0202266
2166.0,0.0203138
2168.0,0.0204011
2170.0,0.0204887
2172.0,0.0205762
2174.0,0.0206638
2176.0,0.0207517
2178.0,0.0208398
2180.0,0.020928
2182.0,0.0210159
2184.0,0.0211039
2186.0,0.0211921
2188.0,0.0212806
2190.0,0.0213692
2192.0,0.0214564
2194.0,0.0215437
2196.0,0.0216313
2198.0,0.021719
2200.0,0.0218069
2202.0,0.0218847
2204.0,0.0219627
2206.0,0.0220407
2208.0,0.0221189
2210.0,0.0221973
2212.0,0.0222739
2214.0,0.0223507
2216.0,0.0224276
2218.0,0.0225047
2220.0,0.0225818
2222.0,0.0226578
2224.0,0.0227339
2226.0,0.0228101
2228.0,0.0228864
2230.0,0.0229628
2232.0,0.0230385
2234.0,0.0231144
2236.0,0.0231904
2238.0,0.0232664
2240.0,0.0233426
2242.0,0.0234187
2244.0,0.0234949
2246.0,0.0235712
2248.0,0.0236476
2250.0,0.0237241
2252.0,0.0238083
2254.0,0.0238926
2256.0,0.023977
2258.0,0.0240616
2260.0,0.0241463
2262.0,0.0242318
2264.0,0.0243175
2266.0,0.0244033
2268.0,0.0244893
2270.0,0.0245754
2272.0,0.0246564
2274.0,0.0247375
2276.0,0.0248187
2278.0,0.0249001
2280.0,0.0249815
2282.0,0.0250583
2284.0,0.0251351
2286.0,0.025212
2288.0,0.025289
2290.0,0.0253661
2292.0,0.025442
2294.0,0.0255179
2296.0,0.0255939
2298.0,0.02567
2300.0,0.0257461
2302.0,0.0258284
2304.0,0.0259107
2306.0,0.0259931
2308.0,0.0260756
2310.0,0.0261582
2312.0,0.0262401
2314.0,0.0263221
2316.0,0.0264041
2318.0,0.0264862
2320.0,0.0265684
2322.0,0.0266491
2324.0,0.0267299
2326.0,0.0268107
2328.0,0.0268916
2330.0,0.0269726
2332.0,0.027052
2334.0,0.0271315
2336.0,0.0272111
2338.0,0.0272907
2340.0,0.0273704
2342.0,0.0274501
2344.0,0.0275299
2346.0,0.0276098
2348.0,0.0276897
2350.0,0.0277697
2352.0,0.0278569
2354.0,0.0279443
2356.0,0.0280317
2358.0,0.0281192
2360.0,0.0282068
2362.0,0.0282944
2364.0,0.0283821
2366.0,0.0284699
2368.0,0.0285577
2370.0,0.0286457
2372.0,0.0287313
2374.0,0.028817
2376.0,0.0289028
2378.0,0.0289886
2380.0,0.0290745
2382.0,0.0291578
2384.0,0.0292411
2386.0,0.0293244
2388.0,0.0294078
2390.0,0.0294913
2392.0,0.029577
2394.0,0.0296627
2396.0,0.0297485
2398.0,0.0298344
2400.0,0.0299204
2402.0,0.0299949
2404.0,0.0300695
2406.0,0.0301442
2408.0,0.0302189
2410.0,0.0302937
2412.0,0.03037
2414.0,0.0304464
2416.0,0.0305229
2418.0,0.0305995
2420.0,0.0306761
2422.0,0.0307439
2424.0,0.0308118
2426.0,0.0308797
2428.0,0.0309476
2430.0,0.0310156
2432.0,0.0310749
2434.0,0.0311342
2436.0,0.0311935
2438.0,0.0312528
2440.0,0.0313121
2442.0,0.0313722
2444.0,0.0314322
2446.0,0.0314922
2448.0,0.0315523
2450.0,0.0316123
2452.0,0.0316816
2454.0,0.0317508
2456.0,0.0318201
2458.0,0.0318895
2460.0,0.0319588
2462.0,0.0320303
2464.0,0.0321017
2466.0,0.0321732
2468.0,0.0322447
2470.0,0.0323163
2472.0,0.0323876
2474.0,0.032459
2476.0,0.0325305
2478.0,0.0326019
2480.0,0.0326734
2482.0,0.0327453
2484.0,0.0328172
2486.0,0.0328892
2488.0,0.0329611
2490.0,0.0330332
2492.0,0.0331048
2494.0,0.0331764
2496.0,0.0332481
2498.0,0.0333198
2500.0,0.0333915
2502.0,0.0334653
2504.0,0.0335391
2506.0,0.0336129
2508.0,0.0336868
2510.0,0.0337607
2512.0,0.0338342
2514.0,0.0339077
2516.0,0.0339813
2518.0,0.0340549
2520.0,0.0341285
2522.0,0.0342029
