Wavelength,Transmission
1160.0,0.000115934
1162.0,0.000159134
1170.0,0.00027047
1180.0,0.000387039
1190.0,0.00052504
1200.0,0.000701699
1210.0,0.000908482
1216.0,0.0010523
1220.0,0.00113147
1230.0,0.00136582
1240.0,0.00157466
1250.0,0.00176169
1260.0,0.00193387
1270.0,0.00203995
1280.0,0.0021306
1290.0,0.00216926
1300.0,0.00220249
1310.0,0.002237
1320.0,0.00226651
1330.0,0.00230684
1340.0,0.00234305
1350.0,0.00239231
1360.0,0.00243187
1370.0,0.0024824
1380.0,0.00252241
1390.0,0.00256203
1400.0,0.0025942
1410.0,0.00261896
1420.0,0.00263882
1430.0,0.00266051
1435.0,0.00266922
1440.0,0.00267319
1450.0,0.00268566
1460.0,0.00269403
1470.0,0.00270061
1480.0,0.00270374
1490.0,0.00271899
1500.0,0.00273092
1510.0,0.00275947
1520.0,0.00278477
1530.0,0.00280284
1540.0,0.00281688
1550.0,0.00280331
1560.0,0.00278717
1570.0,0.00274605
1580.0,0.00270483
1590.0,0.00266183
1600.0,0.00262026
1608.0,0.00257643
1610.0,0.00256756
1620.0,0.00252618
1630.0,0.00248847
1640.0,0.00248308
1650.0,0.00248185
1660.0,0.00248518
1670.0,0.00249301
1680.0,0.00250486
1690.0,0.00252023
1700.0,0.00253872
1710.0,0.00255995
1720.0,0.00258355
1730.0,0.00260906
1740.0,0.00263604
1750.0,0.00266417
1760.0,0.00269566
1770.0,0.00272793
1780.0,0.00276099
1790.0,0.00279486
1800.0,0.00282964
1810.0,0.00286543
1820.0,0.00290234
1830.0,0.00294051
1840.0,0.00298007
1850.0,0.00302116
1860.0,0.00306392
1870.0,0.00310853
1880.0,0.00315514
1890.0,0.00320392
1900.0,0.00325507
1910.0,0.00330872
1920.0,0.00336486
1930.0,0.00342322
1940.0,0.00348369
1950.0,0.00354618
1960.0,0.00361061
1961.0,0.0036172
1970.0,0.00368436
1980.0,0.00376095
1990.0,0.00383945
2000.0,0.00391975
2010.0,0.00399367
2020.0,0.00406887
2030.0,0.00414517
2040.0,0.00422241
2050.0,0.00430048
2060.0,0.00437913
2070.0,0.00445814
2080.0,0.00453721
2090.0,0.0046161
2100.0,0.00469453
2110.0,0.00477234
2120.0,0.00485009
2130.0,0.00492849
2140.0,0.00500827
2150.0,0.00509021
2160.0,0.0051751
2170.0,0.00526379
2180.0,0.00535714
2190.0,0.00545612
2200.0,0.00556156
2210.0,0.00566732
2220.0,0.00577811
2230.0,0.00589186
2240.0,0.00600646
2250.0,0.00611964
2260.0,0.00622953
2270.0,0.00633554
2280.0,0.00643744
2290.0,0.00653508
2300.0,0.00662831
2310.0,0.00671709
2320.0,0.00680123
2330.0,0.00688042
2340.0,0.00695488
2350.0,0.00702482
2360.0,0.00709046
2370.0,0.00715196
2380.0,0.00720952
2390.0,0.00726339
2400.0,0.00731381
2410.0,0.00736188
2420.0,0.00740698
2430.0,0.00744936
2440.0,0.00748922
2450.0,0.00752734
2460.0,0.00756415
2470.0,0.0075995
2480.0,0.00763324
2490.0,0.00766519
2500.0,0.0076952
2510.0,0.00772306
