Wavelength,Transmission
1110.0,1.91027e-07
1115.0,7.62984e-07
1120.0,1.85908e-06
1125.0,3.62453e-06
1130.0,6.27838e-06
1135.0,9.95428e-06
1140.0,1.49302e-05
1145.0,2.0091e-05
1150.0,2.63171e-05
1155.0,3.40394e-05
1160.0,4.42291e-05
1165.0,5.37138e-05
1170.0,6.43634e-05
1175.0,7.53822e-05
1180.0,8.76828e-05
1185.0,9.5744e-05
1190.0,0.000103847
1195.0,0.000109439
1200.0,0.00011314
1205.0,0.000112876
1210.0,0.000112618
1215.0,0.000111703
1220.0,0.000110132
1225.0,0.000108046
1230.0,0.000102216
1235.0,9.657e-05
1240.0,8.87915e-05
1245.0,8.12513e-05
1250.0,7.57931e-05
1255.0,6.74925e-05
1260.0,6.13476e-05
1265.0,5.6269e-05
1270.0,5.10766e-05
1275.0,4.81392e-05
1280.0,4.46045e-05
1285.0,3.91137e-05
1290.0,3.43136e-05
1295.0,3.11311e-05
1300.0,2.887e-05
1305.0,2.73876e-05
1310.0,2.58108e-05
1315.0,2.41128e-05
1320.0,2.26442e-05
1325.0,2.11824e-05
1330.0,1.96445e-05
1335.0,1.8176e-05
1340.0,1.71332e-05
1345.0,1.61845e-05
1350.0,1.5265e-05
1355.0,1.45027e-05
1360.0,1.38541e-05
1365.0,1.30583e-05
1370.0,1.22741e-05
1375.0,1.17084e-05
1380.0,1.11396e-05
1385.0,1.06167e-05
1390.0,1.01718e-05
1395.0,9.86705e-06
1400.0,9.94078e-06
1405.0,1.00802e-05
1410.0,1.03259e-05
1415.0,1.05909e-05
1420.0,1.09554e-05
1425.0,1.16772e-05
1430.0,1.30743e-05
1435.0,1.36385e-05
1440.0,1.40512e-05
1445.0,1.55946e-05
1450.0,1.64607e-05
1455.0,1.71566e-05
1460.0,1.77913e-05
1465.0,1.83918e-05
1470.0,1.8962e-05
1475.0,1.94967e-05
1480.0,1.98742e-05
1485.0,2.01406e-05
1490.0,2.04436e-05
1495.0,2.10149e-05
1500.0,2.14656e-05
1505.0,2.20106e-05
1510.0,2.25532e-05
1515.0,2.32361e-05
1520.0,2.36337e-05
1525.0,2.3936e-05
1530.0,2.42923e-05
1535.0,2.45458e-05
1540.0,2.44474e-05
1545.0,2.45666e-05
1550.0,2.47297e-05
1555.0,2.48585e-05
1560.0,2.50092e-05
1565.0,2.53738e-05
1570.0,2.55926e-05
1575.0,2.58026e-05
1580.0,2.60694e-05
1585.0,2.62388e-05
1590.0,2.63255e-05
1595.0,2.64362e-05
