Wavelength,Transmission
1555.0,5.49475e-06
1560.0,1.35502e-05
1565.0,2.29083e-05
1570.0,4.7031e-05
1575.0,8.91903e-05
1580.0,0.000151451
1585.0,0.000296306
1590.0,0.000391946
1595.0,0.000516311
1600.0,0.000625598
1605.0,0.000796885
1610.0,0.00106139
1615.0,0.00117283
1620.0,0.00130913
1625.0,0.00143389
1630.0,0.00160397
1635.0,0.00174558
1640.0,0.00187181
1645.0,0.00206748
1650.0,0.0022416
1655.0,0.00241908
1660.0,0.0025511
1665.0,0.00267958
1670.0,0.00284164
1675.0,0.00314742
1680.0,0.00339131
1685.0,0.00359387
1690.0,0.00369699
1695.0,0.00380285
1700.0,0.00393382
1705.0,0.00404295
1710.0,0.00412893
1715.0,0.0042168
1720.0,0.00430637
1725.0,0.00439808
1730.0,0.00448654
1735.0,0.00458104
1740.0,0.00467148
1745.0,0.00475756
1750.0,0.00485931
1755.0,0.00495642
1760.0,0.00506656
1765.0,0.00514067
1770.0,0.00520914
1775.0,0.00535412
1780.0,0.00551016
1785.0,0.00565763
1790.0,0.00573735
1795.0,0.00581812
1800.0,0.00589834
1805.0,0.00597211
1810.0,0.00604646
1815.0,0.00611799
1820.0,0.00619006
1825.0,0.00626438
1830.0,0.00633927
1835.0,0.00641884
1840.0,0.0064982
1845.0,0.00660333
1850.0,0.00671149
1855.0,0.00684065
1860.0,0.0069717
1865.0,0.00707001
1870.0,0.00716924
1875.0,0.00725202
1880.0,0.00733539
1885.0,0.00742014
1890.0,0.00750556
1895.0,0.0075976
1900.0,0.00769146
1905.0,0.00780361
1910.0,0.00791091
1915.0,0.00801714
1920.0,0.00812424
1925.0,0.00821148
1930.0,0.00830743
1935.0,0.00839561
1940.0,0.00847925
1945.0,0.00856841
1950.0,0.00865818
1955.0,0.00873232
1960.0,0.00880965
1965.0,0.00888601
1970.0,0.00896243
1975.0,0.00903751
1980.0,0.00910948
1985.0,0.00917873
1990.0,0.00924826
1995.0,0.009318
2000.0,0.00938803
2005.0,0.00944083
2010.0,0.00949367
2015.0,0.00954208
2020.0,0.00959048
2025.0,0.00963727
2030.0,0.00968769
2035.0,0.00971594
2040.0,0.00974025
2045.0,0.00975827
2050.0,0.00977544
2055.0,0.00977684
2060.0,0.00977759
2065.0,0.00980336
2070.0,0.0098282
2075.0,0.00981182
2080.0,0.00979462
2085.0,0.00982307
2090.0,0.00985226
2095.0,0.00980049
2100.0,0.00974267
2105.0,0.00970407
2110.0,0.00966444
2115.0,0.00963314
2120.0,0.00960201
2125.0,0.00959812
2130.0,0.00959251
2135.0,0.00961869
2140.0,0.00964468
2145.0,0.00966724
2150.0,0.00969239
2155.0,0.00971539
2160.0,0.00972791
2165.0,0.0097425
2170.0,0.0097581
2175.0,0.00977966
2180.0,0.00980788
2185.0,0.00983513
2190.0,0.00986225
2195.0,0.00988438
2200.0,0.00990286
