Wavelength,Transmission
1720.0,9.64951e-08
1725.0,1.32442e-07
1730.0,1.7675e-07
1735.0,2.0515e-07
1740.0,2.29045e-07
1745.0,2.62522e-07
1750.0,3.31556e-07
1755.0,3.82674e-07
1760.0,4.12541e-07
1765.0,4.76804e-07
1770.0,5.47996e-07
1775.0,6.34413e-07
1780.0,7.24407e-07
1785.0,8.74828e-07
1790.0,1.07828e-06
1795.0,1.28734e-06
1800.0,1.4209e-06
1805.0,1.66406e-06
1810.0,2.01328e-06
1815.0,2.38456e-06
1820.0,2.77515e-06
1825.0,3.2239e-06
1830.0,3.73284e-06
1835.0,4.31436e-06
1840.0,4.89422e-06
1845.0,5.51918e-06
1850.0,6.30354e-06
1855.0,7.20516e-06
1860.0,8.01661e-06
1865.0,8.89436e-06
1870.0,9.93306e-06
1875.0,1.10408e-05
1880.0,1.22395e-05
1885.0,1.37626e-05
1890.0,1.56395e-05
1895.0,1.72117e-05
1900.0,1.85521e-05
1905.0,1.99815e-05
1910.0,2.19683e-05
1915.0,2.36027e-05
1920.0,2.52473e-05
1925.0,2.72764e-05
1930.0,2.95991e-05
1935.0,3.20875e-05
1940.0,3.67152e-05
1945.0,4.05182e-05
1950.0,4.41415e-05
1955.0,4.79275e-05
1960.0,5.24156e-05
1965.0,5.72331e-05
1970.0,6.32899e-05
1975.0,6.88361e-05
1980.0,7.54222e-05
1985.0,8.02491e-05
1990.0,8.77043e-05
1995.0,9.3965e-05
2000.0,0.000100445
2005.0,0.000109426
2010.0,0.000118252
2015.0,0.00012882
2020.0,0.000135748
2025.0,0.000144099
2030.0,0.000157502
2035.0,0.000170282
2040.0,0.000183903
2045.0,0.000198421
2050.0,0.000210753
2055.0,0.000224488
2060.0,0.000237118
2065.0,0.000249366
2070.0,0.000263052
2075.0,0.000275107
2080.0,0.000286177
2085.0,0.000296161
2090.0,0.000308737
2095.0,0.000318791
2100.0,0.00032544
2105.0,0.000337341
2110.0,0.000347909
2115.0,0.000357979
2120.0,0.000367884
2125.0,0.000377993
2130.0,0.000387115
2135.0,0.00039629
2140.0,0.000404253
2145.0,0.000413608
2150.0,0.000422149
2155.0,0.000430439
2160.0,0.000438423
2165.0,0.000445332
2170.0,0.000451949
2175.0,0.00045751
2180.0,0.000462413
2185.0,0.000466264
2190.0,0.000469705
2195.0,0.000472493
2200.0,0.000476163
2205.0,0.00047433
2210.0,0.000474747
2215.0,0.000474886
2220.0,0.000473409
2225.0,0.000476401
2230.0,0.000478989
2235.0,0.000476734
2240.0,0.000477258
2245.0,0.000470808
2250.0,0.000454804
2255.0,0.000446456
2260.0,0.000440301
2265.0,0.000433734
2270.0,0.000428442
2275.0,0.000421934
2280.0,0.0004086
2285.0,0.000395478
2290.0,0.000386244
2295.0,0.000374623
2300.0,0.000363098
2305.0,0.00035608
2310.0,0.000342547
2315.0,0.000333868
2320.0,0.000324039
2325.0,0.000315924
2330.0,0.000300884
2335.0,0.000287926
2340.0,0.000275268
2345.0,0.000258947
2350.0,0.000243031
2355.0,0.00023126
2360.0,0.000222878
2365.0,0.000213561
2370.0,0.000205762
2375.0,0.000197199
2380.0,0.000187104
2385.0,0.000176656
2390.0,0.000169759
2395.0,0.000165305
2400.0,0.000159862
2405.0,0.000152785
2410.0,0.000145736
2415.0,0.000139602
2420.0,0.000134195
2425.0,0.000129601
2430.0,0.000125554
2435.0,0.000121557
2440.0,0.00011673
2445.0,0.000115138
2450.0,0.000107957
2455.0,0.000102355
2460.0,9.68824e-05
2465.0,9.38729e-05
2470.0,9.17717e-05
2475.0,9.11705e-05
2480.0,9.11618e-05
2485.0,8.90921e-05
2490.0,8.75153e-05
2495.0,8.69201e-05
2500.0,8.58644e-05
2505.0,8.4774e-05
2510.0,8.28554e-05
2515.0,8.00259e-05
2520.0,7.91671e-05
2525.0,7.78468e-05
2530.0,7.39964e-05
2535.0,7.03192e-05
2540.0,6.79912e-05
2545.0,6.71233e-05
2550.0,6.5231e-05
2555.0,6.50924e-05
2560.0,6.52072e-05
2565.0,6.50815e-05
2570.0,6.64668e-05
2575.0,6.64059e-05
2580.0,6.52663e-05
2585.0,6.39556e-05
2590.0,6.21511e-05
2595.0,5.92206e-05
2600.0,5.84654e-05
2605.0,5.52967e-05
2610.0,5.38803e-05
2615.0,5.45591e-05
2620.0,5.26916e-05
2625.0,4.63262e-05
2630.0,4.43256e-05
2635.0,4.14377e-05
2640.0,3.84698e-05
2645.0,3.88994e-05
2650.0,3.93321e-05
2655.0,3.97451e-05
2660.0,4.01319e-05
2665.0,3.87705e-05
2670.0,3.80799e-05
2675.0,3.84706e-05
2680.0,3.88636e-05
2685.0,3.92254e-05
2690.0,3.9589e-05
2695.0,3.99547e-05
2700.0,4.03223e-05
2705.0,3.96161e-05
2710.0,3.13353e-05
2715.0,2.53775e-05
2720.0,2.38973e-05
