Wavelength,Transmission
1610.0,2.3883e-06
1615.0,3.39349e-06
1620.0,4.43134e-06
1625.0,5.51005e-06
1630.0,6.62378e-06
1635.0,7.75454e-06
1640.0,8.90803e-06
1645.0,1.00996e-05
1650.0,1.13997e-05
1655.0,1.27759e-05
1660.0,1.4156e-05
1665.0,1.55891e-05
1670.0,1.72131e-05
1675.0,1.88599e-05
1680.0,2.04914e-05
1685.0,2.21735e-05
1690.0,2.38923e-05
1695.0,2.56898e-05
1700.0,2.73267e-05
1705.0,2.89531e-05
1710.0,3.03521e-05
1715.0,3.14892e-05
1720.0,3.25963e-05
1725.0,3.36924e-05
1730.0,3.4811e-05
1735.0,3.59618e-05
1740.0,3.71366e-05
1745.0,3.8285e-05
1750.0,3.72166e-05
1755.0,3.61262e-05
1760.0,3.50162e-05
1765.0,3.38526e-05
1770.0,3.26455e-05
1775.0,3.1435e-05
1780.0,3.02194e-05
1785.0,2.91296e-05
1790.0,2.77702e-05
1795.0,2.61728e-05
1800.0,2.67152e-05
1805.0,2.83493e-05
1810.0,2.9964e-05
1815.0,3.16131e-05
1820.0,3.32962e-05
1825.0,3.50208e-05
1830.0,3.678e-05
1835.0,3.85762e-05
1840.0,4.04111e-05
1845.0,4.2287e-05
1850.0,4.41922e-05
1855.0,4.69575e-05
1860.0,5.01252e-05
1865.0,5.33052e-05
1870.0,5.65212e-05
1875.0,5.97975e-05
1880.0,6.31357e-05
1885.0,6.65399e-05
1890.0,7.00248e-05
1895.0,7.36525e-05
1900.0,7.66592e-05
1905.0,8.01086e-05
1910.0,8.35361e-05
1915.0,8.7023e-05
1920.0,9.05309e-05
1925.0,9.40853e-05
1930.0,9.77747e-05
1935.0,0.000101559
1940.0,0.000105383
1945.0,0.00010918
1950.0,0.000113854
1955.0,0.000121991
1960.0,0.000130131
1965.0,0.000138334
1970.0,0.000146693
1975.0,0.000155192
1980.0,0.00016381
1985.0,0.0001725
1990.0,0.000181026
1995.0,0.000189649
2000.0,0.000201105
2005.0,0.000214135
2010.0,0.000227311
2015.0,0.000240624
2020.0,0.000253947
2025.0,0.000267337
2030.0,0.000280796
2035.0,0.000294368
2040.0,0.000308056
2045.0,0.000321858
2050.0,0.000339187
2055.0,0.00035708
2060.0,0.000375129
2065.0,0.000393113
2070.0,0.000410893
2075.0,0.000428755
2080.0,0.000448886
2085.0,0.000469909
2090.0,0.000491073
2095.0,0.000512351
2100.0,0.000535294
2105.0,0.000573103
2110.0,0.000611047
2115.0,0.000649126
2120.0,0.00068763
2125.0,0.000726246
2130.0,0.000763453
2135.0,0.000800506
2140.0,0.000837854
2145.0,0.000875588
2150.0,0.000920724
2155.0,0.000972683
2160.0,0.00102491
2165.0,0.00107731
2170.0,0.00112997
2175.0,0.00118277
2180.0,0.00125601
2185.0,0.00133488
2190.0,0.00141351
2195.0,0.00149108
2200.0,0.00156419
2205.0,0.00163713
2210.0,0.00171079
2215.0,0.00178423
2220.0,0.00185768
2225.0,0.00193638
2230.0,0.00204956
2235.0,0.00216266
2240.0,0.00227595
2245.0,0.00239358
2250.0,0.00251456
2255.0,0.00265932
2260.0,0.00282127
2265.0,0.00297057
2270.0,0.00309317
2275.0,0.00321527
2280.0,0.00333734
2285.0,0.00348758
2290.0,0.00368119
2295.0,0.00386561
2300.0,0.00403095
2305.0,0.00419019
2310.0,0.00434785
2315.0,0.0045043
2320.0,0.00470612
2325.0,0.0049221
2330.0,0.0051231
2335.0,0.00527875
2340.0,0.00543393
2345.0,0.00558726
2350.0,0.0057269
2355.0,0.00586077
2360.0,0.00599866
2365.0,0.00626071
2370.0,0.0065221
2375.0,0.00666305
2380.0,0.0068462
2385.0,0.00707964
2390.0,0.00721103
2395.0,0.00734179
2400.0,0.00747208
2405.0,0.00760056
2410.0,0.00772714
2415.0,0.00781224
2420.0,0.00791748
2425.0,0.00800954
2430.0,0.00809249
2435.0,0.00814102
2440.0,0.00818077
2445.0,0.00820513
2450.0,0.00823842
2455.0,0.00826832
2460.0,0.00827409
2465.0,0.00826187
2470.0,0.00824962
2475.0,0.00821027
2480.0,0.00816044
2485.0,0.00809467
2490.0,0.00802905
2495.0,0.00797083
2500.0,0.00791187
