Wavelength,Transmission
3800.0,1.52836e-05
3805.0,3.20815e-05
3810.0,3.77643e-05
3815.0,3.7751e-05
3820.0,4.18189e-05
3825.0,4.97943e-05
3830.0,5.76059e-05
3835.0,6.7122e-05
3840.0,6.97231e-05
3845.0,7.15153e-05
3850.0,6.8436e-05
3855.0,8.27123e-05
3860.0,0.000103575
3865.0,0.000100614
3870.0,0.000120562
3875.0,0.000141357
3880.0,0.000147941
3885.0,0.000152415
3890.0,0.000165767
3895.0,0.000181842
3900.0,0.000199198
3905.0,0.000211262
3910.0,0.000235004
3915.0,0.000255888
3920.0,0.000281403
3925.0,0.00029843
3930.0,0.000314605
3935.0,0.000338825
3940.0,0.000360698
3945.0,0.000373362
3950.0,0.000395793
3955.0,0.000418818
3960.0,0.000447399
3965.0,0.000478211
3970.0,0.000534801
3975.0,0.000591036
3980.0,0.000649691
3985.0,0.00070063
3990.0,0.000749339
3995.0,0.000803661
4000.0,0.000865849
4005.0,0.000920763
4010.0,0.00097516
4015.0,0.0010495
4020.0,0.00111921
4025.0,0.00120431
4030.0,0.00129479
4035.0,0.00141352
4040.0,0.00153993
4045.0,0.00166836
4050.0,0.00181253
4055.0,0.00194948
4060.0,0.00207729
4065.0,0.00221146
4070.0,0.00234844
4075.0,0.00248906
4080.0,0.00277104
4085.0,0.003032
4090.0,0.00331702
4095.0,0.0035472
4100.0,0.00375853
4105.0,0.00394932
4110.0,0.00410363
4115.0,0.00434564
4120.0,0.00459705
4125.0,0.00479129
4130.0,0.0050393
4135.0,0.00528148
4140.0,0.00546859
4145.0,0.00562264
4150.0,0.00576626
4155.0,0.00589582
4160.0,0.0060116
4165.0,0.00610887
4170.0,0.00618169
4175.0,0.00625323
4180.0,0.00630239
4185.0,0.00633957
4190.0,0.00635433
4195.0,0.00632537
4200.0,0.00625828
4205.0,0.00620342
4210.0,0.00612076
4215.0,0.0060194
4220.0,0.00586356
4225.0,0.0056282
4230.0,0.00542195
4235.0,0.00523378
4240.0,0.00500591
4245.0,0.00481543
4250.0,0.00461336
4255.0,0.00438846
4260.0,0.00400468
4265.0,0.00372728
4270.0,0.00342224
4275.0,0.00322245
4280.0,0.00302308
4285.0,0.00279957
4290.0,0.00259274
4295.0,0.00230229
4300.0,0.00208667
4305.0,0.00186639
4310.0,0.00170045
4315.0,0.00156225
4320.0,0.00143529
4325.0,0.00132512
4330.0,0.00121821
4335.0,0.00114123
4340.0,0.001062
4345.0,0.000995131
4350.0,0.000916813
4355.0,0.000840885
4360.0,0.000770399
4365.0,0.000701343
4370.0,0.000648632
4375.0,0.000599201
4380.0,0.000553411
4385.0,0.000509094
4390.0,0.000451341
4395.0,0.000400479
4400.0,0.00036903
4405.0,0.000344103
4410.0,0.000273002
4415.0,0.000267555
4420.0,0.000245637
4425.0,0.000201492
4430.0,0.000146163
4435.0,0.000119618
4440.0,9.3042e-05
4445.0,7.07258e-05
4450.0,5.85254e-05
4455.0,4.3156e-05
4460.0,3.00963e-05
4465.0,4.81622e-05
4470.0,2.96538e-05
4475.0,9.28313e-06
4480.0,3.55439e-06
4485.0,1.05363e-05
4490.0,7.94034e-06
4495.0,1.66656e-05
4500.0,1.85079e-05
4505.0,1.28297e-05
4510.0,3.70861e-05
4515.0,4.54455e-05
4520.0,4.7282e-05
4525.0,1.59524e-05
4530.0,1.02836e-05
4535.0,2.0687e-05
4540.0,2.25262e-05
4545.0,1.31186e-05
4580.0,9.03977e-06
4585.0,1.76076e-05
