Wavelength,Transmission
3295.0,8.7298e-05
3300.0,0.000233255
3305.0,0.000307297
3310.0,0.000349806
3315.0,0.00039008
3320.0,0.000432816
3325.0,0.000486482
3330.0,0.000583948
3335.0,0.000640707
3340.0,0.000708761
3345.0,0.000765797
3350.0,0.000835183
3355.0,0.000898821
3360.0,0.000979714
3365.0,0.00102479
3370.0,0.00106697
3375.0,0.00110083
3380.0,0.00113396
3385.0,0.00116782
3390.0,0.0012018
3395.0,0.0012326
3400.0,0.00126293
3405.0,0.0012985
3410.0,0.00134423
3415.0,0.00137375
3420.0,0.00139889
3425.0,0.0014401
3430.0,0.00148283
3435.0,0.0015124
3440.0,0.00154373
3445.0,0.00158257
3450.0,0.00162734
3455.0,0.00167396
3460.0,0.00171144
3465.0,0.00174929
3470.0,0.00178537
3475.0,0.00183202
3480.0,0.00188727
3485.0,0.00194165
3490.0,0.00198635
3495.0,0.0020365
3500.0,0.00210575
3505.0,0.00216606
3510.0,0.00222129
3515.0,0.00232901
3520.0,0.00244046
3525.0,0.00252007
3530.0,0.00260304
3535.0,0.00267194
3540.0,0.00273861
3545.0,0.00280667
3550.0,0.00287656
3555.0,0.00295086
3560.0,0.00305387
3565.0,0.00314503
3570.0,0.00323363
3575.0,0.00333348
3580.0,0.00340883
3585.0,0.00354309
3590.0,0.00363879
3595.0,0.00372093
3600.0,0.0038472
3605.0,0.0039426
3610.0,0.00403175
3615.0,0.00410633
3620.0,0.00416724
3625.0,0.00422819
3630.0,0.00431842
3635.0,0.0044121
3640.0,0.00451184
3645.0,0.00458266
3650.0,0.004651
3655.0,0.00471606
3660.0,0.00478099
3665.0,0.00484283
3670.0,0.00490199
3675.0,0.0049562
3680.0,0.0050157
3685.0,0.00508797
3690.0,0.00515867
3695.0,0.005293
3700.0,0.00539171
3705.0,0.00547755
3710.0,0.00555162
3715.0,0.00568417
3720.0,0.00575653
3725.0,0.00583274
3730.0,0.0058987
3735.0,0.00596907
3740.0,0.00605107
3745.0,0.0061326
3750.0,0.00620237
3755.0,0.00626695
3760.0,0.00633186
3765.0,0.00640498
3770.0,0.00648742
3775.0,0.00656496
3780.0,0.00663593
3785.0,0.00670475
3790.0,0.00677365
3795.0,0.0068453
3800.0,0.00691496
3805.0,0.00699738
3810.0,0.00710273
3815.0,0.00719344
3820.0,0.00728075
3825.0,0.00737505
3830.0,0.00747032
3835.0,0.00756643
3840.0,0.00766515
3845.0,0.00776149
3850.0,0.0078584
3855.0,0.00795462
3860.0,0.0080402
3865.0,0.00813295
3870.0,0.00823151
3875.0,0.00839023
3880.0,0.00848961
3885.0,0.00857512
3890.0,0.0086542
3895.0,0.0087337
3900.0,0.00881357
3905.0,0.00887911
3910.0,0.00900945
3915.0,0.00911061
3920.0,0.00918387
3925.0,0.00926533
3930.0,0.00935546
3935.0,0.00943982
3940.0,0.00951283
3945.0,0.00958078
3950.0,0.0096584
3955.0,0.00973819
3960.0,0.00982054
3965.0,0.00990092
3970.0,0.00996773
3975.0,0.0100323
3980.0,0.0101112
3985.0,0.0101849
3990.0,0.0102435
3995.0,0.0103022
4000.0,0.0103996
4005.0,0.010453
4010.0,0.0105065
4015.0,0.0105584
4020.0,0.0106095
4025.0,0.0106513
4030.0,0.0106931
4035.0,0.0107363
4040.0,0.0107976
4045.0,0.010874
4050.0,0.0109374
4055.0,0.0109794
4060.0,0.0110183
4065.0,0.011057
4070.0,0.0111114
4075.0,0.0111686
4080.0,0.0112221
4085.0,0.011279
4090.0,0.0113343
4095.0,0.0113861
4100.0,0.011438
4105.0,0.011528
4110.0,0.0115754
4115.0,0.0116228
4120.0,0.0116774
4125.0,0.0117339
4130.0,0.0117905
4135.0,0.0118472
4140.0,0.0118954
4145.0,0.0119433
4150.0,0.0119912
4155.0,0.0120439
4160.0,0.0120988
4165.0,0.0121524
4170.0,0.0121974
4175.0,0.0122424
4180.0,0.0122865
4185.0,0.0123135
4190.0,0.0123431
4195.0,0.0123767
4200.0,0.0124103
4205.0,0.0124484
4210.0,0.0124839
4215.0,0.012512
4220.0,0.0125402
4225.0,0.0125652
4230.0,0.012588
4235.0,0.012616
4240.0,0.0126437
4245.0,0.0126806
4250.0,0.0127177
4255.0,0.0127548
4260.0,0.012792
4265.0,0.012826
4270.0,0.0128533
4275.0,0.0128788
4280.0,0.0129085
4285.0,0.0129361
4290.0,0.0129636
4295.0,0.0129867
4300.0,0.0130084
4305.0,0.0130231
4310.0,0.0130381
4315.0,0.0130528
4320.0,0.0130675
4325.0,0.0130821
4330.0,0.0130968
4335.0,0.0131125
4340.0,0.0131316
4345.0,0.0131516
4350.0,0.0131715
4355.0,0.0131914
4360.0,0.0132113
4365.0,0.0132303
4370.0,0.0132401
4375.0,0.0132565
4380.0,0.0132729
4385.0,0.0132863
4390.0,0.0132998
4395.0,0.0133122
4400.0,0.013325
4405.0,0.0133378
4410.0,0.0133507
4415.0,0.0133635
4420.0,0.0133763
4425.0,0.0133835
4430.0,0.0133902
4435.0,0.013398
4440.0,0.0134058
4445.0,0.0134134
4450.0,0.0134149
4455.0,0.0134187
4460.0,0.0134294
4465.0,0.0134347
4470.0,0.0134373
4475.0,0.0134336
4480.0,0.0134307
4485.0,0.0134292
4490.0,0.0134278
4495.0,0.0134227
4500.0,0.0134182
4505.0,0.0134137
4510.0,0.0134093
4515.0,0.0134048
4520.0,0.0133985
4525.0,0.0133835
4530.0,0.0133686
4535.0,0.0133527
4540.0,0.0133363
4545.0,0.0133146
4550.0,0.0132917
4555.0,0.0132616
4560.0,0.0132359
4565.0,0.0132201
4570.0,0.0132041
4575.0,0.0131853
4580.0,0.0131664
4585.0,0.0131474
4590.0,0.0131259
4595.0,0.0131018
4600.0,0.0130777
4605.0,0.0130238
4610.0,0.012987
4615.0,0.0129501
4620.0,0.0129192
4625.0,0.0128876
4630.0,0.012856
4635.0,0.0128221
4640.0,0.0127849
4645.0,0.0127429
4650.0,0.012703
4655.0,0.0126659
4660.0,0.0126231
4665.0,0.0125701
4670.0,0.0125171
4675.0,0.0124677
4680.0,0.0124254
4685.0,0.0123713
4690.0,0.0123295
4695.0,0.0122841
4700.0,0.0122387
4705.0,0.0121613
4710.0,0.0120784
4715.0,0.0119971
4720.0,0.0118913
4725.0,0.0117752
4730.0,0.011648
4735.0,0.0115477
4740.0,0.0114552
4745.0,0.0113877
4750.0,0.0113293
4755.0,0.0112569
4760.0,0.011177
4765.0,0.0110944
4770.0,0.0110121
4775.0,0.0109182
4780.0,0.0108238
4785.0,0.0107609
4790.0,0.010622
4795.0,0.0104802
4800.0,0.0103948
4805.0,0.0102931
4810.0,0.0101742
4815.0,0.0100452
4820.0,0.00994441
4825.0,0.00982828
4830.0,0.00970231
4835.0,0.0095727
4840.0,0.00950358
4845.0,0.00943377
4850.0,0.00935317
4855.0,0.009203
4860.0,0.00912771
4865.0,0.00906617
4870.0,0.00900155
4875.0,0.00887513
4880.0,0.00879323
4885.0,0.00871044
4890.0,0.00862782
4895.0,0.0085651
4900.0,0.00850288
4905.0,0.00844755
4910.0,0.00836552
4915.0,0.00832321
4920.0,0.00821728
4925.0,0.00815664
4930.0,0.00808022
4935.0,0.00798892
4940.0,0.00791651
4945.0,0.00784614
4950.0,0.00777601
4955.0,0.00770237
4960.0,0.0076219
4965.0,0.00751967
4970.0,0.00741915
4975.0,0.00732958
4980.0,0.00724149
4985.0,0.00718003
4990.0,0.00708907
4995.0,0.00693233
5000.0,0.00679248
5005.0,0.00668931
5010.0,0.00659625
5015.0,0.0064909
5020.0,0.00637584
5025.0,0.00626717
5030.0,0.0061743
5035.0,0.00608916
5040.0,0.00601327
5045.0,0.00592032
5050.0,0.00581555
5055.0,0.00566114
5060.0,0.00556485
5065.0,0.00548134
5070.0,0.0053705
5075.0,0.00528575
5080.0,0.00515039
5085.0,0.00501473
5090.0,0.00493632
5095.0,0.00482753
5100.0,0.00472422
5105.0,0.00465875
5110.0,0.00448753
5115.0,0.00439527
5120.0,0.00428858
5125.0,0.00416816
5130.0,0.00408308
5135.0,0.00397276
5140.0,0.00391718
5145.0,0.00381064
5150.0,0.00367978
5155.0,0.0035805
5160.0,0.00350184
5165.0,0.00342368
5170.0,0.00334412
5175.0,0.00325463
5180.0,0.0031758
5185.0,0.00307659
5190.0,0.00298753
5195.0,0.00292475
5200.0,0.002845
5205.0,0.00276101
5210.0,0.00268497
5215.0,0.00261133
5220.0,0.00254786
5225.0,0.00248774
5230.0,0.0023261
5235.0,0.00219684
5240.0,0.00213501
5245.0,0.00207293
5250.0,0.00199254
5255.0,0.001959
5260.0,0.00187552
5265.0,0.00183161
5270.0,0.00179628
5275.0,0.00176102
5280.0,0.00171802
5285.0,0.00167515
5290.0,0.00162868
5295.0,0.00160146
5300.0,0.00157534
5305.0,0.00153829
5310.0,0.0014966
5315.0,0.00146869
5320.0,0.00144095
5325.0,0.001412
5330.0,0.00138307
5335.0,0.00135655
5340.0,0.00133236
5345.0,0.00131131
5350.0,0.00128539
5355.0,0.00125742
5360.0,0.00123416
5365.0,0.00121745
5370.0,0.00120083
5375.0,0.00118465
5380.0,0.00116931
5385.0,0.0011562
5390.0,0.00114315
5395.0,0.00113059
5400.0,0.00111809
5405.0,0.00110114
5410.0,0.00109242
5415.0,0.00108789
5420.0,0.00108299
5425.0,0.00107535
5430.0,0.00106773
5435.0,0.00105942
5440.0,0.00104492
5445.0,0.00103462
5450.0,0.0010267
5455.0,0.00101738
5460.0,0.00100663
5465.0,0.00100055
5470.0,0.000997582
5475.0,0.000994741
5480.0,0.000978427
5485.0,0.000962181
5490.0,0.000956237
5495.0,0.000950341
5500.0,0.000942484
5505.0,0.00093391
5510.0,0.000925769
5515.0,0.000917675
5520.0,0.000913732
5525.0,0.000910147
5530.0,0.000906564
5535.0,0.000902643
5540.0,0.00089633
5545.0,0.000885503
5550.0,0.000875843
5555.0,0.000867168
5560.0,0.000858442
5565.0,0.000850362
5570.0,0.00084232
5575.0,0.000834316
5580.0,0.000826351
5585.0,0.000819593
5590.0,0.00080298
5595.0,0.000784237
5600.0,0.000768822
5605.0,0.00075526
5610.0,0.000742499
5615.0,0.000729717
5620.0,0.000714996
5625.0,0.000700459
5630.0,0.000686002
5635.0,0.000671931
5640.0,0.000656661
5645.0,0.000640654
5650.0,0.000624732
5655.0,0.000606466
5660.0,0.000587202
5665.0,0.000568395
5670.0,0.000554152
5675.0,0.000540204
5680.0,0.000526348
5685.0,0.000511469
5690.0,0.000495582
5695.0,0.0004798
5700.0,0.000472204
5705.0,0.00045141
5710.0,0.000434167
5715.0,0.000421377
5720.0,0.000407808
5725.0,0.000393517
5730.0,0.000379294
5735.0,0.000367085
5740.0,0.000357699
5745.0,0.000347262
5750.0,0.000335156
5755.0,0.000323108
5760.0,0.000309797
5765.0,0.000294065
5770.0,0.000283853
5775.0,0.000274738
5780.0,0.000264708
5785.0,0.000254512
5790.0,0.000244371
5795.0,0.000233888
5800.0,0.000222323
5805.0,0.00021087
5810.0,0.000204321
5815.0,0.000199468
5820.0,0.000194027
5825.0,0.000186349
5830.0,0.000176221
5835.0,0.000165998
5840.0,0.000160051
5845.0,0.000153238
5850.0,0.00014646
5855.0,0.000139717
5860.0,0.000133007
5865.0,0.000125895
5870.0,0.000115047
5875.0,0.000104258
5880.0,9.38889e-05
5885.0,8.84321e-05
5890.0,8.30036e-05
5895.0,7.77731e-05
5900.0,7.21288e-05
5905.0,6.69322e-05
5910.0,6.67565e-05
5915.0,6.6581e-05
5920.0,6.15428e-05
5925.0,5.96468e-05
5930.0,5.80259e-05
5935.0,5.64046e-05
5940.0,5.39756e-05
5945.0,5.04583e-05
5950.0,4.69622e-05
5955.0,4.42247e-05
5960.0,4.26676e-05
5965.0,4.11476e-05
5970.0,3.96348e-05
5975.0,4.20935e-05
5980.0,4.45105e-05
5985.0,4.52989e-05
5990.0,4.60828e-05
5995.0,4.68622e-05
6000.0,4.7637e-05
6005.0,4.8409e-05
6010.0,5.09406e-05
6015.0,5.18259e-05
6020.0,4.52548e-05
6025.0,4.23122e-05
6030.0,4.08396e-05
6035.0,3.93739e-05
6040.0,3.79151e-05
6045.0,3.64577e-05
6050.0,3.50076e-05
6055.0,3.35546e-05
6060.0,3.17735e-05
6065.0,2.97985e-05
6070.0,2.81333e-05
6075.0,2.9498e-05
6080.0,3.08539e-05
6085.0,3.22012e-05
6090.0,3.35397e-05
6095.0,3.48789e-05
6100.0,3.62103e-05
6105.0,3.68234e-05
6110.0,3.67311e-05
6115.0,3.66388e-05
6120.0,3.65464e-05
6125.0,3.64541e-05
6130.0,3.63618e-05
6135.0,3.6269e-05
6140.0,3.61761e-05
6145.0,3.6081e-05
6150.0,3.59859e-05
6155.0,3.58906e-05
6160.0,3.57955e-05
6165.0,3.57002e-05
6170.0,3.56049e-05
6175.0,3.55097e-05
6180.0,3.54143e-05
6185.0,3.53193e-05
6190.0,3.52243e-05
6195.0,3.51394e-05
6200.0,3.39427e-05
6205.0,3.24069e-05
6210.0,3.08785e-05
6215.0,2.93578e-05
6220.0,2.78447e-05
6225.0,2.63365e-05
6230.0,2.49765e-05
6235.0,2.36852e-05
6240.0,2.24008e-05
6245.0,2.09943e-05
6250.0,1.88124e-05
6255.0,1.70521e-05
6260.0,1.84177e-05
6265.0,1.97748e-05
6270.0,2.10173e-05
6275.0,2.09467e-05
6280.0,2.08762e-05
6285.0,2.08035e-05
6290.0,2.07307e-05
6295.0,2.06579e-05
6300.0,2.05851e-05
6305.0,2.05121e-05
6310.0,2.04393e-05
6315.0,2.03748e-05
6320.0,1.83679e-05
6325.0,1.6293e-05
6330.0,1.61101e-05
6335.0,1.60615e-05
6340.0,1.60128e-05
6345.0,1.63483e-05
6350.0,1.72883e-05
6355.0,1.82132e-05
6360.0,1.91304e-05
6365.0,1.99738e-05
6370.0,2.06801e-05
6375.0,2.138e-05
6380.0,2.20735e-05
6385.0,2.27607e-05
6390.0,2.2775e-05
6395.0,2.09933e-05
6400.0,1.92244e-05
6405.0,1.74721e-05
6410.0,1.57319e-05
6415.0,1.51978e-05
6420.0,1.51483e-05
6425.0,1.61263e-05
6430.0,1.75654e-05
6435.0,1.87725e-05
6440.0,1.87152e-05
6445.0,1.86577e-05
6450.0,1.86002e-05
6455.0,1.84197e-05
6460.0,1.71433e-05
6465.0,1.58751e-05
6470.0,1.46905e-05
6475.0,1.46484e-05
6480.0,1.46062e-05
