Wavelength,Transmission
4015.0,0.000250247
4020.0,0.000270543
4025.0,0.000274608
4030.0,0.00027549
4035.0,0.000284154
4040.0,0.000294882
4045.0,0.000303969
4050.0,0.000311229
4055.0,0.00031826
4060.0,0.000325301
4065.0,0.000339637
4070.0,0.000355148
4075.0,0.000370837
4080.0,0.000381361
4085.0,0.000390515
4090.0,0.000399694
4095.0,0.000394231
4100.0,0.000387744
4105.0,0.000381127
4110.0,0.000387024
4115.0,0.000395313
4120.0,0.000403616
4125.0,0.00041853
4130.0,0.000435709
4135.0,0.000452913
4140.0,0.000455224
4145.0,0.000457084
4150.0,0.00046626
4155.0,0.000475459
4160.0,0.000487706
4165.0,0.000508106
4170.0,0.000528543
4175.0,0.000549023
4180.0,0.000562098
4185.0,0.00057106
4190.0,0.000580027
4195.0,0.00058234
4200.0,0.000583247
4205.0,0.000584494
4210.0,0.000603155
4215.0,0.000637102
4220.0,0.000656284
4225.0,0.000675434
4230.0,0.000694602
4235.0,0.000708136
4240.0,0.000709341
4245.0,0.000711035
4250.0,0.000701315
4255.0,0.00069156
4260.0,0.000692583
4265.0,0.000694125
4270.0,0.000695669
4275.0,0.000694824
4280.0,0.000689209
4285.0,0.000683404
4290.0,0.000677587
4295.0,0.00067302
4300.0,0.000668489
4305.0,0.000663928
4310.0,0.000659361
4315.0,0.000664875
4320.0,0.000677374
4325.0,0.00068988
4330.0,0.000702401
4335.0,0.000709477
4340.0,0.000710362
4345.0,0.000711283
4350.0,0.000712208
4355.0,0.000716694
4360.0,0.000728017
4365.0,0.000739345
4370.0,0.000750689
4375.0,0.000762042
4380.0,0.000749604
4385.0,0.000737865
4390.0,0.000785624
4395.0,0.000804171
4400.0,0.000816766
4405.0,0.000807057
4410.0,0.000797344
4415.0,0.00080073
4420.0,0.000808663
4425.0,0.000816705
4430.0,0.000821925
4435.0,0.000822802
4440.0,0.000823684
4445.0,0.000834123
4450.0,0.000846774
4455.0,0.000859405
4460.0,0.000872041
4465.0,0.000887044
4470.0,0.000903264
4475.0,0.000919485
4480.0,0.0009357
4485.0,0.000951399
4490.0,0.000957441
4495.0,0.000963222
4500.0,0.000968998
4505.0,0.000974769
4510.0,0.00098382
4515.0,0.000994501
4520.0,0.00100518
4525.0,0.00101584
4530.0,0.00102642
4535.0,0.00103446
4540.0,0.00104249
4545.0,0.0010501
4550.0,0.00105622
4555.0,0.00106171
4560.0,0.00106718
4565.0,0.00107413
4570.0,0.00109393
4575.0,0.00111376
4580.0,0.00113355
4585.0,0.00115484
4590.0,0.00115185
4595.0,0.00118507
4600.0,0.00121137
4605.0,0.00121493
4610.0,0.0012184
4615.0,0.00123045
4620.0,0.00124248
4625.0,0.0012544
4630.0,0.00126425
4635.0,0.00127127
4640.0,0.00127827
4645.0,0.00128793
4650.0,0.0013026
4655.0,0.00131718
4660.0,0.00133174
4665.0,0.00134624
4670.0,0.00135485
4675.0,0.00136105
4680.0,0.00136723
4685.0,0.0013805
4690.0,0.00140685
4695.0,0.00143177
4700.0,0.00144614
4705.0,0.00145753
4710.0,0.00146886
4715.0,0.00148454
4720.0,0.00150594
4725.0,0.00152767
4730.0,0.00154931
4735.0,0.00157121
4740.0,0.00159302
4745.0,0.00161475
4750.0,0.00163639
4755.0,0.00166054
4760.0,0.00168568
4765.0,0.00171115
4770.0,0.00173544
4775.0,0.00175815
4780.0,0.0017808
4785.0,0.0018062
4790.0,0.0018341
4795.0,0.00186395
4800.0,0.00190153
4805.0,0.00193902
4810.0,0.00198077
4815.0,0.00202266
4820.0,0.00206166
4825.0,0.00209403
4830.0,0.00212629
4835.0,0.0021619
4840.0,0.00219862
4845.0,0.0022352
4850.0,0.00226205
4855.0,0.00228719
4860.0,0.0023171
4865.0,0.00235007
4870.0,0.00238289
4875.0,0.00241574
4880.0,0.00245451
4885.0,0.00249381
4890.0,0.00253295
4895.0,0.00257097
4900.0,0.00260729
4905.0,0.00264448
4910.0,0.00268156
4915.0,0.002719
4920.0,0.00274826
4925.0,0.00277746
4930.0,0.00280657
4935.0,0.00283585
4940.0,0.00288202
4945.0,0.00293036
4950.0,0.00297593
4955.0,0.00301247
4960.0,0.0030349
4965.0,0.00305505
4970.0,0.00314389
4975.0,0.00318212
4980.0,0.00323526
4985.0,0.00328069
4990.0,0.00333089
4995.0,0.00341457
5000.0,0.00352348
5005.0,0.00362742
5010.0,0.00372728
5015.0,0.00382674
5020.0,0.00392577
5025.0,0.00399121
5030.0,0.00405807
5035.0,0.00415549
5040.0,0.004242
5045.0,0.00430686
5050.0,0.0043714
5055.0,0.0044682
5060.0,0.0045749
5065.0,0.00466922
5070.0,0.0047615
5075.0,0.00484751
5080.0,0.00493302
5085.0,0.0050244
5090.0,0.00512073
5095.0,0.00522445
5100.0,0.00533453
5105.0,0.00543195
5110.0,0.00552491
5115.0,0.00563818
5120.0,0.00582709
5125.0,0.00596643
5130.0,0.00606437
5135.0,0.00613654
5140.0,0.00624185
5145.0,0.00631842
5150.0,0.00641919
5155.0,0.00654794
5160.0,0.00676135
5165.0,0.00683263
5170.0,0.00692693
5175.0,0.00705078
5180.0,0.00717595
5185.0,0.00732248
5190.0,0.00739132
5195.0,0.0074603
5200.0,0.00754533
5205.0,0.00763509
5210.0,0.00771503
5215.0,0.00777519
5220.0,0.00783369
5225.0,0.00789473
5230.0,0.00795842
5235.0,0.00804565
5240.0,0.00813032
5245.0,0.00821797
5250.0,0.00832026
5255.0,0.00843568
5260.0,0.00853481
5265.0,0.00861549
5270.0,0.00870249
5275.0,0.00879092
5280.0,0.00886465
5285.0,0.00893184
5290.0,0.00899088
5295.0,0.00902981
5300.0,0.00906422
5305.0,0.00909042
5310.0,0.00911391
5315.0,0.00913312
5320.0,0.00915182
5325.0,0.00916869
5330.0,0.00918312
5335.0,0.00919714
5340.0,0.00921077
5345.0,0.00922933
5350.0,0.00926592
5355.0,0.00930142
5360.0,0.00933766
5365.0,0.00937351
5370.0,0.00940869
5375.0,0.00945305
5380.0,0.00951681
5385.0,0.00953255
5390.0,0.00954779
5395.0,0.00956602
5400.0,0.00957686
5405.0,0.00958571
5410.0,0.00960147
5415.0,0.00960278
5420.0,0.0095881
5425.0,0.00956675
5430.0,0.00953726
5435.0,0.0095074
5440.0,0.00947737
5445.0,0.00945017
5450.0,0.00940221
5455.0,0.00935631
5460.0,0.00933501
5465.0,0.00931943
5470.0,0.00929201
5475.0,0.00926834
5480.0,0.00925658
5485.0,0.00924776
5490.0,0.00922793
5495.0,0.00919722
5500.0,0.00916519
5505.0,0.00914163
5510.0,0.00911941
5515.0,0.00907285
5520.0,0.00901792
5525.0,0.0089539
