Wavelength,Transmission
1555.0,3.68725e-06
1560.0,5.80906e-06
1565.0,6.48855e-06
1570.0,8.53219e-06
1575.0,1.29023e-05
1580.0,1.47289e-05
1585.0,2.05171e-05
1590.0,2.56982e-05
1595.0,2.98877e-05
1600.0,3.34796e-05
1605.0,3.75965e-05
1610.0,4.16726e-05
1615.0,4.38049e-05
1620.0,4.59753e-05
1625.0,4.82131e-05
1630.0,5.05786e-05
1635.0,5.35091e-05
1640.0,5.67268e-05
1645.0,6.09031e-05
1650.0,6.51342e-05
1655.0,6.91146e-05
1660.0,7.28071e-05
1665.0,7.61841e-05
1670.0,8.06269e-05
1675.0,8.89054e-05
1680.0,9.6144e-05
1685.0,0.000102344
1690.0,0.000106094
1695.0,0.000110314
1700.0,0.000114933
1705.0,0.000118505
1710.0,0.000121533
1715.0,0.00012467
1720.0,0.000127864
1725.0,0.000131176
1730.0,0.000134565
1735.0,0.000138048
1740.0,0.000141564
1745.0,0.000145142
1750.0,0.000149866
1755.0,0.000154884
1760.0,0.000160519
1765.0,0.000165066
1770.0,0.000169508
1775.0,0.000176231
1780.0,0.000184688
1785.0,0.000192995
1790.0,0.000199033
1795.0,0.000205199
1800.0,0.000216808
1805.0,0.000223656
1810.0,0.000230632
1815.0,0.000237606
1820.0,0.000244704
1825.0,0.000251962
1830.0,0.000267992
1835.0,0.000280873
1840.0,0.000294035
1845.0,0.000314007
1850.0,0.000329907
1855.0,0.000347204
1860.0,0.000364979
1865.0,0.00038132
1870.0,0.000398005
1875.0,0.00041206
1880.0,0.000430967
1885.0,0.000450626
1890.0,0.000470638
1895.0,0.000491368
1900.0,0.00051331
1905.0,0.000541641
1910.0,0.000570601
1915.0,0.00060032
1920.0,0.000630693
1925.0,0.00065957
1930.0,0.000688797
1935.0,0.000718028
1940.0,0.000747736
1945.0,0.000778285
1950.0,0.000812634
1955.0,0.000846988
1960.0,0.000881824
1965.0,0.000916566
1970.0,0.000963016
1975.0,0.00101097
1980.0,0.00105954
1985.0,0.00111362
1990.0,0.00116917
1995.0,0.0012254
2000.0,0.00128856
2005.0,0.00135881
2010.0,0.00143506
2015.0,0.00152013
2020.0,0.00160586
2025.0,0.0016669
2030.0,0.00173711
2035.0,0.00180367
2040.0,0.00187463
2045.0,0.00194898
2050.0,0.00204857
2055.0,0.0021762
2060.0,0.00226062
2065.0,0.00236642
2070.0,0.00247242
2075.0,0.00257004
2080.0,0.00266832
2085.0,0.00277756
2090.0,0.00289281
2095.0,0.00298365
2100.0,0.00306712
2105.0,0.00314971
2110.0,0.00323097
2115.0,0.00331281
2120.0,0.00342715
2125.0,0.00355876
2130.0,0.00368956
2135.0,0.00384196
2140.0,0.00401378
2145.0,0.00418486
2150.0,0.00432146
2155.0,0.00443993
2160.0,0.00455842
2165.0,0.00468096
2170.0,0.00482702
2175.0,0.00497615
2180.0,0.00509184
2185.0,0.00519529
2190.0,0.00529874
2195.0,0.00540153
2200.0,0.00549342
2205.0,0.00558296
2210.0,0.00567258
2215.0,0.00576174
2220.0,0.00585907
2225.0,0.00596564
2230.0,0.00607255
2235.0,0.00617252
2240.0,0.00627031
2245.0,0.00636565
2250.0,0.00644763
2255.0,0.00651805
2260.0,0.00658852
2265.0,0.00665761
2270.0,0.00672383
2275.0,0.00677509
2280.0,0.00682633
