Wavelength,Transmission
7480.0,8.5683e-05
7490.0,8.60256e-05
7500.0,8.63702e-05
7510.0,8.6713e-05
7520.0,8.70576e-05
7530.0,8.74038e-05
7540.0,8.77507e-05
7660.0,9.19494e-05
7670.0,9.2302e-05
7680.0,0.00018531
7690.0,0.000186017
7700.0,0.000186724
7710.0,0.000187432
7720.0,0.000188142
7730.0,0.000188851
7740.0,0.000189562
7750.0,0.000190274
7760.0,0.00019096
7770.0,0.000191647
7780.0,0.000192334
7790.0,0.000289533
7800.0,0.000290567
7810.0,0.000388801
7820.0,0.000390181
7830.0,0.000489452
7840.0,0.000589417
7850.0,0.000690075
7860.0,0.000791428
7870.0,0.000992752
7880.0,0.00119547
7890.0,0.00149954
7900.0,0.00190603
7910.0,0.00241596
7920.0,0.0030304
7930.0,0.00385176
7940.0,0.00488213
7950.0,0.00612367
7960.0,0.0075785
7970.0,0.00914595
7980.0,0.0107241
7990.0,0.012107
8000.0,0.0132938
8010.0,0.0141186
8020.0,0.0146332
8030.0,0.0151485
8040.0,0.0155602
8050.0,0.0160756
8060.0,0.0169019
8070.0,0.0178315
8080.0,0.0188643
8090.0,0.0198967
8100.0,0.0208249
8110.0,0.0216491
8120.0,0.0222658
8130.0,0.022675
8140.0,0.023084
8150.0,0.0234928
8160.0,0.0237978
8170.0,0.0241026
8180.0,0.0244071
8190.0,0.0246081
8200.0,0.0249123
8210.0,0.0250121
8220.0,0.0252153
8230.0,0.0253149
8240.0,0.0255178
8250.0,0.0256172
8260.0,0.0257142
8270.0,0.0258111
8280.0,0.0260111
8290.0,0.026211
8300.0,0.0264106
8310.0,0.026712
8320.0,0.0270132
8330.0,0.027314
8340.0,0.0276147
8350.0,0.027915
8360.0,0.0281121
8370.0,0.028206
8380.0,0.0282998
8390.0,0.0283934
8400.0,0.0283841
8410.0,0.0283729
8420.0,0.0283616
8430.0,0.0283502
8440.0,0.0283388
8450.0,0.0284299
8460.0,0.0285208
8470.0,0.0287142
8480.0,0.0288049
8490.0,0.0288958
8500.0,0.0287824
