Wavelength,Transmission
18100.0,0.0001161
18105.0,0.000120536
18110.0,0.000130549
18115.0,0.000118692
18120.0,0.000112797
18125.0,0.000125325
18130.0,0.000150691
18135.0,9.98507e-05
18140.0,0.000115979
18145.0,0.000130465
18150.0,0.000129138
18155.0,0.000123814
18160.0,0.000131652
18165.0,0.000141895
18170.0,8.11378e-05
18175.0,0.000181787
18180.0,0.000139808
18185.0,0.000149816
18190.0,0.000169491
18195.0,0.00018051
18200.0,0.000144467
18205.0,0.000222821
18210.0,0.000236204
18215.0,0.000226999
18220.0,0.000223399
18225.0,0.000214077
18230.0,0.000178586
18235.0,0.000183009
18240.0,0.000217433
18245.0,0.000224667
18250.0,0.000291056
18255.0,0.000221349
18260.0,0.000274968
18265.0,0.000241698
18270.0,0.00025132
18275.0,0.000291801
18280.0,0.000287407
18285.0,0.000289517
18290.0,0.000295733
18295.0,0.000311089
18300.0,0.000308765
18305.0,0.000319428
18310.0,0.000347917
18315.0,0.000392503
18320.0,0.000342582
18325.0,0.000323572
18330.0,0.000377787
18335.0,0.000411759
18340.0,0.000438576
18345.0,0.000415633
18350.0,0.000423585
18355.0,0.000397333
18360.0,0.000467833
18365.0,0.000443132
18370.0,0.000450432
18375.0,0.000498316
18380.0,0.000486654
18385.0,0.000531657
18390.0,0.000567089
18395.0,0.000584186
18400.0,0.000598355
18405.0,0.000571208
18410.0,0.000580675
18415.0,0.000661092
18420.0,0.000667749
18425.0,0.000722403
18430.0,0.000732465
18435.0,0.000731789
18440.0,0.00076555
18445.0,0.000843764
18450.0,0.000832599
18455.0,0.000860792
18460.0,0.000887368
18465.0,0.000918282
18470.0,0.000935786
18475.0,0.00100599
18480.0,0.00101798
18485.0,0.0010493
18490.0,0.00113622
18495.0,0.00116077
18500.0,0.00116206
18505.0,0.00118047
18510.0,0.00126869
18515.0,0.00132
18520.0,0.00134996
18525.0,0.00145306
18530.0,0.00147144
18535.0,0.00150263
18540.0,0.00160746
18545.0,0.00168701
18550.0,0.00174045
18555.0,0.00184282
18560.0,0.00184666
18565.0,0.00190294
18570.0,0.00201854
18575.0,0.00211707
18580.0,0.00217542
18585.0,0.00226206
18590.0,0.00237584
18595.0,0.00249789
18600.0,0.00260047
18605.0,0.00268196
18610.0,0.00286992
18615.0,0.00296679
18620.0,0.00315151
18625.0,0.0032245
18630.0,0.00334365
18635.0,0.00345167
18640.0,0.00368838
18645.0,0.00385233
18650.0,0.00398567
18655.0,0.00419908
18660.0,0.00434692
18665.0,0.00457721
18670.0,0.00475571
18675.0,0.00496038
18680.0,0.00529771
18685.0,0.00552084
18690.0,0.00577823
18695.0,0.0060479
18700.0,0.006321
18705.0,0.00666735
18710.0,0.00702469
18715.0,0.00735872
18720.0,0.00769803
18725.0,0.0080897
18730.0,0.00852372
18735.0,0.00904656
18740.0,0.00952888
18745.0,0.00995235
18750.0,0.0103786
18755.0,0.010902
18760.0,0.0114869
18765.0,0.0121599
18770.0,0.01287
18775.0,0.0135311
18780.0,0.0142107
18785.0,0.0149578
18790.0,0.0156473
18795.0,0.0164787
18800.0,0.0174208
18805.0,0.0183792
18810.0,0.0193891
18815.0,0.0203515
18820.0,0.0213853
18825.0,0.0225406
18830.0,0.0237995
18835.0,0.0252574
18840.0,0.0267485
18845.0,0.0281472
18850.0,0.0296443
18855.0,0.0311708
18860.0,0.0329199
18865.0,0.0347406
18870.0,0.0366626
18875.0,0.0384277
18880.0,0.040251
18885.0,0.0422082
18890.0,0.0443292
18895.0,0.0467583
18900.0,0.0493565
18905.0,0.0517835
18910.0,0.0542765
18915.0,0.0567927
18920.0,0.0593162
18925.0,0.0621424
18930.0,0.0650488
18935.0,0.0678658
18940.0,0.0705037
18945.0,0.0732049
18950.0,0.0758408
18955.0,0.0785484
18960.0,0.0814193
18965.0,0.0840816
18970.0,0.0865308
18975.0,0.0891762
18980.0,0.0916634
18985.0,0.0942658
18990.0,0.0969644
18995.0,0.0996346
19000.0,0.101864
19005.0,0.103894
19010.0,0.10563
19015.0,0.107441
19020.0,0.109131
19025.0,0.110701
19030.0,0.112201
19035.0,0.113432
19040.0,0.114611
19045.0,0.115606
19050.0,0.116604
19055.0,0.117533
19060.0,0.118307
19065.0,0.118934
19070.0,0.119431
19075.0,0.119786
19080.0,0.119977
19085.0,0.120239
19090.0,0.120361
19095.0,0.120467
19100.0,0.120505
19105.0,0.120462
19110.0,0.120364
19115.0,0.120401
19120.0,0.120156
19125.0,0.119988
19130.0,0.119888
19135.0,0.119671
19140.0,0.11946
19145.0,0.119216
19150.0,0.118981
19155.0,0.118724
19160.0,0.118536
19165.0,0.11821
19170.0,0.118017
19175.0,0.117798
19180.0,0.117513
19185.0,0.117227
19190.0,0.117081
19195.0,0.11675
19200.0,0.116588
19205.0,0.116345
19210.0,0.116112
19215.0,0.115918
19220.0,0.115752
19225.0,0.115572
19230.0,0.115367
19235.0,0.115199
19240.0,0.115062
19245.0,0.114985
19250.0,0.114828
19255.0,0.114718
19260.0,0.114643
19265.0,0.114514
19270.0,0.114575
19275.0,0.114441
19280.0,0.11447
19285.0,0.114373
19290.0,0.114294
19295.0,0.114385
19300.0,0.114343
19305.0,0.114406
19310.0,0.114331
19315.0,0.114418
19320.0,0.114446
19325.0,0.114473
19330.0,0.114486
19335.0,0.114542
19340.0,0.114555
19345.0,0.114687
19350.0,0.114705
19355.0,0.114762
19360.0,0.114925
19365.0,0.114916
19370.0,0.115082
19375.0,0.115101
19380.0,0.115241
19385.0,0.11527
19390.0,0.11545
19395.0,0.115464
19400.0,0.115631
19405.0,0.115707
19410.0,0.115786
19415.0,0.115979
19420.0,0.116064
19425.0,0.116187
19430.0,0.116317
19435.0,0.116408
19440.0,0.11644
19445.0,0.116541
19450.0,0.116643
19455.0,0.116762
19460.0,0.116792
19465.0,0.11689
19470.0,0.116977
19475.0,0.117121
19480.0,0.117097
19485.0,0.117146
19490.0,0.117245
19495.0,0.117336
19500.0,0.117334
19505.0,0.117397
19510.0,0.117423
19515.0,0.117498
19520.0,0.117526
19525.0,0.117598
19530.0,0.117533
19535.0,0.117569
19540.0,0.117571
19545.0,0.117655
19550.0,0.117591
19555.0,0.11757
19560.0,0.117676
19565.0,0.117606
19570.0,0.117594
19575.0,0.117587
19580.0,0.117547
19585.0,0.117579
19590.0,0.117481
19595.0,0.117472
19600.0,0.117342
19605.0,0.11737
19610.0,0.11727
19615.0,0.117249
19620.0,0.117219
19625.0,0.117185
19630.0,0.117103
19635.0,0.117025
19640.0,0.116908
19645.0,0.11693
19650.0,0.116912
19655.0,0.116753
19660.0,0.116734
19665.0,0.116659
19670.0,0.116485
19675.0,0.116498
19680.0,0.116433
19685.0,0.116237
19690.0,0.11625
19695.0,0.116136
19700.0,0.1161
19705.0,0.11604
19710.0,0.115941
19715.0,0.115822
19720.0,0.115695
19725.0,0.115607
19730.0,0.115578
19735.0,0.115508
19740.0,0.11545
19745.0,0.115338
19750.0,0.115336
19755.0,0.115225
19760.0,0.115152
19765.0,0.11506
19770.0,0.115014
19775.0,0.114944
19780.0,0.114926
19785.0,0.11485
19790.0,0.114901
19795.0,0.114803
19800.0,0.114777
19805.0,0.114743
19810.0,0.114702
19815.0,0.114697
19820.0,0.114667
19825.0,0.114658
19830.0,0.114691
19835.0,0.114629
19840.0,0.114588
19845.0,0.114677
19850.0,0.114652
19855.0,0.11467
19860.0,0.114688
19865.0,0.114778
19870.0,0.11475
19875.0,0.114757
19880.0,0.11483
19885.0,0.114812
19890.0,0.114923
19895.0,0.114974
19900.0,0.115007
19905.0,0.11513
19910.0,0.115144
19915.0,0.115156
19920.0,0.115291
19925.0,0.115297
19930.0,0.115371
19935.0,0.115377
19940.0,0.115563
19945.0,0.115658
19950.0,0.115766
19955.0,0.115879
19960.0,0.115946
19965.0,0.1161
19970.0,0.116152
19975.0,0.116229
19980.0,0.116366
19985.0,0.116561
19990.0,0.116663
19995.0,0.116701
20000.0,0.116937
20005.0,0.11719
20010.0,0.117565
20015.0,0.117805
20020.0,0.118038
20025.0,0.118361
20030.0,0.118681
20035.0,0.119003
20040.0,0.119266
20045.0,0.119589
20050.0,0.11989
20055.0,0.120236
20060.0,0.120581
20065.0,0.120857
20070.0,0.121152
20075.0,0.121538
20080.0,0.121874
20085.0,0.122136
20090.0,0.122484
20095.0,0.122822
20100.0,0.123134
20105.0,0.123463
20110.0,0.123817
20115.0,0.124171
20120.0,0.124541
20125.0,0.124816
20130.0,0.125289
20135.0,0.125548
20140.0,0.12581
20145.0,0.126219
20150.0,0.126553
20155.0,0.126838
20160.0,0.127193
20165.0,0.127616
20170.0,0.127891
20175.0,0.128201
20180.0,0.12859
20185.0,0.128858
20190.0,0.129204
20195.0,0.129582
20200.0,0.12982
20205.0,0.130086
20210.0,0.130359
20215.0,0.130708
20220.0,0.131053
20225.0,0.131237
20230.0,0.131555
20235.0,0.131878
20240.0,0.132139
20245.0,0.13241
20250.0,0.13254
20255.0,0.132882
20260.0,0.133148
20265.0,0.133333
20270.0,0.133542
20275.0,0.133769
20280.0,0.134055
20285.0,0.134221
20290.0,0.13446
20295.0,0.134681
20300.0,0.134871
20305.0,0.134995
20310.0,0.135171
20315.0,0.135321
20320.0,0.135578
20325.0,0.135618
20330.0,0.135795
20335.0,0.135987
20340.0,0.136072
20345.0,0.136233
20350.0,0.136399
20355.0,0.136416
20360.0,0.136519
20365.0,0.136637
20370.0,0.136691
20375.0,0.136784
20380.0,0.136924
20385.0,0.137008
20390.0,0.137118
20395.0,0.137178
20400.0,0.137217
20405.0,0.13736
20410.0,0.137446
20415.0,0.137491
20420.0,0.13757
20425.0,0.137742
20430.0,0.137828
20435.0,0.137888
20440.0,0.138013
20445.0,0.138065
20450.0,0.138162
20455.0,0.13826
20460.0,0.138321
20465.0,0.138392
20470.0,0.138487
20475.0,0.13871
20480.0,0.138827
20485.0,0.138926
20490.0,0.138978
20495.0,0.13911
20500.0,0.139157
20505.0,0.139428
20510.0,0.13948
20515.0,0.139621
20520.0,0.139822
20525.0,0.139864
20530.0,0.140071
20535.0,0.140199
20540.0,0.140303
20545.0,0.140529
20550.0,0.140805
20555.0,0.140858
20560.0,0.141246
20565.0,0.141398
20570.0,0.14171
20575.0,0.141835
20580.0,0.142083
20585.0,0.142416
20590.0,0.142664
20595.0,0.142946
20600.0,0.143207
20605.0,0.14352
20610.0,0.143961
20615.0,0.144171
20620.0,0.1446
20625.0,0.144973
20630.0,0.145256
20635.0,0.14566
20640.0,0.14597
20645.0,0.146467
20650.0,0.146828
20655.0,0.147206
20660.0,0.147532
20665.0,0.148046
20670.0,0.14848
20675.0,0.148796
20680.0,0.149226
20685.0,0.149609
20690.0,0.150119
20695.0,0.150427
20700.0,0.150912
20705.0,0.151109
20710.0,0.151586
20715.0,0.151818
20720.0,0.152083
20725.0,0.152244
20730.0,0.152555
20735.0,0.152702
20740.0,0.152874
20745.0,0.152959
20750.0,0.153152
20755.0,0.153086
20760.0,0.152974
20765.0,0.152859
20770.0,0.152671
20775.0,0.152519
20780.0,0.152172
20785.0,0.151642
20790.0,0.151139
20795.0,0.150597
20800.0,0.149922
20805.0,0.149197
20810.0,0.148415
20815.0,0.147526
