Wavelength,Transmission
7670.0,1.19057e-05
7675.0,1.39367e-05
7680.0,1.46346e-05
7685.0,1.53167e-05
7690.0,1.64256e-05
7695.0,1.86347e-05
7700.0,1.99021e-05
7705.0,2.26927e-05
7710.0,2.44418e-05
7715.0,2.69484e-05
7720.0,2.93552e-05
7725.0,3.17221e-05
7730.0,3.45458e-05
7735.0,3.79418e-05
7740.0,4.12327e-05
7745.0,4.35484e-05
7750.0,4.62554e-05
7755.0,5.07876e-05
7760.0,5.37714e-05
7765.0,5.75537e-05
7770.0,6.06387e-05
7775.0,6.42876e-05
7780.0,6.7999e-05
7785.0,7.03196e-05
7790.0,7.35535e-05
7795.0,7.71161e-05
7800.0,8.02176e-05
7805.0,8.23322e-05
7810.0,8.63087e-05
7815.0,9.00011e-05
7820.0,9.22215e-05
7825.0,9.62565e-05
7830.0,0.000102487
7835.0,0.000105746
7840.0,0.000110756
7845.0,0.000116347
7850.0,0.000121812
7855.0,0.000128358
7860.0,0.000135521
7865.0,0.000143669
7870.0,0.000152204
7875.0,0.000162571
7880.0,0.000176062
7885.0,0.000187909
7890.0,0.000203916
7895.0,0.000220637
7900.0,0.000240068
7905.0,0.000262144
7910.0,0.000287721
7915.0,0.000315908
7920.0,0.000349131
7925.0,0.000386395
7930.0,0.00043078
7935.0,0.000481502
7940.0,0.000540633
7945.0,0.000613687
7950.0,0.000697864
7955.0,0.000795063
7960.0,0.000916229
7965.0,0.00105292
7970.0,0.00121751
7975.0,0.00141897
7980.0,0.00164411
7985.0,0.00192416
7990.0,0.00223664
7995.0,0.0026161
8000.0,0.00305859
8005.0,0.00355265
8010.0,0.00412726
8015.0,0.00478828
8020.0,0.00550198
8025.0,0.00632104
8030.0,0.0071917
8035.0,0.00813695
8040.0,0.00918984
8045.0,0.0102305
8050.0,0.0113656
8055.0,0.0125231
8060.0,0.01367
8065.0,0.0148481
8070.0,0.0160434
8075.0,0.0172228
8080.0,0.0184105
8085.0,0.019593
8090.0,0.0207523
8095.0,0.0218787
8100.0,0.0229566
8105.0,0.0239884
8110.0,0.0249052
8115.0,0.0256499
8120.0,0.0262994
8125.0,0.0267761
8130.0,0.0270526
8135.0,0.0271477
8140.0,0.027092
8145.0,0.02687
8150.0,0.0265405
8155.0,0.0260966
8160.0,0.0255413
8165.0,0.0249983
8170.0,0.0244091
8175.0,0.0237765
8180.0,0.0231921
8185.0,0.0225951
8190.0,0.0220223
8195.0,0.021493
8200.0,0.0210181
8205.0,0.0205876
8210.0,0.0202189
8215.0,0.0199144
8220.0,0.0196491
8225.0,0.0194582
8230.0,0.0193426
8235.0,0.0192492
8240.0,0.0192295
8245.0,0.0192706
8250.0,0.0193301
8255.0,0.0194202
8260.0,0.0195555
8265.0,0.0197323
8270.0,0.0199432
8275.0,0.020164
8280.0,0.0204522
8285.0,0.0207828
8290.0,0.0211484
8295.0,0.0215838
8300.0,0.0220653
8305.0,0.0226102
8310.0,0.0232206
8315.0,0.0238378
8320.0,0.0244868
8325.0,0.0251182
8330.0,0.0257511
8335.0,0.0263159
8340.0,0.026806
8345.0,0.0272748
8350.0,0.0276559
8355.0,0.0279684
8360.0,0.0282616
8365.0,0.0285197
8370.0,0.0287727
8375.0,0.0290176
8380.0,0.0292807
8385.0,0.0294988
8390.0,0.0297255
8395.0,0.0299152
8400.0,0.0300592
8405.0,0.0300947
8410.0,0.0300475
8415.0,0.0298789
8420.0,0.029645
8425.0,0.0292963
8430.0,0.0288764
8435.0,0.0284108
8440.0,0.0279838
8445.0,0.02756
8450.0,0.0272381
8455.0,0.027002
8460.0,0.0269105
8465.0,0.0269371
8470.0,0.0270784
8475.0,0.0273671
8480.0,0.027713
8485.0,0.0282163
8490.0,0.0287036
8495.0,0.029213
8500.0,0.0296617
8505.0,0.0300887
8510.0,0.030387
8515.0,0.0305804
8520.0,0.0306922
8525.0,0.0307085
8530.0,0.0305883
8535.0,0.0304463
8540.0,0.030255
8545.0,0.0300767
8550.0,0.0298618
8555.0,0.0297143
8560.0,0.0296086
8565.0,0.0295126
8570.0,0.029487
8575.0,0.0295134
8580.0,0.0295136
8585.0,0.029571
8590.0,0.0295667
8595.0,0.0296414
8600.0,0.029695
8605.0,0.0297028
8610.0,0.0297382
8615.0,0.0297153
8620.0,0.0297558
8625.0,0.0297497
8630.0,0.0297321
8635.0,0.0297406
8640.0,0.029749
8645.0,0.0297508
8650.0,0.0297876
8655.0,0.0298827
8660.0,0.0298426
8665.0,0.0299652
8670.0,0.0299873
8675.0,0.0300814
8680.0,0.0300717
8685.0,0.0300283
8690.0,0.030039
8695.0,0.0300212
8700.0,0.029959
8705.0,0.0298143
8710.0,0.0296782
8715.0,0.0294676
8720.0,0.0292882
8725.0,0.0290692
8730.0,0.0288474
8735.0,0.0285145
8740.0,0.0282959
8745.0,0.0281799
8750.0,0.0284971
8755.0,0.0283343
8760.0,0.0282329
8765.0,0.0281401
8770.0,0.0281
8775.0,0.0281341
8780.0,0.0282093
8785.0,0.0282839
8790.0,0.0284198
8795.0,0.0284695
8800.0,0.0286502
8805.0,0.0287199
8810.0,0.0287975
8815.0,0.0288175
8820.0,0.0288182
8825.0,0.0287306
8830.0,0.028685
8835.0,0.0285417
8840.0,0.0284171
8845.0,0.0283157
8850.0,0.0282054
8855.0,0.0281134
8860.0,0.0281354
8865.0,0.0281507
8870.0,0.0283178
8875.0,0.0285496
8880.0,0.028836
8885.0,0.0292005
8890.0,0.0296615
8895.0,0.0301888
8900.0,0.0307724
8905.0,0.0313322
8910.0,0.031889
8915.0,0.0323564
8920.0,0.0327854
8925.0,0.0331854
8930.0,0.0334758
8935.0,0.0336552
8940.0,0.0337886
8945.0,0.0337947
8950.0,0.0337649
8955.0,0.0337202
8960.0,0.0336517
8965.0,0.0335882
8970.0,0.0335651
8975.0,0.0335597
8980.0,0.0336342
8985.0,0.0336809
8990.0,0.0338013
8995.0,0.0339146
9000.0,0.0340651
9005.0,0.0341637
9010.0,0.0342936
9015.0,0.0343002
9020.0,0.0343351
9025.0,0.0343172
9030.0,0.0342381
9035.0,0.0341441
9040.0,0.0340384
9045.0,0.0339447
9050.0,0.0338751
9055.0,0.0337984
9060.0,0.0337952
9065.0,0.0338866
9070.0,0.0339744
9075.0,0.0341558
9080.0,0.0343929
9085.0,0.034736
9090.0,0.03504
9095.0,0.035388
9100.0,0.0357137
9105.0,0.0360879
9110.0,0.0363643
9115.0,0.0366726
9120.0,0.0369086
9125.0,0.0370752
9130.0,0.0372119
9135.0,0.0373216
9140.0,0.0373823
9145.0,0.0374514
9150.0,0.0375235
9155.0,0.0376368
9160.0,0.0377701
9165.0,0.0379098
9170.0,0.0381201
9175.0,0.0383473
9180.0,0.0386058
9185.0,0.0388973
9190.0,0.039193
9195.0,0.0394357
9200.0,0.0397248
9205.0,0.0399683
9210.0,0.0401877
9215.0,0.0403427
9220.0,0.0404637
9225.0,0.0405477
9230.0,0.0406128
9235.0,0.0406214
9240.0,0.0406243
9245.0,0.0406388
