Wavelength,Transmission
1150.0,0.00175328
1150.25,0.00181062
1150.5,0.00186776
1150.75,0.0019247
1151.0,0.00198144
1151.25,0.00203798
1151.5,0.00209432
1151.750122,0.00215049
1152.0,0.00220641
1152.25,0.00226217
1152.5,0.00231774
1152.75,0.00237312
1153.0,0.00242832
1153.25,0.00248333
1153.5,0.00253815
1153.75,0.0025928
1154.0,0.00264727
1154.25,0.00270155
1154.500122,0.00275569
1154.75,0.00280961
1155.0,0.00286337
1155.25,0.00291697
1155.5,0.0029704
1155.75,0.00302366
1156.0,0.00307676
1156.25,0.0031297
1156.5,0.00318247
1156.75,0.00323509
1157.0,0.00328755
1157.25,0.00333986
1157.5,0.00339202
1157.749878,0.00344399
1158.0,0.00349588
1158.25,0.00354759
1158.500122,0.00359918
1158.75,0.00365058
1158.999878,0.00370184
1159.25,0.00375301
1159.5,0.00380402
1159.75,0.00385489
1160.0,0.00390564
1160.25,0.00395626
1160.5,0.00400674
1160.75,0.00405711
1161.0,0.00410735
1161.25,0.00415747
1161.5,0.00420747
1161.749878,0.00425733
1162.0,0.00430713
1162.25,0.00435679
1162.500122,0.00440636
1162.75,0.00445578
1163.0,0.00450512
1163.25,0.00455435
1163.5,0.00460349
1163.75,0.00465252
1164.0,0.00470146
1164.25,0.00475031
1164.500122,0.00479909
1164.75,0.00484774
1165.0,0.00489632
1165.25,0.00494481
1165.5,0.00499323
1165.75,0.00504157
1166.0,0.00508983
1166.25,0.00513801
1166.5,0.00518613
1166.75,0.00523417
1167.0,0.00528215
1167.250122,0.00533008
1167.5,0.00537791
1167.75,0.0054257
1168.0,0.00547344
1168.25,0.00552112
1168.5,0.00556875
1168.75,0.00561632
1169.0,0.00566386
1169.25,0.00571134
1169.5,0.00575879
1169.75,0.0058062
1170.0,0.00585357
1170.000122,0.00585359
1170.25,0.00590091
1170.499878,0.00594819
1170.75,0.00599549
1171.0,0.00604274
1171.250122,0.00608999
1171.5,0.00613718
1171.749878,0.00618435
1172.0,0.00623155
1172.25,0.00627871
1172.5,0.00632586
1172.75,0.00637301
1173.0,0.00642015
1173.25,0.00646729
1173.5,0.00651444
1173.75,0.00656158
1174.0,0.00660874
1174.25,0.0066559
1174.499878,0.00670306
1174.75,0.00675027
1175.0,0.00679748
1175.250122,0.00684474
1175.5,0.00689197
1175.75,0.00693926
1176.0,0.00698657
1176.25,0.00703392
1176.5,0.0070813
1176.75,0.00712872
1177.0,0.00717618
1177.25,0.00722369
1177.5,0.00727125
1177.75,0.00731885
1178.0,0.00736651
1178.25,0.00741423
1178.5,0.007462
1178.75,0.00750984
1179.0,0.00755774
1179.25,0.00760572
1179.5,0.00765376
1179.75,0.00770188
1180.0,0.00775008
1180.25,0.00779836
1180.5,0.00784672
1180.75,0.00789517
1181.0,0.00794371
1181.25,0.00799235
1181.5,0.00804108
1181.75,0.00808991
1182.0,0.00813884
1182.25,0.00818789
1182.5,0.00823704
1182.750122,0.00828632
1183.0,0.00833568
1183.249878,0.00838516
1183.5,0.0084348
1183.75,0.00848455
1184.000122,0.00853445
1184.25,0.00858444
1184.5,0.00863458
1184.75,0.00868487
1185.0,0.00873529
1185.25,0.00878587
1185.5,0.00883659
1185.75,0.00888746
1186.0,0.00893849
1186.25,0.00898968
1186.5,0.00904104
1186.75,0.00909255
1187.0,0.00914424
1187.249878,0.00919608
1187.5,0.00924813
1187.75,0.00930033
1188.0,0.0093527
1188.25,0.00940524
1188.499878,0.00945791
1188.75,0.0095108
