Wavelength,Transmission
1150.0,0.000646129
1160.0,0.00128892
1170.0,0.00189951
1180.0,0.00271039
1190.0,0.00344224
1200.0,0.00422177
1210.0,0.00516729
1220.0,0.00608603
1230.0,0.00617551
1240.0,0.00623134
1250.0,0.00625648
1260.0,0.00625194
1270.0,0.00621455
1280.0,0.00616045
1290.0,0.00609446
1300.0,0.00602372
1310.0,0.00596431
1320.0,0.0059067
1330.0,0.00584313
1340.0,0.00578079
1350.0,0.00571754
1360.0,0.00565486
1370.0,0.00559644
1380.0,0.00553837
1390.0,0.00547433
1400.0,0.00541035
1410.0,0.00539331
1420.0,0.00541626
1430.0,0.00542635
1440.0,0.00543468
1450.0,0.0054211
1460.0,0.00540513
1470.0,0.00538136
1480.0,0.00535461
1490.0,0.00532833
1500.0,0.00529822
1510.0,0.00533054
1520.0,0.00535966
1530.0,0.00541996
1540.0,0.00547905
1550.0,0.00532796
1560.0,0.00561004
1570.0,0.00567957
1580.0,0.00575209
1590.0,0.0055844
1600.0,0.0054257
1610.0,0.00546645
1620.0,0.00553546
1630.0,0.00563658
1640.0,0.00574881
1650.0,0.00587379
1660.0,0.0060138
1670.0,0.00616854
1680.0,0.00633765
1690.0,0.0065202
1700.0,0.00671609
1710.0,0.0069217
1720.0,0.00713946
1730.0,0.00736854
1740.0,0.00760805
1750.0,0.00785726
1760.0,0.00807009
1770.0,0.00828896
1780.0,0.0085139
1790.0,0.00874523
1800.0,0.0089831
1810.0,0.00920913
1820.0,0.00944089
1830.0,0.00964793
1840.0,0.00984603
1850.0,0.010048
1860.0,0.0102555
1870.0,0.010467
1880.0,0.0106824
1890.0,0.0109018
1900.0,0.0111251
1910.0,0.0113516
1920.0,0.011582
1930.0,0.0118164
1940.0,0.0120546
1950.0,0.0122968
1960.0,0.0126109
1970.0,0.0129319
1980.0,0.01326
1990.0,0.0135952
2000.0,0.0139377
2010.0,0.014241
2020.0,0.0145494
2030.0,0.0148628
2040.0,0.0151809
2050.0,0.0155037
2060.0,0.015714
2070.0,0.0159247
2080.0,0.0161355
2090.0,0.0163463
2100.0,0.0165568
2110.0,0.0167704
2120.0,0.0169833
2130.0,0.0171955
2140.0,0.0174064
2150.0,0.0176159
2160.0,0.0178193
2170.0,0.0180207
2180.0,0.0182197
2190.0,0.0184161
2200.0,0.0186097
2210.0,0.0187394
2220.0,0.0188647
2230.0,0.0189849
2240.0,0.0191001
2250.0,0.0192098
2260.0,0.0193186
2270.0,0.0194219
2280.0,0.01952
2290.0,0.0196131
2300.0,0.0197017
2310.0,0.0197805
2320.0,0.019855
2330.0,0.0199256
2340.0,0.0199924
2350.0,0.0200559
2360.0,0.0201161
2370.0,0.0201732
2380.0,0.0202277
2390.0,0.0202797
2400.0,0.0203295
2410.0,0.0203535
2420.0,0.0203757
2430.0,0.0203965
2440.0,0.020416
2450.0,0.0204346
2460.0,0.0204472
2470.0,0.0204594
2480.0,0.0204713
2490.0,0.0204833
2500.0,0.0204956
2510.0,0.0204826
2520.0,0.0204701
2530.0,0.0204582
2540.0,0.0204469
2550.0,0.020436
2560.0,0.0203998
2570.0,0.0203641
2580.0,0.0203288
2590.0,0.0202941
2600.0,0.0202598
2610.0,0.0201655
2620.0,0.0200719
2630.0,0.0199791
2640.0,0.0198871
2650.0,0.0197958
2660.0,0.0197054
2670.0,0.0196156
2680.0,0.0195265
2690.0,0.0194381
2700.0,0.0193502
2710.0,0.0192671
2720.0,0.0191846
2730.0,0.0191025
2740.0,0.0190209
2750.0,0.0189398
2760.0,0.0188545
2770.0,0.0187697
2780.0,0.0186855
2790.0,0.0186016
2800.0,0.0185182
2810.0,0.0181021
2820.0,0.0176953
2830.0,0.0172977
2840.0,0.0169092
2850.0,0.0165294
2860.0,0.0161615
2870.0,0.0158018
2880.0,0.0154501
2890.0,0.0151062
2900.0,0.0147699
2910.0,0.0144376
2920.0,0.0141127
2930.0,0.013795
2940.0,0.0134845
2950.0,0.0131808
2960.0,0.0128844
2970.0,0.0125945
2980.0,0.0123111
2990.0,0.0120339
3000.0,0.0117629
3010.0,0.0108385
3020.0,0.00998658
3030.0,0.00920157
3040.0,0.00847818
3050.0,0.0078116
3060.0,0.00719564
3070.0,0.00662822
3080.0,0.00610552
3090.0,0.005624
3100.0,0.00518043
3110.0,0.00477513
3120.0,0.00440152
3130.0,0.00405713
3140.0,0.00373968
3150.0,0.00344706
3160.0,0.00317608
3170.0,0.00292638
3180.0,0.0026963
3190.0,0.00248431
3200.0,0.00228898
3210.0,0.00210899
3220.0,0.00194316
3230.0,0.00179037
3240.0,0.00164959
3250.0,0.00151988
3260.0,0.00140037
3270.0,0.00129026
3280.0,0.0011888
3290.0,0.00109533
3300.0,0.00100921
3310.0,0.000929857
3320.0,0.000856751
3330.0,0.000789394
3340.0,0.000727333
3350.0,0.000670152
3360.0,0.000617468
3370.0,0.000568928
3380.0,0.000524207
3390.0,0.000483006
3400.0,0.000445044
3410.0,0.000410066
3420.0,0.000377839
3430.0,0.000348147
3440.0,0.000320792
3450.0,0.000295589
3460.0,0.000272367
3470.0,0.000250971
3480.0,0.000231258
3490.0,0.000213094
3500.0,0.00019636
3510.0,0.000193685
3520.0,0.000191048
3530.0,0.000188449
3540.0,0.000185887
3550.0,0.000183361
3560.0,0.00018087
3570.0,0.000178414
3580.0,0.000175993
3590.0,0.000173606
3600.0,0.000171252
3610.0,0.000168931
3620.0,0.000166641
3630.0,0.000164383
3640.0,0.000162156
3650.0,0.000159959
3660.0,0.000157792
3670.0,0.000155655
3680.0,0.000153547
3690.0,0.000151468
3700.0,0.000149417
3710.0,0.000147393
3720.0,0.000145397
3730.0,0.000143427
3740.0,0.000141485
3750.0,0.000139568
3760.0,0.000137677
3770.0,0.000135811
3780.0,0.000133971
3790.0,0.000132155
3800.0,0.000130362
3810.0,0.000128594
3820.0,0.000126849
3830.0,0.000125127
3840.0,0.000123427
3850.0,0.000121749
3860.0,0.000120093
3870.0,0.000118459
3880.0,0.000116847
3890.0,0.000115256
3900.0,0.000113685
3910.0,0.000112135
3920.0,0.000110604
3930.0,0.000109094
3940.0,0.000107603
3950.0,0.000106131
3960.0,0.000104678
3970.0,0.000103244
3980.0,0.000101828
3990.0,0.00010043
4000.0,9.905e-05
4010.0,9.84103e-05
4020.0,9.77734e-05
4030.0,9.71392e-05
4040.0,9.65081e-05
4050.0,9.588e-05
4060.0,9.52546e-05
4070.0,9.46321e-05
4080.0,9.40127e-05
4090.0,9.33964e-05
4100.0,9.27833e-05
4110.0,9.21731e-05
4120.0,9.15657e-05
4130.0,9.09614e-05
4140.0,9.03602e-05
4150.0,8.97623e-05
4160.0,8.90268e-05
4170.0,8.82899e-05
4180.0,8.75583e-05
4190.0,8.68319e-05
4200.0,8.61109e-05
4210.0,8.5395e-05
4220.0,8.46845e-05
4230.0,8.39795e-05
4240.0,8.32798e-05
4250.0,8.25853e-05
4260.0,8.18962e-05
4270.0,8.12124e-05
4280.0,8.05339e-05
4290.0,7.98606e-05
4300.0,7.91922e-05
4310.0,7.85035e-05
4320.0,7.78203e-05
4330.0,7.71431e-05
4340.0,7.64716e-05
4350.0,7.58056e-05
4360.0,7.5145e-05
4370.0,7.44896e-05
4380.0,7.38395e-05
4390.0,7.31951e-05
