Wavelength,Transmission
2883.0,2.49908e-05
2888.954102,0.000270181
2890.0,0.000315198
2894.677734,0.000516594
2900.0,0.000750857
2900.401367,0.000768522
2906.125,0.00103012
2910.0,0.00121675
2911.848633,0.0013058
2917.572266,0.00161844
2920.0,0.00179213
2923.296143,0.00202798
2929.019775,0.00259819
2930.0,0.00273417
2934.743408,0.00339229
2940.0,0.00437785
2940.467041,0.00446543
2946.190674,0.00578386
2950.0,0.00676504
2951.914307,0.00725818
2957.637939,0.00879888
2960.0,0.00942543
2963.361572,0.0103172
2969.085205,0.0117252
2970.0,0.0119186
2974.808838,0.0129355
2980.0,0.0137988
2980.532471,0.0138873
2986.256348,0.0146128
2990.0,0.0149741
2991.97998,0.0151652
2997.703613,0.0155975
3000.0,0.0157438
3003.427246,0.0159621
3009.150879,0.0163111
3010.0,0.0163682
3014.874512,0.016696
3020.0,0.0171166
3020.598145,0.0171657
3026.321777,0.0177296
3030.0,0.018137
3032.04541,0.0183635
3037.769043,0.0190421
3040.0,0.0193143
3043.492676,0.0197404
3049.216309,0.0204337
3050.0,0.0205247
3054.939941,0.0210987
3060.0,0.0216529
3060.663818,0.0217256
3066.387451,0.022312
3070.0,0.0226549
3072.111084,0.0228553
3077.834717,0.0233533
3080.0,0.0235237
3083.55835,0.0238036
3089.281982,0.0242038
3090.0,0.0242478
3095.005615,0.0245539
3100.0,0.0248214
3100.729248,0.0248612
3106.452881,0.025138
3110.0,0.0252923
3112.176514,0.0253869
3117.900146,0.0256155
3120.0,0.0256948
3123.624023,0.0258315
3129.347656,0.0260423
3130.0,0.0260666
3135.071289,0.0262554
3140.0,0.0264474
3140.794922,0.0264783
3146.518555,0.0267183
3150.0,0.0268791
3152.242188,0.0269827
3157.96582,0.0272786
3160.0,0.0273952
3163.689453,0.0276068
3169.413086,0.027962
3170.0,0.0280006
3175.136719,0.0283388
3180.0,0.0286726
3180.860352,0.0287316
3186.583984,0.0291352
3190.0,0.0293792
3192.307617,0.029544
3198.031494,0.0299528
3200.0,0.0300916
3203.755127,0.0303563
3209.47876,0.0307491
3210.0,0.0307834
3215.202393,0.0311261
3220.0,0.0314245
3220.926025,0.0314821
3226.649658,0.0318144
3230.0,0.0319961
3232.373291,0.0321249
3238.096924,0.032416
3240.0,0.0325072
3243.820557,0.0326902
3249.544189,0.0329496
3250.0,0.0329693
3255.268066,0.0331967
3260.0,0.0333927
3260.991699,0.0334338
3266.715332,0.0336632
3270.0,0.0337917
3272.438965,0.0338871
3278.162598,0.0341079
3280.0,0.0341785
3283.88623,0.0343278
3289.609863,0.0345486
3290.0,0.0345637
3295.333496,0.0347706
3300.0,0.0349529
3301.057129,0.0349952
3306.780762,0.0352258
3310.0,0.0353567
3312.504395,0.0354586
3318.228027,0.0356938
3320.0,0.0357675
3323.95166,0.0359317
3329.675293,0.0361726
3330.0,0.0361864
3335.39917,0.0364166
3340.0,0.0366155
3341.122803,0.0366641
3346.846436,0.0369152
3350.0,0.0370557
3352.570068,0.0371702
3358.293701,0.0374287
3360.0,0.0375065
3364.017334,0.0376899
3369.740967,0.0379533
3370.0,0.0379653
3375.4646,0.0382182
3380.0,0.0384287
3381.188232,0.038484
3386.911865,0.03875
3390.0,0.0388933
3392.635742,0.0390157
3398.359375,0.0392803
3400.0,0.0393557
3404.083008,0.0395434
3409.806641,0.0398042
3410.0,0.0398129
3415.530273,0.0400622
3420.0,0.040261
3421.253906,0.0403168
3426.977539,0.0405673
3430.0,0.0406971
3432.701172,0.0408132
3438.424805,0.0410538
3440.0,0.0411184
3444.148438,0.0412886
3449.87207,0.0415171
3450.0,0.041522
3455.595703,0.0417385
3460.0,0.041903
3461.319336,0.0419523
3467.042969,0.042158
3470.0,0.0422596
3472.766846,0.0423549
3478.490479,0.0425426
3480.0,0.0425894
3484.214111,0.0427203
3489.937744,0.0428881
3490.0,0.0428899
3495.661377,0.043047
3500.0,0.0431613
3501.38501,0.0431954
3507.108643,0.043329
3510.0,0.0433936
3512.832275,0.043457
3518.555908,0.0435804
3520.0,0.0436106
3524.279785,0.0437002
3530.0,0.0438176
3530.003418,0.0438176
3535.727051,0.0439337
3540.0,0.0440202
3541.450684,0.0440496
3547.174316,0.0441662
3550.0,0.0442246
3552.897949,0.0442847
3558.621582,0.044406
3560.0,0.0444362
3564.345215,0.0445313
3570.0,0.0446599
3570.068848,0.0446615
3575.79248,0.0447977
3580.0,0.0449029
3581.516113,0.0449408
3587.239746,0.045092
3590.0,0.045169
3592.963379,0.0452519
3598.687012,0.0454211
3600.0,0.045462
3604.410645,0.0455996
3610.0,0.0457837
3610.134521,0.0457882
3615.858154,0.0459872
3620.0,0.046139
3621.581787,0.046197
3627.30542,0.0464182
3630.0,0.0465278
3633.029053,0.046651
3638.752686,0.0468959
3640.0,0.0469519
3644.476318,0.0471532
3650.0,0.047414
3650.199951,0.0474235
3655.923584,0.0477069
3660.0,0.0479185
3661.647461,0.048004
3667.371094,0.0483151
3670.0,0.0484646
3673.094727,0.0486406
3678.818359,0.0489808
3680.0,0.0490542
3684.541992,0.0493362
3690.0,0.0496899
3690.265625,0.0497071
3695.989258,0.0500939
3700.0,0.0503763
3701.712891,0.0504976
3707.436523,0.0509197
3710.0,0.0511163
3713.160156,0.0513587
3718.883789,0.0518151
3720.0,0.0519075
3724.607422,0.0522892
3730.0,0.0527529
3730.331055,0.0527814
3736.054688,0.0532917
3740.0,0.0536553
3741.77832,0.0538192
3747.502197,0.0543627
3750.0,0.0546063
3753.22583,0.054921
3758.949463,0.0554928
3760.0,0.0556001
3764.673096,0.0560772
3770.0,0.0566315
3770.396729,0.0566728
3776.120361,0.0572787
3780.0,0.0576954
3781.843994,0.0578936
3787.567627,0.0585164
3790.0,0.0587839
3793.29126,0.059146
3799.015137,0.0597813
3800.0,0.0598914
3804.73877,0.0604213
3810.0,0.0610128
3810.462402,0.0610648
3816.186035,0.0617107
3820.0,0.062142
3821.909668,0.062358
3827.633301,0.0630055
3830.0,0.063273
3833.356934,0.0636523
3839.080566,0.0642973
3840.0,0.0644005
3844.804199,0.0649395
3850.0,0.0655188
3850.527832,0.0655777
3856.251465,0.066211
3860.0,0.0666219
3861.975098,0.0668383
3867.69873,0.0674588
3870.0,0.0677054
3873.422363,0.0680721
3879.145996,0.0686783
3880.0,0.0687677
3884.869873,0.0692775
3890.0,0.0698083
3890.593506,0.0698697
3896.317139,0.070455
3900.0,0.0708272
3902.040771,0.071032
3907.764404,0.0715998
3910.0,0.071819
3913.488037,0.0721608
3919.21167,0.0727151
3920.0,0.0727906
3924.935547,0.0732628
3930.0,0.0737416
3930.65918,0.0738039
3936.382812,0.0743385
3940.0,0.0746721
3942.106445,0.0748662
3947.830078,0.0753865
3950.0,0.0755808
3953.553711,0.0758988
3959.277344,0.0764025
3960.0,0.076465
3965.000977,0.0768971
3970.0,0.0773206
3970.724609,0.077382
3976.448242,0.0778565
3980.0,0.0781444
3982.171875,0.0783202
3987.895508,0.0787724
3990.0,0.0789343
3993.619141,0.0792125
3999.342773,0.0796399
4000.0,0.0796875
4005.066406,0.0800537
4010.0,0.0803977
4010.790039,0.0804527
4016.513672,0.0808356
4020.0,0.0810586
4022.237305,0.0812014
4027.961182,0.0815488
4030.0,0.0816657
4033.684814,0.0818766
4039.408447,0.0821837
4040.0,0.0822134
4045.13208,0.0824701
4050.0,0.0826971
4050.855713,0.082737
4056.579346,0.0829858
4060.0,0.0831247
4062.303223,0.083218
4068.026855,0.0834349
4070.0,0.083505
4073.750488,0.0836379
4079.474121,0.0838284
4080.0,0.083845
4085.197754,0.0840078
4090.0,0.0841501
4090.921387,0.0841774
4096.64502,0.0843385
4100.0,0.0844289
4102.368652,0.084493
4108.092285,0.0846425
4110.0,0.084691
4113.815918,0.0847876
4119.539551,0.0849296
4120.0,0.0849409
4125.263184,0.0850697
4130.0,0.0851853
4130.986816,0.0852093
4136.710449,0.0853497
4140.0,0.0854316
4142.434082,0.0854921
4148.157715,0.0856379
4150.0,0.0856864
4153.881348,0.0857883
4159.60498,0.0859444
4160.0,0.0859556
4165.329102,0.0861064
4170.0,0.0862431
4171.052734,0.0862738
4176.776367,0.0864463
4180.0,0.0865463
4182.5,0.0866236
4188.223633,0.0868053
4190.0,0.086863
4193.947266,0.086991
4199.670898,0.0871804
4200.0,0.0871916
4205.394531,0.0873732
4210.0,0.0875308
4211.118164,0.087569
4216.841797,0.0877674
4220.0,0.0878782
4222.56543,0.0879682
4228.289062,0.0881709
4230.0,0.088232
4234.012695,0.0883752
4239.736328,0.0885808
4240.0,0.0885904
4245.459961,0.0887874
4250.0,0.0889518
4251.183594,0.0889946
4256.907227,0.0892021
4260.0,0.0893142
4262.630859,0.0894095
4268.354492,0.0896165
4270.0,0.0896759
4274.078125,0.0898228
4279.801758,0.0900281
4280.0,0.0900351
4285.525391,0.090232
4290.0,0.0903902
4291.249023,0.0904342
4296.972656,0.0906349
4300.0,0.0907402
4302.696289,0.0908312
4308.419922,0.0910229
4310.0,0.0910755
4314.143555,0.0912131
4319.867188,0.0914019
4320.0,0.0914062
4325.59082,0.0915892
4330.0,0.0917325
4331.314453,0.0917752
4337.038574,0.0919599
4340.0,0.0920549
4342.762207,0.0921434
4348.48584,0.0923256
4350.0,0.0923736
4354.209473,0.0925067
4359.933105,0.0926867
4360.0,0.0926888
4365.656738,0.0928656
4370.0,0.0930006
4371.380371,0.0930435
4377.104004,0.0932204
4380.0,0.0933094
4382.827637,0.0933963
4388.55127,0.0935714
4390.0,0.0936156
4394.274902,0.0937456
4399.998535,0.0939191
4400.0,0.0939191
4405.722168,0.0940924
