Wavelength,Transmission
1200.0,8.44354e-05
1201.0,8.66504e-05
1202.0,8.88892e-05
1203.0,9.1151e-05
1204.0,9.34365e-05
1205.0,9.57462e-05
1206.0,9.80792e-05
1207.0,0.000100436
1208.0,0.000102817
1209.0,0.000105222
1210.0,0.000107652
1211.0,0.000109969
1212.0,0.000112308
1213.0,0.000114671
1214.0,0.000117057
1215.0,0.000119466
1216.0,0.000121898
1217.0,0.000124354
1218.0,0.000126834
1219.0,0.000129337
1220.0,0.000131864
1221.0,0.000132568
1222.0,0.000133272
1223.0,0.000133978
1224.0,0.000134685
1225.0,0.000135393
1226.0,0.000136102
1227.0,0.000136812
1228.0,0.000137523
1229.0,0.000138236
1230.0,0.000138949
1231.0,0.000139591
1232.0,0.000140234
1233.0,0.000140877
1234.0,0.000141521
1235.0,0.000142166
1236.0,0.000142811
1237.0,0.000143457
1238.0,0.000144103
1239.0,0.00014475
1240.0,0.000145398
1241.0,0.000145977
1242.0,0.000146556
1243.0,0.000147135
1244.0,0.000147716
1245.0,0.000148295
1246.0,0.000148875
1247.0,0.000149456
1248.0,0.000150036
1249.0,0.000150617
1250.0,0.000151198
1251.0,0.000151709
1252.0,0.00015222
1253.0,0.00015273
1254.0,0.000153241
1255.0,0.00015375
1256.0,0.000154261
1257.0,0.00015477
1258.0,0.00015528
1259.0,0.000155789
1260.0,0.000156298
1261.0,0.000156726
1262.0,0.000157153
1263.0,0.000157579
1264.0,0.000158004
1265.0,0.000158429
1266.0,0.000158853
1267.0,0.000159276
1268.0,0.000159699
1269.0,0.000160121
1270.0,0.000160542
1271.0,0.00016092
1272.0,0.000161297
1273.0,0.000161672
1274.0,0.000162048
1275.0,0.000162422
1276.0,0.000162795
1277.0,0.000163167
1278.0,0.000163538
1279.0,0.000163909
1280.0,0.000164279
1281.0,0.000164615
1282.0,0.000164951
1283.0,0.000165285
1284.0,0.000165619
1285.0,0.000165951
1286.0,0.000166283
1287.0,0.000166613
1288.0,0.000166942
1289.0,0.000167271
1290.0,0.000167598
1291.0,0.00016791
1292.0,0.000168221
1293.0,0.000168531
1294.0,0.00016884
1295.0,0.000169149
1296.0,0.000169455
1297.0,0.000169761
1298.0,0.000170066
1299.0,0.00017037
1300.0,0.000170672
1301.0,0.000171005
1302.0,0.000171337
1303.0,0.000171668
1304.0,0.000171998
1305.0,0.000172327
1306.0,0.000172655
1307.0,0.000172983
1308.0,0.000173309
1309.0,0.000173634
1310.0,0.000173959
1311.0,0.000174287
1312.0,0.000174614
1313.0,0.000174941
1314.0,0.000175266
1315.0,0.000175591
1316.0,0.000175915
1317.0,0.000176238
1318.0,0.00017656
1319.0,0.000176881
1320.0,0.000177201
1321.0,0.000177994
1322.0,0.000178783
1323.0,0.000179572
1324.0,0.000180358
1325.0,0.000181142
1326.0,0.000181924
1327.0,0.000182704
1328.0,0.000183482
1329.0,0.000184258
1330.0,0.000185033
1331.0,0.000185807
1332.0,0.00018658
1333.0,0.000187352
1334.0,0.00018812
1335.0,0.000188887
1336.0,0.000189653
1337.0,0.000190415
1338.0,0.000191177
1339.0,0.000191936
1340.0,0.000192693
1341.0,0.000193444
1342.0,0.000194193
1343.0,0.00019494
1344.0,0.000195685
1345.0,0.000196429
1346.0,0.000197169
1347.0,0.000197909
1348.0,0.000198646
1349.0,0.00019938
1350.0,0.000200114
1351.0,0.000200846
1352.0,0.000201576
1353.0,0.000202304
1354.0,0.00020303
1355.0,0.000203754
1356.0,0.000204476
1357.0,0.000205197
1358.0,0.000205914
1359.0,0.000206631
1360.0,0.000207345
1361.0,0.000208072
1362.0,0.000208797
1363.0,0.00020952
1364.0,0.000210241
1365.0,0.000210961
1366.0,0.000211678
1367.0,0.000212394
1368.0,0.000213108
1369.0,0.00021382
1370.0,0.00021453
1371.0,0.000215239
1372.0,0.000215946
1373.0,0.000216651
