Wavelength,Transmission
2501.883057,8.96568e-06
2502.0,1.01531e-05
2503.0,1.00102e-05
2504.0,9.94307e-06
2505.0,1.00242e-05
2505.034668,1.00309e-05
2506.0,1.02161e-05
2507.0,1.0666e-05
2508.0,1.13724e-05
2508.186279,1.15402e-05
2509.0,1.22729e-05
2510.0,1.36542e-05
2511.0,1.53466e-05
2511.337891,1.60145e-05
2512.0,1.73233e-05
2513.0,1.97134e-05
2514.0,2.21624e-05
2514.489502,2.33929e-05
2515.0,2.46761e-05
2516.0,2.70138e-05
2517.0,2.91587e-05
2517.641113,3.03122e-05
2518.0,3.09579e-05
2519.0,3.21119e-05
2520.0,3.2823e-05
2520.792725,3.26977e-05
2521.0,3.26648e-05
2522.0,3.17999e-05
2523.0,3.05409e-05
2523.944336,2.89608e-05
2524.0,2.88677e-05
2525.0,2.72576e-05
2526.0,2.5717e-05
2527.0,2.48475e-05
2527.095947,2.48239e-05
2528.0,2.4601e-05
2529.0,2.50135e-05
2530.0,2.71769e-05
2530.247559,2.79417e-05
2531.0,3.02659e-05
2532.0,3.46281e-05
2533.0,4.01183e-05
2533.39917,4.24487e-05
2534.0,4.59562e-05
2535.0,5.21166e-05
2536.0,5.79555e-05
2536.550781,6.09694e-05
2537.0,6.34272e-05
2538.0,6.78316e-05
2539.0,7.08121e-05
2539.702393,7.21618e-05
2540.0,7.27334e-05
2541.0,7.20736e-05
2542.0,7.03012e-05
2542.854004,6.79989e-05
2543.0,6.76052e-05
2544.0,6.42285e-05
2545.0,6.11521e-05
2546.0,5.84471e-05
2546.005615,5.84421e-05
2547.0,5.75652e-05
2548.0,5.80734e-05
2549.0,6.07763e-05
2549.157227,6.17851e-05
2550.0,6.71914e-05
2551.0,7.55937e-05
2552.0,8.71581e-05
2552.308838,9.12774e-05
2553.0,0.000100495
2554.0,0.000114695
2555.0,0.000129548
2555.460449,0.000136116
2556.0,0.000143811
2557.0,0.000157534
2558.0,0.000168691
2558.612061,0.000174139
2559.0,0.00017759
2560.0,0.000184304
2561.0,0.000186849
2561.763672,0.000188275
2562.0,0.000188715
2563.0,0.000189861
2564.0,0.000192899
2564.915283,0.000197561
2565.0,0.000197992
2566.0,0.000206943
2567.0,0.000222777
2568.0,0.000243407
2568.066895,0.000245441
2569.0,0.000273805
2570.0,0.000313971
2571.0,0.000360525
2571.218506,0.00037315
2572.0,0.000418292
2573.0,0.000481534
2574.0,0.000549075
2574.370117,0.0005765
2575.0,0.000623163
2576.0,0.000698953
2577.0,0.000776677
2577.521729,0.000817546
2578.0,0.000855
2579.0,0.000932989
2580.0,0.00101034
2580.67334,0.00106771
2581.0,0.00109553
2582.0,0.00118962
2583.0,0.00130299
2583.824951,0.00142251
2584.0,0.00144787
2585.0,0.0016153
2586.0,0.00183276
2586.976562,0.00209241
2587.0,0.00209864
2588.0,0.00240058
2589.0,0.00278926
2590.0,0.00322426
2590.128174,0.00328536
2591.0,0.00370085
2592.0,0.00423435
2593.0,0.00478059
2593.279785,0.00493771
2594.0,0.00534203
2595.0,0.00589977
2596.0,0.00644518
2596.431396,0.0066702
2597.0,0.00696667
2598.0,0.00743618
2599.0,0.00787085
2599.583008,0.0080852
2600.0,0.00823842
2601.0,0.00854877
2602.0,0.00882259
2602.734619,0.00897572
2603.0,0.00903098
2604.0,0.00919979
2605.0,0.00933834
2605.88623,0.00940986
2606.0,0.00941902
2607.0,0.00947428
2608.0,0.00950268
2609.0,0.00948994
2609.037842,0.00948887
2610.0,0.00946149
2611.0,0.0094128
2612.0,0.00934644
2612.189453,0.00933271
2613.0,0.00927386
2614.0,0.00919464
2615.0,0.00911731
2615.341064,0.00909209
2616.0,0.00904328
2617.0,0.00898083
2618.0,0.00893471
2618.492676,0.00891774
2619.0,0.00890021
2620.0,0.008891
2621.0,0.00889462
2621.644287,0.00890394
2622.0,0.00890903
2623.0,0.00894246
2624.0,0.00898262
2624.795898,0.00902121
2625.0,0.00903108
2626.0,0.00908886
2627.0,0.00914987
2627.94751,0.00921157
2628.0,0.00921498
2629.0,0.00928287
2630.0,0.00935246
2631.0,0.00942503
2631.099121,0.00943253
2632.0,0.00950053
2633.0,0.00957804
2634.0,0.00965976
2634.250732,0.00968106
2635.0,0.00974456
2636.0,0.00983176
2637.0,0.00992455
2637.402344,0.00996311
2638.0,0.0100202
2639.0,0.0101189
2640.0,0.0102225
2640.553955,0.0102809
2641.0,0.0103278
2642.0,0.0104355
2643.0,0.0105457
2643.705566,0.0106242
2644.0,0.0106568
2645.0,0.0107691
2646.0,0.010882
2646.857178,0.0109788
2647.0,0.0109949
2648.0,0.0111074
2649.0,0.0112187
2650.0,0.011329
2650.008789,0.0113299
2651.0,0.011436
2652.0,0.0115403
2653.0,0.0116423
2653.1604,0.0116577
2654.0,0.0117377
2655.0,0.0118294
2656.0,0.0119166
2656.312012,0.0119411
2657.0,0.011995
2658.0,0.0120689
2659.0,0.0121365
2659.463623,0.0121648
2660.0,0.0121972
2661.0,0.0122543
2662.0,0.0123061
2662.615234,0.0123354
2663.0,0.0123536
2664.0,0.0123985
2665.0,0.0124397
2665.766846,0.0124697
2666.0,0.0124788
2667.0,0.0125162
2668.0,0.0125509
2668.918457,0.0125806
2669.0,0.0125832
2670.0,0.0126131
2671.0,0.0126375
2672.0,0.0126584
2672.070068,0.0126596
2673.0,0.0126743
2674.0,0.0126816
2675.0,0.0126838
2675.22168,0.0126824
2676.0,0.0126775
2677.0,0.0126615
2678.0,0.0126402
2678.373291,0.0126293
2679.0,0.0126108
2680.0,0.0125777
2681.0,0.0125424
2681.524902,0.0125233
2682.0,0.0125058
2683.0,0.0124707
2684.0,0.0124369
2684.676514,0.0124187
2685.0,0.01241
2686.0,0.0123879
2687.0,0.0123718
2687.828125,0.0123661
2688.0,0.0123649
2689.0,0.0123608
2690.0,0.0123607
2690.979736,0.0123622
2691.0,0.0123622
2692.0,0.0123633
2693.0,0.0123628
2694.0,0.012358
2694.131348,0.0123569
2695.0,0.0123496
2696.0,0.0123326
2697.0,0.0123093
2697.282959,0.0123015
2698.0,0.0122815
2699.0,0.0122486
2700.0,0.012216
2700.43457,0.0122019
2701.0,0.0121833
2702.0,0.0121562
2703.0,0.0121341
2703.586182,0.012125
2704.0,0.0121185
2705.0,0.0121174
