Wavelength,Transmission
2501.299805,1.48991e-06
2501.399902,1.98729e-06
2501.5,2.48465e-06
2501.600098,2.98197e-06
2501.699951,3.47805e-06
2501.800049,3.97532e-06
2501.899902,4.47134e-06
2502.0,4.96854e-06
2502.099854,4.96135e-06
2502.199951,4.95415e-06
2502.300049,4.94694e-06
2502.399902,4.93975e-06
2502.5,4.93255e-06
2502.600098,4.92534e-06
2502.699951,4.91815e-06
2502.799805,4.91096e-06
2502.899902,4.90376e-06
2503.0,4.89655e-06
2503.100098,4.89306e-06
2503.200195,4.88957e-06
2503.300049,4.88609e-06
2503.399902,4.8826e-06
2503.5,4.87911e-06
2503.599854,4.87563e-06
2503.699951,4.87214e-06
2503.800049,4.86864e-06
2503.900146,4.86515e-06
2504.0,4.86166e-06
2504.100098,4.86542e-06
2504.199951,4.86918e-06
2504.299805,4.87293e-06
2504.399902,4.87668e-06
2504.5,4.88044e-06
2504.600098,4.8842e-06
2504.700195,4.88795e-06
2504.800049,4.8917e-06
2504.899902,4.89545e-06
2505.0,4.8992e-06
2505.100098,4.90837e-06
2505.199951,4.91752e-06
2505.300049,4.92669e-06
2505.399902,4.93584e-06
2505.5,4.945e-06
2505.600098,4.95417e-06
2505.699951,4.96331e-06
2505.800049,4.97248e-06
2505.899902,4.98162e-06
2506.0,4.99078e-06
2506.100098,5.01255e-06
2506.199951,5.03427e-06
2506.300049,5.05604e-06
2506.399902,5.07775e-06
2506.5,5.09952e-06
2506.600098,5.12128e-06
2506.699951,5.14299e-06
2506.800049,5.16475e-06
2506.899902,5.18645e-06
2507.0,5.20821e-06
2507.100098,5.24249e-06
2507.200195,5.27677e-06
2507.300049,5.31096e-06
2507.399902,5.34515e-06
2507.5,5.37942e-06
2507.599854,5.41361e-06
2507.699951,5.44787e-06
2507.800049,5.48213e-06
2507.900146,5.51639e-06
2508.0,5.55056e-06
2508.100098,5.59429e-06
2508.199951,5.63791e-06
2508.299805,5.68152e-06
2508.399902,5.72524e-06
2508.5,5.76895e-06
2508.600098,5.81266e-06
2508.700195,5.85636e-06
2508.800049,5.89996e-06
2508.899902,5.94355e-06
2509.0,5.98724e-06
2509.100098,6.0544e-06
2509.199951,6.12139e-06
2509.300049,6.18854e-06
2509.399902,6.25551e-06
2509.5,6.32265e-06
2509.600098,6.38978e-06
2509.699951,6.45673e-06
2509.800049,6.52385e-06
2509.899902,6.5908e-06
2510.0,6.6579e-06
2510.100098,6.74017e-06
2510.199951,6.82223e-06
2510.300049,6.90448e-06
2510.399902,6.98652e-06
2510.5,7.06876e-06
2510.600098,7.15099e-06
2510.699951,7.23301e-06
2510.800049,7.31523e-06
2510.899902,7.39723e-06
2511.0,7.47943e-06
2511.100098,7.57548e-06
2511.199951,7.67129e-06
2511.300049,7.76733e-06
2511.399902,7.86312e-06
2511.5,7.95914e-06
2511.600098,8.05514e-06
2511.699951,8.15091e-06
2511.800049,8.2469e-06
2511.899902,8.34264e-06
2512.0,8.43861e-06
2512.100098,8.55472e-06
2512.199951,8.67052e-06
2512.300049,8.7866e-06
2512.399902,8.90239e-06
2512.5,9.01845e-06
2512.600098,9.1345e-06
2512.699951,9.25025e-06
2512.800049,9.36627e-06
2512.899902,9.482e-06
2513.0,9.598e-06
2513.099854,9.71656e-06
2513.199951,9.8354e-06
2513.300049,9.95422e-06
2513.399902,1.00727e-05
2513.5,1.01915e-05
2513.600098,1.03103e-05
2513.699951,1.04288e-05
2513.799805,1.05473e-05
2513.899902,1.06661e-05
2514.0,1.07848e-05
2514.100098,1.09067e-05
2514.199951,1.10282e-05
2514.300049,1.11501e-05
2514.399902,1.12716e-05
2514.5,1.13934e-05
2514.600098,1.15152e-05
2514.699951,1.16367e-05
2514.800049,1.17585e-05
2514.899902,1.188e-05
2515.0,1.20018e-05
2515.100098,1.21149e-05
2515.199951,1.22278e-05
2515.300049,1.2341e-05
2515.399902,1.24538e-05
2515.5,1.25669e-05
2515.600098,1.268e-05
2515.699951,1.27929e-05
2515.800049,1.29059e-05
2515.899902,1.30187e-05
2516.0,1.31318e-05
2516.100098,1.32354e-05
2516.199951,1.33388e-05
2516.300049,1.34425e-05
2516.399902,1.35458e-05
2516.5,1.36494e-05
2516.600098,1.3753e-05
2516.699951,1.38563e-05
2516.800049,1.39599e-05
2516.899902,1.40632e-05
2517.0,1.41668e-05
2517.100098,1.42535e-05
2517.199951,1.434e-05
2517.300049,1.44267e-05
2517.399902,1.45131e-05
2517.5,1.45998e-05
2517.600098,1.46865e-05
2517.699951,1.4773e-05
2517.800049,1.48596e-05
2517.899902,1.4946e-05
2518.0,1.50327e-05
2518.100098,1.50879e-05
2518.199951,1.5143e-05
2518.299805,1.51981e-05
2518.399902,1.52534e-05
2518.5,1.53086e-05
2518.600098,1.53638e-05
2518.699951,1.54189e-05
2518.800049,1.54741e-05
2518.899902,1.55292e-05
2519.0,1.55844e-05
2519.100098,1.56181e-05
2519.199951,1.56517e-05
2519.300049,1.56853e-05
2519.399902,1.57189e-05
2519.5,1.57526e-05
2519.600098,1.57862e-05
2519.699951,1.58198e-05
2519.800049,1.58534e-05
2519.899902,1.58869e-05
2520.0,1.59206e-05
2520.100098,1.5912e-05
2520.199951,1.59034e-05
2520.300049,1.58948e-05
2520.399902,1.58863e-05
2520.5,1.58777e-05
2520.600098,1.58691e-05
2520.699951,1.58605e-05
2520.800049,1.58519e-05
2520.899902,1.58433e-05
2521.0,1.58347e-05
2521.100098,1.57919e-05
2521.200195,1.5749e-05
2521.300049,1.57062e-05
2521.399902,1.56635e-05
2521.5,1.56206e-05
2521.600098,1.55778e-05
2521.699951,1.5535e-05
2521.800049,1.54922e-05
2521.900146,1.54493e-05
2522.0,1.54066e-05
2522.100098,1.53446e-05
2522.199951,1.52828e-05
2522.299805,1.52211e-05
2522.399902,1.51591e-05
2522.5,1.50972e-05
2522.600098,1.50353e-05
2522.699951,1.49735e-05
2522.800049,1.49116e-05
2522.899902,1.48499e-05
2523.0,1.4788e-05
2523.100098,1.4706e-05
2523.199951,1.46242e-05
2523.300049,1.45423e-05
2523.399902,1.44606e-05
2523.5,1.43786e-05
2523.600098,1.42967e-05
2523.699951,1.4215e-05
2523.800049,1.41331e-05
2523.899902,1.40513e-05
2524.0,1.39695e-05
2524.100098,1.38906e-05
2524.199951,1.3812e-05
2524.300049,1.37332e-05
2524.399902,1.36547e-05
2524.5,1.35759e-05
2524.600098,1.34971e-05
2524.699951,1.34185e-05
2524.800049,1.33398e-05
2524.899902,1.32612e-05
