Wavelength,Transmission
2693.594238,5.57679e-06
2694.0,9.38239e-06
2694.239014,9.65484e-06
2694.885498,1.03913e-05
2695.0,1.05217e-05
2695.532227,1.12778e-05
2696.0,1.19419e-05
2696.17749,1.23028e-05
2696.822754,1.36144e-05
2697.0,1.39744e-05
2697.468506,1.53635e-05
2698.0,1.69383e-05
2698.115479,1.73777e-05
2698.761475,1.98343e-05
2699.0,2.07409e-05
2699.408936,2.27676e-05
2700.0,2.56951e-05
2700.055176,2.60197e-05
2700.70166,2.98216e-05
2701.0,3.1575e-05
2701.349609,3.37187e-05
2701.997559,3.76893e-05
2702.0,3.77042e-05
2702.644531,4.14683e-05
2703.0,4.3543e-05
2703.291504,4.49826e-05
2703.94165,4.81915e-05
2704.0,4.84794e-05
2704.588867,5.05721e-05
2705.0,5.20323e-05
2705.237793,5.24013e-05
2705.886719,5.34079e-05
2706.0,5.35835e-05
2706.534668,5.35837e-05
2707.0,5.35839e-05
2707.182373,5.33572e-05
2707.830566,5.25516e-05
2708.0,5.23411e-05
2708.480225,5.13245e-05
2709.0,5.02249e-05
2709.130127,4.99322e-05
2709.778564,4.84743e-05
2710.0,4.79767e-05
2710.427246,4.71545e-05
2711.0,4.6053e-05
2711.076172,4.59628e-05
2711.726562,4.51934e-05
2712.0,4.48701e-05
2712.377197,4.46251e-05
2713.0,4.42209e-05
2713.026611,4.4219e-05
2713.67749,4.4172e-05
2714.0,4.41487e-05
2714.328613,4.42496e-05
2714.978271,4.44488e-05
2715.0,4.44554e-05
2715.628174,4.47183e-05
2716.0,4.48739e-05
2716.28125,4.4995e-05
2716.931641,4.5275e-05
2717.0,4.53044e-05
2717.582031,4.55236e-05
2718.0,4.56809e-05
2718.233887,4.5791e-05
2718.88623,4.60981e-05
2719.0,4.61516e-05
2719.537109,4.65926e-05
2720.0,4.69725e-05
2720.187988,4.72279e-05
2720.839111,4.81124e-05
2721.0,4.83309e-05
2721.491943,4.93785e-05
2722.0,5.04597e-05
2722.14502,5.09218e-05
2722.796631,5.29972e-05
2723.0,5.36445e-05
2723.448486,5.5407e-05
2724.0,5.75731e-05
2724.100342,5.80045e-05
2724.755371,6.08198e-05
2725.0,6.18707e-05
2725.407715,6.35233e-05
2726.0,6.59226e-05
2726.061523,6.61284e-05
2726.714111,6.83099e-05
2727.0,6.92651e-05
2727.368408,6.99201e-05
2728.0,7.10423e-05
