Wavelength,Transmission
1640.0,5.3274e-07
1640.099976,5.33137e-07
1640.200073,5.34785e-07
1640.300049,5.36429e-07
1640.400146,5.38074e-07
1640.5,5.39714e-07
1640.599976,5.41354e-07
1640.700073,5.42995e-07
1640.799927,5.44631e-07
1640.900024,5.46269e-07
1641.0,5.47903e-07
1641.099976,5.49536e-07
1641.200073,5.5117e-07
1641.299927,5.52798e-07
1641.400024,5.54429e-07
1641.5,5.56056e-07
1641.599976,5.57682e-07
1641.700073,5.59309e-07
1641.800049,5.60932e-07
1641.900146,5.62556e-07
1642.0,5.64175e-07
1642.099976,5.65794e-07
1642.199951,5.67411e-07
1642.299927,5.69027e-07
1642.400024,5.70644e-07
1642.5,5.72257e-07
1642.599976,5.73869e-07
1642.700073,5.75481e-07
1642.800049,5.77091e-07
1642.900024,5.78698e-07
1643.0,5.80305e-07
1643.099976,5.8191e-07
1643.200073,5.83515e-07
1643.300049,5.85117e-07
1643.400024,5.86718e-07
1643.5,5.88317e-07
1643.599976,5.89915e-07
1643.699951,5.91511e-07
1643.799927,5.93106e-07
1643.899902,5.947e-07
1644.0,5.96295e-07
1644.099976,5.97885e-07
1644.200073,5.99477e-07
1644.300049,6.01065e-07
1644.400024,6.02651e-07
1644.5,6.04237e-07
1644.599976,6.05821e-07
1644.700073,6.07405e-07
1644.800049,6.08986e-07
1644.899902,6.10564e-07
1645.0,6.12145e-07
1645.099976,6.13722e-07
1645.200073,6.15299e-07
1645.299927,6.16872e-07
1645.399902,6.18445e-07
1645.5,6.20018e-07
1645.599976,6.21588e-07
1645.700073,6.23159e-07
1645.800049,6.24726e-07
1645.900024,6.26292e-07
1646.0,6.27857e-07
1646.000122,6.27859e-07
1646.099976,6.2942e-07
1646.200073,6.30984e-07
1646.299927,6.32542e-07
1646.399902,6.34101e-07
1646.5,6.35661e-07
1646.599976,6.37217e-07
1646.700073,6.38774e-07
1646.800049,6.40328e-07
1646.899902,6.41878e-07
1647.0,6.43431e-07
1647.099976,6.44981e-07
1647.200073,6.46531e-07
1647.300049,6.48077e-07
1647.400024,6.49623e-07
1647.5,6.51167e-07
1647.599976,6.52709e-07
1647.699951,6.54251e-07
1647.799927,6.55791e-07
1647.899902,6.5733e-07
1648.0,6.58869e-07
1648.099976,6.60405e-07
1648.200073,6.61941e-07
1648.300049,6.63474e-07
1648.400024,6.65006e-07
1648.5,6.66536e-07
1648.599976,6.68065e-07
1648.700073,6.69595e-07
1648.800049,6.71121e-07
1648.899902,6.72645e-07
1649.0,6.7417e-07
1649.099976,6.75693e-07
1649.200073,6.77215e-07
1649.299927,6.78733e-07
1649.399902,6.80251e-07
1649.5,6.8177e-07
