Wavelength,Transmission
1601.0,2.18459e-10
1602.0,2.38451e-10
1603.0,2.58446e-10
1603.674316,2.7193e-10
1604.0,2.7838e-10
1605.0,2.98185e-10
1606.0,3.17989e-10
1606.825928,3.34344e-10
1607.0,3.38306e-10
1608.0,3.61058e-10
1609.0,3.83811e-10
1609.977539,4.0605e-10
1610.0,4.06625e-10
1611.0,4.32278e-10
1612.0,4.57931e-10
1613.0,4.83583e-10
1613.12915,4.86897e-10
1614.0,5.11711e-10
1615.0,5.40191e-10
1616.0,5.68673e-10
1616.280762,5.76669e-10
1617.0,5.9911e-10
1618.0,6.30299e-10
1619.0,6.6148e-10
1619.432373,6.74959e-10
1620.0,6.93834e-10
1621.0,7.27183e-10
1622.0,7.60521e-10
1622.583984,7.79988e-10
1623.0,7.94416e-10
1624.0,8.29093e-10
1625.0,8.63764e-10
1625.735596,8.89255e-10
1626.0,8.98572e-10
1627.0,9.338e-10
1628.0,9.69008e-10
1628.887207,1.00021e-09
1629.0,1.00414e-09
1630.0,1.03898e-09
1631.0,1.07399e-09
1632.0,1.10896e-09
1632.038818,1.11032e-09
1633.0,1.14317e-09
1634.0,1.17733e-09
1635.0,1.21148e-09
1635.19043,1.21797e-09
1636.0,1.24507e-09
1637.0,1.27852e-09
1638.0,1.31196e-09
1638.342041,1.32338e-09
1639.0,1.34497e-09
1640.0,1.37774e-09
1641.0,1.41074e-09
1641.493652,1.42702e-09
1642.0,1.44349e-09
1643.0,1.47597e-09
1644.0,1.50845e-09
1644.645264,1.52937e-09
1645.0,1.54081e-09
1646.0,1.57306e-09
1647.0,1.60527e-09
1647.796875,1.63092e-09
1648.0,1.63744e-09
1649.0,1.66948e-09
1650.0,1.70148e-09
1650.948486,1.73213e-09
1651.0,1.73378e-09
1652.0,1.7659e-09
1653.0,1.798e-09
1654.0,1.83007e-09
1654.100098,1.83327e-09
1655.0,1.86208e-09
1656.0,1.89408e-09
1657.0,1.92603e-09
1657.251709,1.93406e-09
1658.0,1.95781e-09
1659.0,1.98953e-09
1660.0,2.0212e-09
1660.40332,2.0341e-09
1661.0,2.05285e-09
1662.0,2.08426e-09
1663.0,2.11562e-09
1663.554932,2.13301e-09
1664.0,2.14679e-09
1665.0,2.17772e-09
1666.0,2.20857e-09
1666.706543,2.23035e-09
1667.0,2.23926e-09
1668.0,2.26958e-09
1669.0,2.29983e-09
1669.858154,2.32576e-09
1670.0,2.32991e-09
1671.0,2.3595e-09
1672.0,2.38903e-09
1673.0,2.41797e-09
1673.009766,2.41824e-09
1674.0,2.44507e-09
1675.0,2.47221e-09
1676.0,2.49923e-09
1676.161377,2.50358e-09
1677.0,2.52551e-09
1678.0,2.55157e-09
1679.0,2.57755e-09
1679.312988,2.58565e-09
1680.0,2.60264e-09
1681.0,2.62768e-09
1682.0,2.65263e-09
1682.4646,2.66418e-09
1683.0,2.67702e-09
1684.0,2.70095e-09
1685.0,2.72474e-09
1685.616211,2.73938e-09
1686.0,2.74822e-09
1687.0,2.77109e-09
1688.0,2.79392e-09
1688.767822,2.81137e-09
1689.0,2.81644e-09
1690.0,2.83815e-09
1691.0,2.86014e-09
1691.919434,2.88026e-09
1692.0,2.88196e-09
1693.0,2.90402e-09
1694.0,2.92697e-09
1695.0,2.94986e-09
1695.071045,2.95147e-09
1696.0,2.97208e-09
1697.0,2.99407e-09
1698.0,3.01595e-09
1698.222656,3.02081e-09
1699.0,3.03732e-09
1700.0,3.05848e-09
1701.0,3.08077e-09
1701.374268,3.0891e-09
1702.0,3.10267e-09
1703.0,3.12425e-09
1704.0,3.14579e-09
1704.525879,3.15707e-09
1705.0,3.16706e-09
1706.0,3.18802e-09
