Wavelength,Transmission
1150.0,1.90898e-05
1150.210815,1.93629e-05
1150.486084,1.97635e-05
1150.762085,2.01653e-05
1151.037598,2.05663e-05
1151.31311,2.09673e-05
1151.588745,2.13685e-05
1151.865112,2.17707e-05
1152.140747,2.21719e-05
1152.417847,2.25752e-05
1152.693726,2.29768e-05
1152.969727,2.33785e-05
1153.246338,2.37811e-05
1153.523071,2.41839e-05
1153.799194,2.45858e-05
1154.075317,2.49877e-05
1154.352295,2.53908e-05
1154.62854,2.57929e-05
1154.905029,2.61954e-05
1155.182129,2.65987e-05
1155.459229,2.7002e-05
1155.73584,2.74046e-05
1156.013184,2.78083e-05
1156.289917,2.82111e-05
1156.567261,2.86147e-05
1156.844116,2.90177e-05
1157.121704,2.94217e-05
1157.399414,2.9826e-05
1157.677002,3.023e-05
1157.954224,3.06335e-05
1158.230713,3.10359e-05
1158.508667,3.14405e-05
1158.786621,3.1845e-05
1159.063965,3.22487e-05
1159.341431,3.26526e-05
1159.619629,3.30575e-05
1159.897827,3.34624e-05
1160.0,3.36217e-05
1160.176147,3.38875e-05
1160.22,3.39562e-05
1160.453857,3.43638e-05
1160.7323,3.485e-05
1161.010132,3.53364e-05
1161.288696,3.58253e-05
1161.3,3.58451e-05
1161.566772,3.63148e-05
1161.845459,3.68066e-05
1162.122925,3.72975e-05
1162.37,3.77355e-05
1162.401733,3.7792e-05
1162.680664,3.82879e-05
1162.959595,3.87851e-05
1163.238037,3.92827e-05
1163.45,3.96621e-05
1163.516479,3.97816e-05
1163.795654,4.02832e-05
1164.074829,4.0786e-05
1164.353516,4.12892e-05
1164.52,4.15901e-05
1164.632202,4.17936e-05
1164.911743,4.23009e-05
1165.191162,4.28092e-05
1165.470093,4.33179e-05
1165.6,4.35549e-05
1165.749146,4.3828e-05
1166.028809,4.43404e-05
1166.307983,4.48532e-05
1166.587769,4.53684e-05
1166.67,4.55198e-05
1166.867065,4.58841e-05
1167.146973,4.64024e-05
1167.427002,4.69221e-05
1167.706543,4.74422e-05
1167.75,4.7523e-05
1167.986694,4.79649e-05
1168.266968,4.84892e-05
1168.546631,4.90136e-05
