Wavelength,Transmission
1150.0,2.37349e-05
1160.0,4.7347e-05
1160.22,4.77996e-05
1161.3,5.03208e-05
1162.37,5.28881e-05
1163.45,5.55494e-05
1164.52,5.82571e-05
1165.6,6.10616e-05
1166.67,6.39114e-05
1167.75,6.68624e-05
1168.82,6.98607e-05
1169.9,7.29598e-05
1170.0,7.32509e-05
1170.97,7.64596e-05
1172.05,8.01101e-05
1173.12,8.38124e-05
1174.19,8.75987e-05
1175.27,9.15091e-05
1176.34,9.54717e-05
1177.42,9.95572e-05
1178.49,0.000103695
1179.57,0.000107964
1180.0,0.000109688
1180.64,0.000111839
1181.72,0.000115525
1182.79,0.000119237
1183.87,0.000123052
1184.94,0.000126899
1186.02,0.000130847
1187.09,0.000134825
1188.17,0.00013891
1189.24,0.000143024
1190.0,0.000145987
1190.32,0.000147236
1191.39,0.000151452
1192.47,0.000155762
1193.54,0.000160088
1194.61,0.000164469
1195.69,0.000168945
1196.76,0.000173438
1197.84,0.000178033
1198.91,0.000182637
1199.99,0.000187344
1200.0,0.000187388
1201.06,0.000192669
1202.14,0.000198109
1203.21,0.000203571
1204.29,0.000209143
1205.36,0.000214733
1206.44,0.000220445
1207.51,0.000226168
1208.59,0.000232011
1209.66,0.000237866
1210.0,0.000239741
1210.74,0.000243621
1211.81,0.000249288
1212.89,0.000255072
1213.96,0.000260865
1215.03,0.000266722
1216.11,0.000272703
1217.18,0.0002787
1218.26,0.000284811
1219.33,0.000290937
1220.0,0.000294809
1220.41,0.000295504
1221.48,0.000297321
1222.56,0.000299157
1223.63,0.000300986
1224.71,0.000302835
1225.78,0.000304671
1226.86,0.000306532
1227.93,0.00030838
1229.01,0.000310254
1230.0,0.000311976
1230.08,0.000312102
1231.16,0.000313807
1232.23,0.000315505
1233.3,0.000317205
1234.38,0.000318929
1235.45,0.000320632
1236.53,0.000322366
1237.6,0.000324079
1238.68,0.000325817
1239.75,0.000327546
1240.0,0.000327951
1240.83,0.000329164
1241.9,0.000330729
1242.98,0.00033231
1244.05,0.000333883
1245.13,0.000335471
1246.2,0.000337052
1247.28,0.000338647
1248.35,0.000340236
1249.43,0.00034184
1250.0,0.000342687
1250.5,0.00034335
1251.58,0.000344782
1252.65,0.000346207
1253.72,0.000347632
1254.8,0.000349074
1255.87,0.000350504
1256.95,0.000351952
1258.02,0.000353381
1259.1,0.000354834
1260.0,0.00035604
1260.17,0.000356237
1261.25,0.000357488
1262.32,0.000358726
1263.4,0.000359979
1264.47,0.00036122
1265.55,0.000362469
1266.62,0.000363712
1267.7,0.000364964
1268.77,0.000366209
1269.85,0.000367462
1270.0,0.000367636
1270.92,0.000368612
1272.0,0.000369754
1273.07,0.00037089
1274.14,0.000372024
1275.22,0.00037317
1276.29,0.000374304
1277.37,0.000375451
1278.44,0.000376586
1279.52,0.000377727
1280.0,0.000378234
1280.59,0.000378813
1281.67,0.000379874
1282.74,0.000380924
1283.82,0.000381984
1284.89,0.000383034
1285.97,0.000384088
1287.04,0.000385137
1288.12,0.000386191
1289.19,0.000387234
1290.0,0.000388024
1290.27,0.000388278
1291.34,0.000389286
1292.42,0.000390303
1293.49,0.00039131
1294.56,0.000392313
1295.64,0.00039332
1296.71,0.000394322
1297.79,0.000395334
1298.86,0.000396329
1299.94,0.000397335
1300.0,0.00039739
1301.01,0.000398402
1302.09,0.000399486
1303.16,0.000400558
1304.24,0.000401641
1305.31,0.000402708
1306.39,0.000403791
1307.46,0.000404858
1308.54,0.000405935
