Wavelength,Transmission
1640.0,7.53375e-06
1640.099976,7.54011e-06
1640.200073,7.56415e-06
1640.300049,7.58814e-06
1640.400146,7.61215e-06
1640.5,7.63609e-06
1640.599976,7.66004e-06
1640.630005,7.66723e-06
1640.700073,7.68401e-06
1640.799927,7.7079e-06
1640.900024,7.73183e-06
1641.0,7.75573e-06
1641.099976,7.7796e-06
1641.200073,7.80349e-06
1641.299927,7.82731e-06
1641.400024,7.85117e-06
1641.5,7.87498e-06
1641.599976,7.89878e-06
1641.699951,7.92257e-06
1641.700073,7.92259e-06
1641.800049,7.94635e-06
1641.900146,7.97012e-06
1642.0,7.99382e-06
1642.099976,8.01753e-06
1642.199951,8.04122e-06
1642.299927,8.0649e-06
1642.400024,8.0886e-06
1642.5,8.11225e-06
1642.599976,8.13588e-06
1642.700073,8.15953e-06
1642.780029,8.17841e-06
1642.800049,8.18313e-06
1642.900024,8.20672e-06
1643.0,8.2303e-06
1643.099976,8.25386e-06
1643.200073,8.27744e-06
1643.300049,8.30097e-06
1643.400024,8.32448e-06
1643.5,8.34798e-06
1643.599976,8.37147e-06
1643.699951,8.39494e-06
1643.799927,8.41839e-06
1643.849976,8.43013e-06
1643.899902,8.44183e-06
1644.0,8.46527e-06
1644.099976,8.48866e-06
1644.200073,8.51207e-06
1644.300049,8.53544e-06
1644.400024,8.55879e-06
1644.5,8.58213e-06
1644.599976,8.60544e-06
1644.700073,8.62878e-06
1644.800049,8.65207e-06
1644.899902,8.67532e-06
1644.930054,8.68233e-06
1645.0,8.6986e-06
1645.099976,8.72185e-06
1645.200073,8.7451e-06
1645.299927,8.76828e-06
1645.399902,8.79148e-06
1645.5,8.81469e-06
1645.599976,8.83786e-06
1645.700073,8.86104e-06
1645.800049,8.88418e-06
1645.900024,8.9073e-06
1646.0,8.93041e-06
1646.000122,8.93043e-06
1646.099976,8.95349e-06
1646.200073,8.9766e-06
1646.299927,8.99963e-06
1646.399902,9.02268e-06
1646.5,9.04573e-06
1646.599976,9.06875e-06
1646.700073,9.09178e-06
1646.800049,9.11476e-06
1646.899902,9.13771e-06
1647.0,9.16069e-06
1647.079956,9.17904e-06
1647.099976,9.18363e-06
1647.200073,9.20657e-06
1647.300049,9.22947e-06
1647.400024,9.25236e-06
1647.5,9.27523e-06
1647.599976,9.29809e-06
1647.699951,9.32093e-06
1647.799927,9.34376e-06
1647.899902,9.36657e-06
1648.0,9.38939e-06
1648.099976,9.41218e-06
1648.150024,9.42357e-06
1648.200073,9.43497e-06
1648.300049,9.45771e-06
1648.400024,9.48044e-06
1648.5,9.50316e-06
1648.599976,9.52586e-06
1648.700073,9.54857e-06
1648.800049,9.57124e-06
1648.899902,9.59387e-06
1649.0,9.61654e-06
1649.099976,9.63916e-06
1649.200073,9.6618e-06
1649.22998,9.66856e-06
1649.299927,9.68437e-06
1649.399902,9.70695e-06
1649.5,9.72954e-06
1649.599976,9.75208e-06
1649.700073,9.77465e-06
1649.800049,9.79717e-06
1649.900024,9.81967e-06
1650.0,9.84216e-06
1650.000122,9.84219e-06
1650.099976,9.86464e-06
