Wavelength,Transmission
1150.0,5.80057e-08
1150.552246,6.243e-08
1151.723877,7.28955e-08
1152.895508,8.39607e-08
1154.067017,9.47251e-08
1155.238647,1.04325e-07
1156.410278,1.12581e-07
1157.581787,1.19868e-07
1158.753418,1.26584e-07
1159.925049,1.3313e-07
1160.0,1.33571e-07
1160.22,1.34825e-07
1161.09668,1.4151e-07
1161.3,1.43112e-07
1162.268188,1.50904e-07
1162.37,1.51737e-07
1163.439819,1.60692e-07
1163.45,1.60778e-07
1164.52,1.69919e-07
1164.61145,1.70717e-07
1165.6,1.79251e-07
1165.782959,1.80864e-07
1166.67,1.8856e-07
1166.95459,1.91076e-07
1167.75,1.98013e-07
1168.126221,2.01357e-07
1168.82,2.07448e-07
1169.297729,2.11717e-07
1169.9,2.1715e-07
1170.0,2.18062e-07
1170.46936,2.22169e-07
1170.97,2.26637e-07
1171.640991,2.32723e-07
1172.05,2.36408e-07
1172.812622,2.43393e-07
1173.12,2.46194e-07
1173.984131,2.54193e-07
1174.19,2.56092e-07
1175.155762,2.65133e-07
1175.27,2.66201e-07
1176.327393,2.76232e-07
1176.34,2.76352e-07
1177.42,2.86723e-07
1177.498901,2.87491e-07
1178.49,2.97139e-07
1178.670532,2.98925e-07
1179.57,3.07839e-07
1179.842163,3.10567e-07
1180.0,3.12242e-07
1180.64,3.18627e-07
1181.013672,3.224e-07
1181.72,3.29635e-07
1182.185303,3.34466e-07
1182.79,3.40779e-07
1183.356934,3.46771e-07
1183.87,3.52231e-07
1184.528564,3.59334e-07
1184.94,3.63805e-07
1185.700073,3.72167e-07
1186.02,3.75711e-07
1186.871704,3.85269e-07
1187.09,3.87728e-07
1188.043335,3.9859e-07
1188.17,4.00033e-07
1189.214844,4.12086e-07
1189.24,4.12386e-07
1190.0,4.21528e-07
1190.32,4.24979e-07
1190.386475,4.25699e-07
1191.39,4.37403e-07
1191.558105,4.39383e-07
1192.47,4.50012e-07
1192.729614,4.53072e-07
1193.54,4.62481e-07
1193.901245,4.66712e-07
1194.61,4.74861e-07
1195.072876,4.80249e-07
1195.69,4.87321e-07
1196.244507,4.93722e-07
1196.76,4.99613e-07
1197.416016,5.07199e-07
1197.84,5.12083e-07
1198.587646,5.20754e-07
1198.91,5.24501e-07
1199.759277,5.34472e-07
1199.99,5.37248e-07
1200.0,5.37369e-07
1200.930786,5.46753e-07
1201.06,5.4808e-07
1202.102417,5.58851e-07
1202.14,5.59247e-07
1203.21,5.70611e-07
1203.274048,5.71295e-07
1204.29,5.82409e-07
1204.445557,5.84123e-07
1205.36,5.94428e-07
1205.617188,5.97344e-07
1206.44,6.06868e-07
1206.788818,6.10935e-07
1207.51,6.19507e-07
1207.960449,6.24894e-07
1208.59,6.32557e-07
1209.131958,6.39204e-07
1209.66,6.45774e-07
1210.0,6.50024e-07
1210.303589,6.53856e-07
1210.74,6.5941e-07
1211.47522,6.68839e-07
1211.81,6.7319e-07
1212.646729,6.84134e-07
1212.89,6.87355e-07
1213.818359,6.99738e-07
1213.96,7.01649e-07
1214.98999,7.15612e-07
1215.03,7.1616e-07
1216.11,7.31056e-07
1216.161499,7.31772e-07
1217.18,7.46042e-07
1217.33313,7.482e-07
1218.26,7.61364e-07
1218.504761,7.64866e-07
1219.33,7.76746e-07
1219.676392,7.81763e-07
1220.0,7.86502e-07
1220.41,7.92464e-07
1220.8479,7.98865e-07
1221.48,8.08172e-07
1222.019531,8.16163e-07
1222.56,8.24192e-07
1223.191162,8.33635e-07
1223.63,8.40213e-07
1224.362671,8.5126e-07
1224.71,8.56501e-07
1225.534302,8.69027e-07
1225.78,8.72759e-07
1226.705933,8.86905e-07
1226.86,8.89256e-07
1227.877441,9.04887e-07
1227.93,9.05692e-07
1229.01,9.22332e-07
1229.049072,9.22938e-07
1230.0,9.37714e-07
1230.08,9.38924e-07
1230.220703,9.41054e-07
1231.16,9.55581e-07
1231.392334,9.5919e-07
1232.23,9.72134e-07
1232.563843,9.7733e-07
1233.3,9.88712e-07
1233.735474,9.95477e-07
1234.38,1.00541e-06
1234.907104,1.01359e-06
1235.45,1.02193e-06
1236.078613,1.03164e-06
1236.53,1.03854e-06
1237.250244,1.04962e-06
1237.6,1.05493e-06
1238.421875,1.06748e-06
1238.68,1.07137e-06
1239.593384,1.08522e-06
1239.75,1.08762e-06
1240.0,1.09146e-06
1240.765015,1.10279e-06
1240.83,1.10375e-06
1241.9,1.11964e-06
1241.936646,1.12018e-06
1242.98,1.13547e-06
1243.108154,1.13736e-06
1244.05,1.15097e-06
1244.279785,1.15431e-06
1245.13,1.16639e-06
1245.451416,1.17098e-06
1246.2,1.18144e-06
1246.623047,1.18737e-06
1247.28,1.19638e-06
1247.794556,1.20346e-06
1248.35,1.21095e-06
1248.966187,1.21927e-06
1249.43,1.22543e-06
1250.0,1.23301e-06
1250.137817,1.23471e-06
1250.5,1.23926e-06
1251.309326,1.24947e-06
1251.58,1.25281e-06
1252.480957,1.26391e-06
1252.65,1.26595e-06
1253.652588,1.27808e-06
1253.72,1.27887e-06
1254.8,1.29165e-06
1254.824219,1.29194e-06
1255.87,1.30406e-06
1255.995728,1.30552e-06
1256.95,1.31633e-06
1257.167358,1.3188e-06
1258.02,1.32827e-06
1258.338989,1.33181e-06
1259.1,1.34006e-06
1259.510498,1.34453e-06
1260.0,1.34987e-06
1260.17,1.35164e-06
1260.682129,1.35697e-06
1261.25,1.36286e-06
1261.85376,1.36914e-06
1262.32,1.37387e-06
1263.025269,1.38104e-06
1263.4,1.38475e-06
1264.196899,1.39267e-06
1264.47,1.39532e-06
1265.36853,1.40404e-06
1265.55,1.40575e-06
1266.540039,1.41512e-06
1266.62,1.41586e-06
1267.7,1.4259e-06
1267.71167,1.426e-06
1268.77,1.43556e-06
1268.883301,1.43659e-06
1269.85,1.44515e-06
1270.0,1.44649e-06
1270.054932,1.44695e-06
1270.92,1.45444e-06
1271.22644,1.45709e-06
1272.0,1.46362e-06
1272.398071,1.46698e-06
1273.07,1.47253e-06
1273.569702,1.47666e-06
1274.14,1.48127e-06
1274.741211,1.48612e-06
