Wavelength,Transmission
1451.194946,2.58973e-05
1451.543091,7.21634e-05
1451.890625,0.000118371
1452.0,0.000132918
1452.238159,0.000194374
1452.58667,0.000284343
1452.935181,0.000374356
1453.0,0.000391103
1453.282959,0.000469808
1453.630859,0.00056662
1453.980469,0.000663955
1454.0,0.000669394
1454.327637,0.000759659
1454.676636,0.000855854
1455.0,0.000945025
1455.02478,0.000951765
1455.373901,0.00104675
1455.72229,0.00114158
1456.0,0.0012172
1456.071655,0.00123639
1456.421021,0.00132996
1456.770386,0.00142358
1457.0,0.00148513
1457.119141,0.00151644
1457.467896,0.0016081
1457.816895,0.00169987
1458.0,0.00174803
1458.16748,0.00179106
1458.515625,0.00188054
1458.865601,0.00197054
1459.0,0.00200511
1459.214844,0.00205889
1459.564941,0.00214656
1459.915161,0.0022343
1460.0,0.00225556
1460.264648,0.0023198
1460.61499,0.00240487
1460.964722,0.00248984
1461.0,0.00249841
1461.315186,0.00257232
1461.665039,0.00265439
1462.0,0.002733
1462.015747,0.00273655
1462.366455,0.00281561
1462.716553,0.00289458
1463.0,0.00295853
1463.066772,0.00297292
1463.417725,0.00304858
1463.768066,0.00312415
1464.0,0.00317419
1464.11853,0.00319848
1464.469727,0.00327045
1464.821167,0.00334251
1465.0,0.00337919
1465.171753,0.00341243
1465.522583,0.00348035
1465.874146,0.00354844
1466.0,0.00357283
1466.225098,0.00361374
1466.577637,0.00367785
1466.928711,0.00374171
1467.0,0.00375468
1467.279907,0.00380239
1467.631104,0.00386226
1467.983276,0.00392233
1468.0,0.00392519
1468.334717,0.0039787
1468.687744,0.00403516
1469.0,0.00408512
1469.039307,0.004091
1469.390991,0.00414364
1469.74353,0.00419643
1470.0,0.00423483
1470.096191,0.00424825
1470.44812,0.00429731
1470.800171,0.0043464
1471.0,0.00437428
1471.153076,0.00439417
1471.505249,0.00443994
1471.857422,0.00448572
1472.0,0.00450426
1472.209839,0.00452963
1472.563843,0.00457244
1472.916382,0.00461508
1473.0,0.0046252
1473.269775,0.00465548
1473.622437,0.00469508
1473.975952,0.00473479
1474.0,0.00473749
1474.328857,0.00477169
1474.682617,0.00480849
1475.0,0.00484152
1475.036377,0.00484501
1475.390259,0.00487904
1475.742676,0.00491293
1476.0,0.00493769
1476.095947,0.0049462
1476.450928,0.00497769
1476.804321,0.00500904
1477.0,0.00502641
1477.157837,0.00503929
1477.511475,0.00506817
1477.865967,0.00509712
1478.0,0.00510808
1478.220581,0.00512461
1478.574463,0.00515115
1478.929199,0.00517776
1479.0,0.00518308
1479.284058,0.0052026
1479.638184,0.00522694
1479.99231,0.00525129
1480.0,0.00525181
1480.34668,0.0052733
1480.701782,0.00529531
1481.0,0.00531379
1481.057129,0.00531702
1481.411621,0.00533705
1481.76709,0.00535714
1482.0,0.0053703
1482.122559,0.0053766
1482.477417,0.00539486
1482.832275,0.00541311
1483.0,0.00542174
1483.18811,0.00543052
1483.543945,0.00544714
1483.899048,0.00546372
1484.0,0.00546844
1484.254272,0.0054792
1484.609619,0.00549424
1484.966675,0.00550935
1485.0,0.00551076
1485.322144,0.00552317
1485.677612,0.00553687
1486.0,0.0055493
1486.034058,0.00555049
1486.389893,0.00556301
1486.74646,0.00557556
1487.0,0.00558448
1487.102417,0.00558778
1487.459229,0.00559928
1487.81604,0.00561078
1488.0,0.00561672
1488.172241,0.00562184
1488.529297,0.00563247
1488.886475,0.0056431
1489.0,0.00564648
1489.24292,0.00565323
1489.599365,0.00566313
1489.955933,0.00567304
1490.0,0.00567425
1490.313477,0.00568207
1490.670166,0.00569096
1491.0,0.00569919
1491.026978,0.00569983
1491.384766,0.00570828
1491.742554,0.00571674
1492.0,0.00572282
1492.100586,0.00572511
1492.457764,0.00573323
1492.815796,0.00574137
1493.0,0.00574556
1493.173218,0.00574941
1493.531372,0.00575737
1493.888916,0.00576531
1494.0,0.00576778
1494.247437,0.0057732
1494.605103,0.00578103
1494.962891,0.00578887
1495.0,0.00578969
1495.321533,0.00579663
1495.680298,0.00580438
1496.0,0.00581129
1496.03833,0.00581211
1496.396484,0.00581975
1496.755493,0.0058274
1497.0,0.00583262
1497.114624,0.00583503
1497.472168,0.00584256
1497.830688,0.0058501
1498.0,0.00585367
1498.190918,0.00585763
1498.549561,0.00586507
1498.909912,0.00587255
1499.0,0.00587443
1499.267944,0.00587991
1499.627563,0.00588728
1499.986572,0.00589464
1500.0,0.00589492
1500.346436,0.00590209
1500.706421,0.00590954
1501.0,0.00591562
1501.066528,0.00591698
1501.425903,0.00592432
1501.785278,0.00593167
1502.0,0.00593606
1502.14563,0.005939
1502.505249,0.00594625
1502.864868,0.0059535
1503.0,0.00595622
1503.224609,0.0059607
1503.585327,0.00596788
1503.946045,0.00597506
1504.0,0.00597614
1504.306152,0.00598215
1504.66626,0.00598923
1505.0,0.00599579
1505.028076,0.00599633
1505.388306,0.00600332
1505.749512,0.00601034
1506.0,0.0060152
1506.109985,0.00601731
