Wavelength,Transmission
1601.0,0.000176523
1602.0,0.000192763
1603.0,0.000209024
1603.674316,0.000220001
1604.0,0.000225255
1605.0,0.000241403
1606.0,0.000257572
1606.825928,0.000270943
1607.0,0.000274179
1608.0,0.00029279
1609.0,0.000311426
1609.977539,0.000329668
1610.0,0.00033014
1611.0,0.000351194
1612.0,0.000372284
1613.0,0.000393408
1613.12915,0.000396139
1614.0,0.00041658
1615.0,0.000440089
1616.0,0.000463639
1616.280762,0.000470258
1617.0,0.000488827
1618.0,0.000514683
1619.0,0.000540584
1619.432373,0.000551797
1620.0,0.000567495
1621.0,0.000595275
1622.0,0.000623112
1622.583984,0.000639395
1623.0,0.000651465
1624.0,0.000680521
1625.0,0.000709637
1625.735596,0.000731094
1626.0,0.00073894
1627.0,0.000768655
1628.0,0.000798423
1628.887207,0.000824874
1629.0,0.000828211
1630.0,0.000857831
1631.0,0.000887656
1632.0,0.000917549
1632.038818,0.000918711
1633.0,0.000946878
1634.0,0.000976249
1635.0,0.00100569
1635.19043,0.0010113
1636.0,0.00103476
1637.0,0.00106379
1638.0,0.0010929
1638.342041,0.00110286
1639.0,0.00112173
1640.0,0.00115047
1641.0,0.00117948
1641.493652,0.00119382
1642.0,0.00120836
1643.0,0.00123712
1644.0,0.00126596
1644.645264,0.00128461
1645.0,0.00129482
1646.0,0.00132366
1647.0,0.00135257
1647.796875,0.00137566
1648.0,0.00138154
1649.0,0.0014105
1650.0,0.00143954
1650.948486,0.00146742
1651.0,0.00146893
1652.0,0.00149826
1653.0,0.00152769
1654.0,0.0015572
1654.100098,0.00156016
1655.0,0.00158678
1656.0,0.00161644
1657.0,0.00164618
1657.251709,0.00165368
1658.0,0.0016759
1659.0,0.00170566
1660.0,0.0017355
1660.40332,0.00174769
1661.0,0.00176545
1662.0,0.00179529
1663.0,0.00182522
1663.554932,0.00184187
1664.0,0.0018551
1665.0,0.00188488
1666.0,0.00191475
1666.706543,0.0019359
1667.0,0.00194458
1668.0,0.00197421
1669.0,0.00200392
1669.858154,0.00202948
1670.0,0.00203359
1671.0,0.00206297
1672.0,0.00209243
1673.0,0.00212147
1673.009766,0.00212174
1674.0,0.00214905
1675.0,0.00217676
1676.0,0.00220452
1676.161377,0.00220901
1677.0,0.00223174
1678.0,0.00225888
1679.0,0.00228608
1679.312988,0.00229459
1680.0,0.00231263
1681.0,0.00233925
1682.0,0.00236591
1682.4646,0.00237832
1683.0,0.00239221
1684.0,0.0024182
1685.0,0.00244423
1685.616211,0.00246029
1686.0,0.00247005
1687.0,0.00249552
1688.0,0.00252102
1688.767822,0.00254063
1689.0,0.00254638
1690.0,0.00257117
1691.0,0.0025963
1691.919434,0.00261945
1692.0,0.00262142
1693.0,0.00264687
1694.0,0.00267328
1695.0,0.00269975
1695.071045,0.00270163
1696.0,0.00272578
1697.0,0.00275169
1698.0,0.00277767
1698.222656,0.00278346
1699.0,0.00280329
1700.0,0.00282884
1701.0,0.0028556
1701.374268,0.00286563
1702.0,0.00288211
1703.0,0.00290849
1704.0,0.00293494
1704.525879,0.00294887
1705.0,0.00296129
1706.0,0.0029875
1707.0,0.00301378
1707.67749,0.00303162
1708.0,0.00303999
1709.0,0.00306599
1710.0,0.00309205
1710.829102,0.00311392
1711.0,0.00311835
1712.0,0.00314428
1713.0,0.00317028
1713.980713,0.00319582
1714.0,0.00319631
1715.0,0.00322212
1716.0,0.00324798
1717.0,0.00327388
1717.132324,0.00327731
1718.0,0.00329958
1719.0,0.00332529
1720.0,0.00335104
1720.283936,0.00335841
1721.0,0.00337673
1722.0,0.00340233
1723.0,0.00342797
1723.435547,0.00343914
1724.0,0.00345351
1725.0,0.00347899
1726.0,0.0035045
1726.587158,0.00351948
1727.0,0.00352995
1728.0,0.00355531
1729.0,0.00358069
1729.73877,0.00359945
1730.0,0.00360601
1731.0,0.00363126
1732.0,0.00365654
1732.890381,0.00367906
1733.0,0.00368182
1734.0,0.00370695
1735.0,0.00373209
1736.0,0.00375726
1736.041992,0.00375831
1737.0,0.00378229
1738.0,0.00380733
1739.0,0.00383239
1739.193604,0.00383724
1740.0,0.00385728
1741.0,0.00388227
1742.0,0.00390727
1742.345215,0.0039159
1743.0,0.00393219
1744.0,0.00395708
1745.0,0.00398198
1745.496826,0.00399434
1746.0,0.00400684
1747.0,0.00403168
1748.0,0.00405653
1748.648438,0.00407264
1749.0,0.00408134
1750.0,0.00410609
1751.0,0.00413094
1751.800049,0.00415083
1752.0,0.00415579
1753.0,0.00418058
1754.0,0.00420538
1754.951538,0.00422899
1755.0,0.0042302
1756.0,0.00425497
1757.0,0.00427976
1758.0,0.00430456
1758.103149,0.00430712
1759.0,0.00432929
1760.0,0.00435403
1761.0,0.00437883
1761.254761,0.00438515
1762.0,0.00440356
1763.0,0.00442827
1764.0,0.00445299
1764.406372,0.00446304
1765.0,0.00447767
1766.0,0.00450231
1767.0,0.00452697
1767.557983,0.00454073
1768.0,0.00455158
1769.0,0.00457613
1770.0,0.00460069
1770.709595,0.00461816
1771.0,0.00462527
1772.0,0.00464974
1773.0,0.00467421
1773.861206,0.0046953
1774.0,0.00469868
1775.0,0.00472303
1776.0,0.00474739
1777.0,0.00477176
1777.012817,0.00477207
1778.0,0.00479597
1779.0,0.00482019
1780.0,0.00484443
1780.164429,0.00484842
1781.0,0.00486854
1782.0,0.00489261
1783.0,0.00491671
1783.31604,0.00492432
1784.0,0.00494068
1785.0,0.00496459
1786.0,0.00498853
1786.467651,0.00499972
1787.0,0.00501236
1788.0,0.0050361
1789.0,0.00505987
1789.619263,0.00507458
1790.0,0.00508353
1791.0,0.00510709
1792.0,0.00513067
1792.770874,0.00514886
1793.0,0.00515422
1794.0,0.00517758
1795.0,0.00520097
1795.922485,0.00522255
1796.0,0.00522435
1797.0,0.00524754
1798.0,0.00527075
1799.0,0.00529398
1799.074097,0.0052957
1800.0,0.00531697
1801.0,0.00533794
1802.0,0.00535892
1802.225708,0.00536366
1803.0,0.00537972
1804.0,0.00540046
1805.0,0.00542121
1805.377319,0.00542904
1806.0,0.00544183
1807.0,0.00546236
1808.0,0.00548291
1808.528931,0.00549378
1809.0,0.00550335
1810.0,0.00552366
1811.0,0.00554403
1811.680542,0.0055579
1812.0,0.00556434
1813.0,0.0055845
1814.0,0.00560466
1814.832153,0.00562139
1815.0,0.00562473
1816.0,0.00564459
1817.0,0.00566447
1817.983765,0.00568407
1818.0,0.00568439
1819.0,0.00570415
1820.0,0.00572391
1821.0,0.00574375
1821.135376,0.00574644
1822.0,0.0057634
1823.0,0.00578303
1824.0,0.00580268
1824.286987,0.00580833
1825.0,0.00582221
1826.0,0.0058417
1827.0,0.00586122
1827.438599,0.00586979
1828.0,0.00588064
1829.0,0.00589999
1830.0,0.00591937
1830.59021,0.00593085
1831.0,0.00593873
1832.0,0.00595796
1833.0,0.00597724
1833.741821,0.00599155
1834.0,0.00599649
1835.0,0.00601563
1836.0,0.00603479
1836.893433,0.00605193
1837.0,0.00605396
1838.0,0.00607298
1839.0,0.00609204
1840.0,0.00611112
1840.045044,0.00611198
1841.0,0.00613005
1842.0,0.006149
1843.0,0.00616798
1843.196655,0.00617171
1844.0,0.00618683
1845.0,0.00620568
1846.0,0.00622455
1846.348267,0.00623113
1847.0,0.00624333
1848.0,0.00626208
1849.0,0.00628085
1849.499878,0.00629025
1850.0,0.00629955
1851.0,0.0063182
1852.0,0.00633687
1852.651489,0.00634906
1853.0,0.00635552
1854.0,0.00637407
1855.0,0.00639265
1855.803101,0.00640759
1856.0,0.00641122
1857.0,0.00642967
1858.0,0.00644815
1858.954712,0.00646582
1859.0,0.00646665
1860.0,0.00648498
1861.0,0.00650338
1862.0,0.00652182
1862.106323,0.00652378
1863.0,0.00654011
1864.0,0.0065584
1865.0,0.00657673
1865.257935,0.00658146
1866.0,0.00659495
1867.0,0.00661316
1868.0,0.00663139
1868.409546,0.00663887
1869.0,0.00664954
