Wavelength,Transmission
1452.0,7.17034e-05
1453.0,0.000210773
1454.0,0.000360391
1455.0,0.000508281
1456.0,0.000654022
1457.0,0.000797192
1458.0,0.000937378
1459.0,0.00107417
1460.0,0.00120714
1461.0,0.00133569
1462.0,0.00145956
1463.0,0.00157833
1464.0,0.0016916
1465.0,0.00179894
1466.0,0.00190001
1467.0,0.00199461
1468.0,0.00208298
1469.0,0.00216556
1470.0,0.00224255
1471.0,0.00231408
1472.0,0.00238046
1473.0,0.00244193
1474.0,0.00249871
1475.0,0.00255103
1476.0,0.0025991
1477.0,0.00264315
1478.0,0.00268341
1479.0,0.00272008
1480.0,0.0027534
1481.0,0.00278361
1482.0,0.00281092
1483.0,0.00283552
1484.0,0.00285761
1485.0,0.00287737
1486.0,0.00289512
1487.0,0.00291109
1488.0,0.00292549
1489.0,0.00293858
1490.0,0.00295062
1491.0,0.00296134
1492.0,0.00297137
1493.0,0.00298093
1494.0,0.00299019
1495.0,0.00299927
1496.0,0.00300818
1497.0,0.00301693
1498.0,0.00302551
1499.0,0.00303393
1500.0,0.0030422
1501.0,0.00305394
1502.0,0.00306554
1503.0,0.003077
1504.0,0.00308833
1505.0,0.00309952
1506.0,0.00311058
1507.0,0.00312151
1508.0,0.00313231
1509.0,0.00314299
1510.0,0.00315355
1511.0,0.00316387
1512.0,0.00317407
1513.0,0.00318415
1514.0,0.00319411
1515.0,0.00320396
1516.0,0.00321368
1517.0,0.0032233
1518.0,0.0032328
1519.0,0.00324218
1520.0,0.00325146
1521.0,0.00326263
1522.0,0.00327371
1523.0,0.00328468
1524.0,0.00329556
1525.0,0.00330634
1526.0,0.00331703
1527.0,0.00332762
1528.0,0.00333812
1529.0,0.00334854
1530.0,0.00335886
1531.0,0.00336917
1532.0,0.00337938
1533.0,0.00338952
1534.0,0.00339958
1535.0,0.0034094
1536.0,0.00341867
1537.0,0.00342779
1538.0,0.00343684
1539.0,0.0034458
1540.0,0.0034547
1541.0,0.00345027
1542.0,0.00344576
1543.0,0.00344117
1544.0,0.0034365
1545.0,0.00343175
1546.0,0.00342693
1547.0,0.00342204
1548.0,0.00341709
1549.0,0.00341206
1550.0,0.00340698
1551.0,0.00342971
1552.0,0.00345238
1553.0,0.00347503
1554.0,0.00349762
1555.0,0.00352018
1556.0,0.0035427
1557.0,0.00356518
1558.0,0.00358763
1559.0,0.00361004
1560.0,0.00363242
1561.0,0.00364131
1562.0,0.00365018
1563.0,0.00365901
1564.0,0.00366782
1565.0,0.0036766
1566.0,0.00368535
1567.0,0.00369408
1568.0,0.0037028
1569.0,0.00371149
1570.0,0.00372017
1571.0,0.00372919
1572.0,0.00373821
1573.0,0.00374721
1574.0,0.00375621
1575.0,0.00376521
1576.0,0.0037742
1577.0,0.00378319
1578.0,0.00379219
1579.0,0.00380118
1580.0,0.00381019
1581.0,0.00380339
1582.0,0.0037969
1583.0,0.00379064
1584.0,0.00378438
1585.0,0.00377814
1586.0,0.00377191
1587.0,0.00376568
1588.0,0.00375949
1589.0,0.0037533
1590.0,0.00374713
1591.0,0.00374145
1592.0,0.0037358
1593.0,0.00373016
1594.0,0.00372456
1595.0,0.00371898
1596.0,0.00371343
1597.0,0.00370791
1598.0,0.00370243
1599.0,0.00369697
1600.0,0.00369155
1601.0,0.00369971
1602.0,0.00370792
1603.0,0.00371617
1604.0,0.00372447
1605.0,0.00373281
1606.0,0.0037412
1607.0,0.00374962
1608.0,0.00375809
1609.0,0.0037666
1610.0,0.00377515
1611.0,0.00378578
1612.0,0.00379646
1613.0,0.00380718
1614.0,0.00381793
1615.0,0.00382874
1616.0,0.00383958
1617.0,0.00385046
1618.0,0.00386138
1619.0,0.00387234
1620.0,0.00388334
1621.0,0.00389672
1622.0,0.00391015
1623.0,0.00392362
1624.0,0.00393714
1625.0,0.0039507
1626.0,0.00396429
1627.0,0.00397792
1628.0,0.00399156
1629.0,0.00400517
1630.0,0.00401881
1631.0,0.00403336
1632.0,0.00404795
1633.0,0.00406259
1634.0,0.00407726
1635.0,0.00409198
1636.0,0.00410673
1637.0,0.00412152
1638.0,0.00413635
1639.0,0.00415121
1640.0,0.00416611
1641.0,0.00418201
1642.0,0.00419796
1643.0,0.00421394
1644.0,0.00422997
1645.0,0.00424603
1646.0,0.00426212
1647.0,0.00427826
1648.0,0.00429442
1649.0,0.00431063
1650.0,0.00432687
1651.0,0.00434425
1652.0,0.00436168
1653.0,0.00437915
1654.0,0.00439666
1655.0,0.0044142
1656.0,0.00443178
1657.0,0.00444939
1658.0,0.00446703
1659.0,0.00448472
1660.0,0.00450243
1661.0,0.00452124
1662.0,0.0045401
1663.0,0.00455899
1664.0,0.00457792
1665.0,0.00459688
1666.0,0.00461588
1667.0,0.00463491
1668.0,0.00465397
1669.0,0.00467306
1670.0,0.00469218
1671.0,0.00471236
1672.0,0.00473257
1673.0,0.00475167
1674.0,0.0047688
1675.0,0.00478614
1676.0,0.00480349
1677.0,0.00482085
1678.0,0.00483821
1679.0,0.00485558
1680.0,0.00487295
1681.0,0.00489126
1682.0,0.00490958
1683.0,0.0049279
1684.0,0.00494622
1685.0,0.00496455
1686.0,0.00498288
1687.0,0.00500122
1688.0,0.00501955
1689.0,0.00503787
1690.0,0.0050562
1691.0,0.00507542
1692.0,0.00509463
1693.0,0.00511562
1694.0,0.00513836
1695.0,0.00516112
1696.0,0.00518382
1697.0,0.00520628
1698.0,0.00522877
1699.0,0.00525126
1700.0,0.00527377
1701.0,0.00529687
1702.0,0.00532
1703.0,0.00534312
1704.0,0.00536626
1705.0,0.0053894
1706.0,0.00541255
1707.0,0.00543569
1708.0,0.00545884
1709.0,0.00548199
1710.0,0.00550512
1711.0,0.00552903
1712.0,0.00555293
1713.0,0.00557683
1714.0,0.00560072
1715.0,0.00562461
1716.0,0.00564848
1717.0,0.00567234
1718.0,0.00569619
1719.0,0.00572003
1720.0,0.00574383
1721.0,0.00576832
1722.0,0.00579278
1723.0,0.00581723
1724.0,0.00584164
1725.0,0.00586603
1726.0,0.00589039
1727.0,0.00591472
1728.0,0.00593903
1729.0,0.00596329
1730.0,0.00598752
1731.0,0.00601232
1732.0,0.00603708
1733.0,0.0060618
1734.0,0.00608647
1735.0,0.00611111
1736.0,0.0061357
1737.0,0.00616025
1738.0,0.00618476
1739.0,0.00620922
1740.0,0.00623365
1741.0,0.00625856
1742.0,0.00628343
1743.0,0.00630827
1744.0,0.00633306
1745.0,0.00635782
1746.0,0.00638253
1747.0,0.00640722
1748.0,0.00643187
1749.0,0.00645648
1750.0,0.00648105
1751.0,0.00650233
1752.0,0.00652358
1753.0,0.00654477
1754.0,0.00656593
1755.0,0.00658704
1756.0,0.00660811
1757.0,0.00662913
1758.0,0.00665012
1759.0,0.00667105
1760.0,0.00669195
1761.0,0.00671309
1762.0,0.00673418
1763.0,0.00675525
1764.0,0.00677627
1765.0,0.00679726
1766.0,0.0068182
1767.0,0.00683912
1768.0,0.00686001
1769.0,0.00688085
1770.0,0.00690166
1771.0,0.00692272
1772.0,0.00694375
1773.0,0.00696475
1774.0,0.00698572
1775.0,0.00700665
1776.0,0.00702756
1777.0,0.00704844
1778.0,0.00706929
1779.0,0.00709011
1780.0,0.00711093
1781.0,0.007132
1782.0,0.00715305
1783.0,0.00717409
1784.0,0.0071951
1785.0,0.00721609
1786.0,0.00723706
1787.0,0.00725802
1788.0,0.00727895
1789.0,0.00729988
1790.0,0.00732078
1791.0,0.00734198
1792.0,0.00736316
1793.0,0.00738433
1794.0,0.00740549
1795.0,0.00742664
1796.0,0.00744777
1797.0,0.00746891
1798.0,0.00749003
1799.0,0.00751115
1800.0,0.00753226
1801.0,0.00755214
1802.0,0.00757202
