Wavelength,Transmission
1193.901245,4.46816e-06
1195.0,4.87555e-06
1195.072876,4.90299e-06
1196.244507,5.34767e-06
1197.416016,5.80255e-06
1198.587646,6.26836e-06
1199.759277,6.74594e-06
1200.0,6.84624e-06
1200.930786,7.48642e-06
1202.102417,8.30998e-06
1203.274048,9.15418e-06
1204.445557,1.00205e-05
1205.0,1.04389e-05
1205.617188,1.09099e-05
1206.788818,1.18228e-05
1207.960449,1.27598e-05
1209.131958,1.37213e-05
1210.0,1.44496e-05
1210.303589,1.48945e-05
1211.47522,1.66393e-05
1212.646729,1.8429e-05
1213.818359,2.02645e-05
1214.98999,2.21461e-05
1215.0,2.21623e-05
1216.161499,2.40736e-05
1217.33313,2.60476e-05
1218.504761,2.80677e-05
1219.676392,3.01338e-05
1220.0,3.07139e-05
1220.8479,3.33575e-05
1222.019531,3.70854e-05
1223.191162,4.08972e-05
1224.362671,4.47915e-05
1225.0,4.69438e-05
1225.534302,4.87678e-05
1226.705933,5.28241e-05
1227.877441,5.69582e-05
1229.049072,6.11687e-05
1230.0,6.46455e-05
1230.220703,6.60586e-05
1231.392334,7.36717e-05
1232.563843,8.14223e-05
1233.735474,8.9307e-05
1234.907104,9.73194e-05
1235.0,9.7959e-05
1236.078613,0.000105452
1237.250244,0.000113701
1238.421875,0.000122058
1239.593384,0.000130514
1240.0,0.000133486
1240.765015,0.000143416
1241.936646,0.000158804
1243.108154,0.000174369
1244.279785,0.000190097
1245.0,0.00019983
1245.451416,0.00020597
1246.623047,0.000221969
1247.794556,0.000238079
1248.966187,0.000254292
1250.0,0.000268682
1250.137817,0.000270696
1251.309326,0.000287947
1252.480957,0.000305262
1253.652588,0.000322625
1254.824219,0.000340026
1255.0,0.000342633
1255.995728,0.000357451
1257.167358,0.000374894
1258.338989,0.000392343
1259.510498,0.000409786
1260.0,0.000417103
1260.682129,0.000369168
1261.85376,0.000286511
1263.025269,0.000203436
1264.196899,0.000119984
1265.0,6.25947e-05
1265.36853,6.83808e-05
1266.540039,8.67952e-05
1267.71167,0.000105243
1268.883301,0.000123711
1270.0,0.000141326
1270.054932,0.000144693
1271.22644,0.000216564
1272.398071,0.00028849
1273.569702,0.00036043
1274.741211,0.000432346
1275.0,0.000448222
1275.912842,0.000793415
1277.084473,0.00123633
1278.256104,0.00167894
1279.427612,0.00212105
1280.0,0.00233692
1280.599243,0.00285078
1281.770874,0.00385456
1282.942383,0.00485655
1284.114014,0.00585669
1285.0,0.00661148
1285.285645,0.00690791
1286.457153,0.0081216
1287.628784,0.00933232
1288.800415,0.0105397
1289.971924,0.0117434
1290.0,0.0117722
1291.143555,0.0127193
1292.315186,0.0136862
1293.486816,0.0146494
1294.658325,0.0156087
1295.0,0.0158876
1295.829956,0.0163261
1297.001587,0.0169424
1298.173096,0.0175552
1299.344727,0.0181647
1300.0,0.0185041
1300.516357,0.0186521
1301.687988,0.018986
1302.859497,0.0193168
1304.031128,0.0196447
1305.0,0.0199134
1305.202759,0.0199484
1306.374268,0.0201484
1307.545898,0.0203458
1308.717529,0.0205405
1309.889038,0.0207326
1310.0,0.0207506
1311.060669,0.0208534
1312.2323,0.0209647
1313.403809,0.0210736
1314.575439,0.0211802
1315.0,0.0212181
1315.74707,0.0212483
1316.918701,0.0212937
1318.09021,0.021337
1319.261841,0.0213783
1320.0,0.021403
1320.433472,0.0214036
1321.60498,0.0214032
1322.776611,0.021401
1323.948242,0.021397
1325.0,0.0213919
1325.119873,0.0213892
1326.291382,0.0213612
1327.463013,0.0213316
1328.634644,0.0213004
1329.806152,0.0212675
1330.0,0.0212618
1330.977783,0.0212244
1332.149414,0.0211781
1333.320923,0.0211304
1334.492554,0.0210812
1335.0,0.0210593
1335.664185,0.021027
1336.835693,0.0209688
1338.007324,0.0209094
1339.178955,0.0208489
1340.0,0.0208057
1340.350586,0.0207864
1341.522095,0.0207209
1342.693726,0.0206543
1343.865356,0.0205869
1345.0,0.0205207
1345.036865,0.0205185
1346.208496,0.0204486
1347.380127,0.020378
1348.551758,0.0203066
1349.723267,0.0202345
1350.0,0.0202173
1350.894897,0.0201512
1352.066406,0.0200642
1353.238037,0.0199767
1354.409668,0.0198888
1355.0,0.0198444
1355.581299,0.0198002
1356.752808,0.0197108
1357.924438,0.0196212
1359.096069,0.0195314
1360.0,0.019462
1360.267578,0.0194414
1361.439209,0.0193508
1362.61084,0.0192602
1363.782471,0.0191697
1364.953979,0.0190792
1365.0,0.0190757
1366.12561,0.0189883
1367.297241,0.0188976
1368.46875,0.0188071
1369.640381,0.0187168
1370.0,0.0186892
1370.812012,0.0186265
1371.983643,0.0185364
1373.155151,0.0184467
1374.326782,0.0183575
1375.0,0.0183064
1375.498291,0.0182684
1376.669922,0.0181795
1377.841553,0.018091
1379.013184,0.0180028
1380.0,0.0179289
1380.184692,0.017915
1381.356323,0.0178271
1382.527954,0.0177394
1383.699463,0.0176522
1384.871094,0.0175652
1385.0,0.0175556
1386.042725,0.017478
1387.214355,0.0173911
1388.385864,0.0173044
1389.557495,0.017218
1390.0,0.0171854
1390.729126,0.0171315
1391.900635,0.017045
1393.072266,0.0169587
1394.243896,0.0168726
1395.0,0.0168171
1395.415405,0.0167864
1396.587036,0.0167002
1397.758667,0.016614
