Wavelength,Transmission
1194.25,2.71215e-06
1194.5,2.77066e-06
1194.75,2.82966e-06
1195.0,2.88917e-06
1195.25,2.94917e-06
1195.500122,3.00971e-06
1195.75,3.07069e-06
1195.999878,3.13217e-06
1196.25,3.19421e-06
1196.5,3.25673e-06
1196.750122,3.31979e-06
1197.0,3.38329e-06
1197.25,3.44734e-06
1197.5,3.51189e-06
1197.75,3.57695e-06
1198.0,3.64253e-06
1198.25,3.70862e-06
1198.5,3.77522e-06
1198.75,3.84233e-06
1199.0,3.90996e-06
1199.25,3.97811e-06
1199.500122,4.0468e-06
1199.75,4.11595e-06
1199.999878,4.18561e-06
1200.0,4.18565e-06
1200.25,4.29679e-06
1200.5,4.40871e-06
1200.75,4.52138e-06
1201.0,4.63483e-06
1201.25,4.74904e-06
1201.5,4.86401e-06
1201.75,4.97975e-06
1202.0,5.09626e-06
1202.25,5.21353e-06
1202.5,5.33156e-06
1202.75,5.45036e-06
1203.0,5.56992e-06
1203.25,5.69024e-06
1203.5,5.81132e-06
1203.75,5.93316e-06
1204.0,6.05576e-06
1204.25,6.17912e-06
1204.5,6.30324e-06
1204.75,6.42812e-06
1205.0,6.55374e-06
1205.25,6.68013e-06
1205.5,6.80727e-06
1205.75,6.93516e-06
1206.0,7.0638e-06
1206.25,7.1932e-06
1206.5,7.32334e-06
1206.75,7.45423e-06
1207.0,7.58586e-06
1207.25,7.71824e-06
1207.5,7.85136e-06
1207.75,7.98523e-06
1208.0,8.11983e-06
1208.25,8.25517e-06
1208.5,8.39125e-06
1208.75,8.52806e-06
1209.0,8.66561e-06
1209.25,8.80388e-06
1209.5,8.94289e-06
1209.75,9.08262e-06
1210.0,9.22308e-06
1210.25,9.46247e-06
1210.5,9.70326e-06
1210.75,9.94545e-06
1211.0,1.0189e-05
1211.25,1.0434e-05
1211.5,1.06803e-05
1211.75,1.0928e-05
1212.0,1.11771e-05
1212.25,1.14276e-05
1212.5,1.16794e-05
1212.75,1.19326e-05
1213.0,1.21872e-05
1213.25,1.24431e-05
1213.5,1.27004e-05
1213.75,1.2959e-05
1214.0,1.32189e-05
1214.25,1.34802e-05
1214.5,1.37429e-05
1214.75,1.40068e-05
1215.0,1.42721e-05
1215.25,1.45387e-05
1215.5,1.48066e-05
1215.75,1.50759e-05
1216.0,1.53464e-05
1216.25,1.56182e-05
1216.5,1.58914e-05
1216.75,1.61658e-05
1217.0,1.64415e-05
1217.25,1.67185e-05
1217.5,1.69967e-05
1217.75,1.72763e-05
1218.0,1.7557e-05
1218.25,1.78391e-05
1218.5,1.81224e-05
1218.75,1.84069e-05
1219.0,1.86927e-05
1219.25,1.89797e-05
1219.5,1.92679e-05
1219.75,1.95573e-05
1220.0,1.9848e-05
1220.25,2.03504e-05
1220.5,2.08552e-05
1220.75,2.13624e-05
1221.0,2.1872e-05
1221.25,2.23839e-05
1221.5,2.28982e-05
1221.75,2.34148e-05
1222.0,2.39337e-05
1222.25,2.44549e-05
1222.5,2.49784e-05
1222.75,2.55043e-05
1223.0,2.60323e-05
1223.25,2.65627e-05
1223.5,2.70952e-05
1223.75,2.763e-05
1224.0,2.81671e-05
1224.25,2.87063e-05
1224.5,2.92477e-05
1224.75,2.97913e-05
1225.0,3.0337e-05
1225.25,3.08849e-05
1225.5,3.14349e-05
1225.75,3.19871e-05
1226.0,3.25413e-05
1226.25,3.30976e-05
1226.5,3.3656e-05
1226.75,3.42165e-05
1227.0,3.4779e-05
1227.25,3.53435e-05
1227.5,3.591e-05
1227.75,3.64785e-05
1228.0,3.7049e-05
1228.25,3.76214e-05
1228.5,3.81958e-05
1228.75,3.87721e-05
1229.0,3.93503e-05
1229.25,3.99304e-05
1229.5,4.05124e-05
1229.75,4.10962e-05
1230.0,4.16818e-05
1230.25,4.27118e-05
1230.5,4.37456e-05
1230.75,4.47831e-05
1231.0,4.58244e-05
1231.25,4.68693e-05
1231.5,4.79179e-05
1231.75,4.89702e-05
1232.0,5.00261e-05
1232.25,5.10856e-05
1232.5,5.21486e-05
1232.75,5.32152e-05
1233.0,5.42853e-05
1233.25,5.53589e-05
1233.5,5.64359e-05
1233.75,5.75163e-05
1234.0,5.86001e-05
1234.25,5.96872e-05
1234.5,6.07777e-05
1234.75,6.18715e-05
1235.0,6.29686e-05
1235.25,6.40689e-05
1235.5,6.51724e-05
1235.75,6.62791e-05
1236.0,6.73889e-05
1236.25,6.85019e-05
1236.5,6.9618e-05
1236.75,7.07371e-05
1237.0,7.18593e-05
1237.25,7.29844e-05
1237.5,7.41126e-05
1237.75,7.52437e-05
1238.0,7.63776e-05
1238.25,7.75145e-05
1238.5,7.86542e-05
1238.75,7.97968e-05
1239.0,8.09421e-05
1239.25,8.20902e-05
1239.5,8.32411e-05
1239.75,8.43946e-05
1240.0,8.55508e-05
1240.25,8.76179e-05
1240.5,8.96907e-05
1240.75,9.17692e-05
1241.0,9.38532e-05
1241.25,9.59428e-05
1241.5,9.80378e-05
1241.75,0.000100138
1242.0,0.000102244
1242.25,0.000104355
1242.5,0.000106471
1242.75,0.000108593
1243.0,0.000110719
1243.25,0.000112851
1243.5,0.000114987
1243.75,0.000117129
1244.0,0.000119275
1244.25,0.000121426
1244.5,0.000123582
1244.75,0.000125742
1245.0,0.000127908
1245.25,0.000130077
1245.5,0.000132252
1245.75,0.00013443
1246.0,0.000136613
1246.25,0.000138801
1246.5,0.000140993
1246.75,0.000143188
1247.0,0.000145388
1247.25,0.000147593
1247.5,0.000149801
1247.75,0.000152013
1248.0,0.000154229
1248.25,0.000156448
1248.5,0.000158672
1248.75,0.000160899
1249.0,0.00016313
1249.25,0.000165365
1249.5,0.000167603
1249.75,0.000169844
1250.0,0.000172089
1250.25,0.000174457
1250.5,0.000176829
1250.75,0.000179203
1251.0,0.000181581
1251.25,0.000183962
1251.5,0.000186345
1251.75,0.000188732
1252.0,0.000191121
1252.25,0.000193513
1252.5,0.000195907
1252.75,0.000198305
1253.0,0.000200704
1253.25,0.000203107
1253.5,0.000205511
1253.75,0.000207918
1254.0,0.000210327
1254.25,0.000212738
1254.5,0.000215152
1254.75,0.000217567
1255.0,0.000219984
1255.25,0.000222404
1255.5,0.000224825
1255.75,0.000227247
1256.0,0.000229672
1256.25,0.000232098
1256.5,0.000234525
1256.75,0.000236954
1257.0,0.000239385
1257.25,0.000241816
1257.5,0.000244249
1257.75,0.000246683
1258.0,0.000249118
1258.25,0.000251555
1258.5,0.000253992
1258.75,0.00025643
1259.0,0.000258869
1259.25,0.000261308
1259.5,0.000263748
1259.75,0.000266189
1260.0,0.00026863
1260.25,0.000257379
1260.5,0.000246109
1260.75,0.000234821
1261.0,0.000223514
1261.25,0.00021219
1261.5,0.000200849
1261.75,0.00018949
1262.0,0.000178115
1262.25,0.000166724
1262.5,0.000155317
1262.75,0.000143895
1263.0,0.000132457
1263.25,0.000121005
1263.5,0.000109538
1263.75,9.80566e-05
1264.0,8.65619e-05
1264.25,7.50538e-05
1264.5,6.35326e-05
1264.75,5.19989e-05
1265.0,4.04528e-05
1265.25,4.29954e-05
1265.5,4.55399e-05
1265.75,4.80864e-05
1266.0,5.06348e-05
1266.25,5.31848e-05
1266.5,5.57366e-05
1266.75,5.829e-05
1267.0,6.08448e-05
1267.25,6.34011e-05
1267.5,6.59588e-05
1267.75,6.85178e-05
1268.0,7.10779e-05
1268.25,7.36391e-05
1268.5,7.62014e-05
1268.75,7.87646e-05
1269.0,8.13287e-05
1269.25,8.38935e-05
1269.5,8.64591e-05
1269.75,8.90253e-05
1270.0,9.1592e-05
1270.25,0.00010154
1270.5,0.000111492
1270.75,0.000121448
1271.0,0.000131407
1271.25,0.00014137
1271.5,0.000151336
1271.75,0.000161304
1272.0,0.000171275
1272.25,0.000181248
1272.5,0.000191223
1272.75,0.000201199
1273.0,0.000211176
1273.25,0.000221154
1273.5,0.000231132
1273.75,0.000241111
1274.0,0.000251089
1274.25,0.000261067
1274.5,0.000271044
1274.75,0.00028102
1275.0,0.000290995
1275.25,0.000352389
1275.5,0.000413786
1275.75,0.000475184
1276.0,0.000536583
1276.25,0.00059798
1276.5,0.000659373
1276.75,0.00072076
1277.0,0.00078214
1277.25,0.000843511
1277.5,0.000904871
1277.75,0.000966218
1278.0,0.00102755
1278.25,0.00108887
1278.5,0.00115017
1278.75,0.00121145
1279.0,0.00127271
1279.25,0.00133394
1279.5,0.00139515
1279.75,0.00145634
1280.0,0.0015175
1280.25,0.00165671
1280.5,0.00179588
1280.75,0.00193499
1281.0,0.00207404
1281.25,0.00221302
1281.5,0.00235194
1281.75,0.00249079
1282.0,0.00262956
1282.25,0.00276826
1282.5,0.00290687
1282.75,0.0030454
1283.0,0.00318384
1283.25,0.00332219
1283.5,0.00346045
1283.75,0.0035986
1284.0,0.00373666
1284.25,0.00387461
1284.5,0.00401245
1284.75,0.00415018
1285.0,0.00428779
1285.25,0.00445554
1285.5,0.00462315
1285.75,0.00479061
1286.0,0.00495793
1286.25,0.00512509
1286.5,0.0052921
1286.75,0.00545895
1287.0,0.00562565
1287.25,0.00579217
1287.5,0.00595853
1287.75,0.00612471
1288.0,0.00629072
1288.25,0.00645654
1288.5,0.00662219
1288.75,0.00678765
1289.0,0.00695292
1289.25,0.007118
1289.5,0.00728288
1289.75,0.00744756
1290.0,0.00761204
1290.25,0.0077446
1290.5,0.00787699
1290.75,0.0080092
1291.0,0.00814122
1291.25,0.00827305
1291.5,0.0084047
1291.75,0.00853615
1292.0,0.00866741
1292.25,0.00879848
1292.5,0.00892935
1292.75,0.00906002
1293.0,0.00919048
1293.25,0.00932074
1293.5,0.0094508
1293.75,0.00958065
1294.0,0.00971028
1294.25,0.00983971
1294.5,0.00996892
1294.75,0.0100979
1295.0,0.0102267
1295.25,0.0103091
1295.5,0.0103914
1295.75,0.0104734
1296.0,0.0105554
1296.25,0.0106371
1296.5,0.0107187
1296.75,0.0108001
1297.0,0.0108813
1297.25,0.0109624
1297.5,0.0110433
1297.75,0.011124
1298.0,0.0112045
1298.25,0.0112849
1298.5,0.0113651
1298.75,0.0114451
1299.0,0.0115249
1299.25,0.0116045
1299.5,0.011684
1299.75,0.0117633
1300.0,0.0118424
1300.25,0.0118845
1300.5,0.0119265
1300.75,0.0119684
1301.0,0.0120101
1301.25,0.0120517
1301.5,0.0120931
1301.75,0.0121344
1302.0,0.0121756
1302.25,0.0122166
1302.5,0.0122575
1302.75,0.0122982
1303.0,0.0123389
1303.25,0.0123793
1303.5,0.0124197
1303.75,0.0124599
1304.0,0.0124999
1304.25,0.0125399
1304.5,0.0125797
1304.75,0.0126193
1305.0,0.0126588
1305.25,0.0126817
1305.5,0.0127044
1305.75,0.0127271
1306.0,0.0127496
1306.25,0.012772
1306.5,0.0127943
1306.75,0.0128165
1307.0,0.0128386
1307.25,0.0128606
1307.5,0.0128825
1307.75,0.0129043
1308.0,0.012926
1308.25,0.0129475
1308.5,0.012969
1308.75,0.0129904
1309.0,0.0130117
1309.25,0.0130329
1309.5,0.0130539
