Wavelength,Transmission
1215.0,5.37006e-06
1220.0,7.61362e-06
1225.0,1.11063e-05
1230.0,1.46483e-05
1235.0,2.13094e-05
1240.0,2.80286e-05
1245.0,4.06766e-05
1250.0,5.3374e-05
1255.0,6.67987e-05
1260.0,8.02124e-05
1265.0,1.18984e-05
1270.0,2.66508e-05
1275.0,8.40102e-05
1280.0,0.000436452
1285.0,0.00123187
1290.0,0.00219163
1295.0,0.00295807
1300.0,0.00344996
1305.0,0.00373089
1310.0,0.00391181
1315.0,0.00403045
1320.0,0.00410188
1325.0,0.00413946
1330.0,0.00415958
1335.0,0.00417105
1340.0,0.00417683
1345.0,0.0041795
1350.0,0.00418131
1355.0,0.00418147
1360.0,0.00418062
1365.0,0.00418053
1370.0,0.00417977
1375.0,0.00417837
1380.0,0.00417632
1385.0,0.00417126
1390.0,0.00416556
1395.0,0.00415915
1400.0,0.00415212
1405.0,0.00416235
1410.0,0.00417208
1415.0,0.00419687
1420.0,0.00422123
1425.0,0.00424024
1430.0,0.0042588
1435.0,0.00427633
1440.0,0.0042934
1445.0,0.00430203
1450.0,0.0043117
1455.0,0.00432003
1460.0,0.00432793
1465.0,0.00433232
1470.0,0.0043363
1475.0,0.0043387
1480.0,0.0043407
1485.0,0.00434254
1490.0,0.00434419
1495.0,0.0043431
1500.0,0.00434164
1505.0,0.00436563
1510.0,0.00438915
1515.0,0.00441143
1520.0,0.0044332
1525.0,0.00446807
1530.0,0.00450233
1535.0,0.00453622
1540.0,0.00456515
1545.0,0.00450617
1550.0,0.00444723
1555.0,0.0045694
1560.0,0.00469004
1565.0,0.00472269
1570.0,0.00475459
1575.0,0.00478807
1580.0,0.00482081
1585.0,0.00475561
1590.0,0.0046914
1595.0,0.00463016
1600.0,0.00456896
1605.0,0.00459142
1610.0,0.00461347
1615.0,0.00464758
1620.0,0.0046813
1625.0,0.00472879
1630.0,0.00477561
1635.0,0.00482696
1640.0,0.00487805
1645.0,0.00493463
1650.0,0.00499108
1655.0,0.00505391
1660.0,0.00511674
1665.0,0.00518573
1670.0,0.00525486
1675.0,0.00532186
1680.0,0.00538051
1685.0,0.00544422
1690.0,0.00550791
1695.0,0.00558609
1700.0,0.00567274
1705.0,0.00576288
1710.0,0.0058536
1715.0,0.00594907
1720.0,0.00604523
1725.0,0.00614575
1730.0,0.00624707
1735.0,0.00635235
1740.0,0.00645852
1745.0,0.00656835
1750.0,0.00667914
1755.0,0.00677409
1760.0,0.00686987
1765.0,0.00696794
1770.0,0.0070669
1775.0,0.0071682
1780.0,0.00727046
1785.0,0.00737523
1790.0,0.00748099
1795.0,0.00758929
1800.0,0.00769859
1805.0,0.00780256
1810.0,0.00790744
1815.0,0.0080144
1820.0,0.0081218
1825.0,0.00821856
1830.0,0.00831604
1835.0,0.00840944
1840.0,0.00850346
1845.0,0.00859891
1850.0,0.00869497
1855.0,0.00879307
1860.0,0.00889175
1865.0,0.00899178
1870.0,0.00909234
1875.0,0.00919422
1880.0,0.00929659
1885.0,0.00940021
1890.0,0.00950429
1895.0,0.00960955
1900.0,0.00971522
1905.0,0.00982165
1910.0,0.00992843
1915.0,0.0100362
1920.0,0.0101443
1925.0,0.0102534
1930.0,0.0103627
1935.0,0.0104729
1940.0,0.0105828
1945.0,0.0106946
1950.0,0.0108067
1955.0,0.0109496
1960.0,0.011093
1965.0,0.0112386
1970.0,0.0113848
1975.0,0.0115332
1980.0,0.0116824
1985.0,0.0118337
1990.0,0.0119858
1995.0,0.0121403
2000.0,0.0122955
2005.0,0.0124328
2010.0,0.0125707
2015.0,0.0127103
2020.0,0.0128506
2025.0,0.0129925
2030.0,0.0131352
2035.0,0.0132795
2040.0,0.0134247
2045.0,0.0135715
2050.0,0.0137193
2055.0,0.0138171
2060.0,0.0139152
2065.0,0.0140117
2070.0,0.0141083
2075.0,0.0142049
2080.0,0.014302
2085.0,0.0143989
2090.0,0.0144963
2095.0,0.0145936
2100.0,0.0146913
2105.0,0.0147902
2110.0,0.0148896
2115.0,0.0149887
2120.0,0.0150882
2125.0,0.0151872
2130.0,0.0152866
2135.0,0.0153854
2140.0,0.0154846
2145.0,0.015583
2150.0,0.0156819
2155.0,0.0157779
2160.0,0.0158742
2165.0,0.0159695
2170.0,0.0160652
2175.0,0.0161597
2180.0,0.0162544
2185.0,0.0163489
2190.0,0.0164479
2195.0,0.0165455
2200.0,0.0166435
2205.0,0.0167129
2210.0,0.0167824
2215.0,0.0168499
2220.0,0.0169175
2225.0,0.0169828
2230.0,0.0170483
2235.0,0.0171114
2240.0,0.0171746
2245.0,0.0172352
2250.0,0.017296
2255.0,0.0173562
2260.0,0.0174165
2265.0,0.0174742
2270.0,0.0175319
2275.0,0.0175871
2280.0,0.0176423
2285.0,0.0176951
2290.0,0.017748
2295.0,0.0177987
2300.0,0.0178493
2305.0,0.0178947
2310.0,0.0179391
2315.0,0.0179815
2320.0,0.0180238
2325.0,0.0180642
2330.0,0.0181045
2335.0,0.018143
2340.0,0.0181814
2345.0,0.0182182
2350.0,0.018255
2355.0,0.01829
2360.0,0.018325
2365.0,0.0183585
2370.0,0.018392
2375.0,0.0184241
2380.0,0.018456
2385.0,0.0184868
2390.0,0.0185175
2395.0,0.018547
2400.0,0.0185765
2405.0,0.018594
2410.0,0.0186115
2415.0,0.018628
2420.0,0.0186444
2425.0,0.0186596
2430.0,0.018675
2435.0,0.0186902
2440.0,0.0187052
2445.0,0.0187198
2450.0,0.0187342
2455.0,0.0187458
2460.0,0.0187572
2465.0,0.0187683
2470.0,0.0187793
2475.0,0.0187901
2480.0,0.0188007
2485.0,0.0188113
2490.0,0.0188217
2495.0,0.0188322
2500.0,0.0188425
2505.0,0.0188411
2510.0,0.0188396
2515.0,0.0188382
2520.0,0.0188366
2525.0,0.0188353
2530.0,0.0188337
2535.0,0.0188324
2540.0,0.0188309
2545.0,0.0188295
2550.0,0.0188266
2555.0,0.01881
2560.0,0.0187933
2565.0,0.0187767
2570.0,0.01876
2575.0,0.0187434
2580.0,0.0187267
2585.0,0.0187101
2590.0,0.0186935
2595.0,0.0186769
2600.0,0.0186603
2605.0,0.0186159
2610.0,0.0185715
2615.0,0.0185273
2620.0,0.0184831
2625.0,0.0184391
2630.0,0.0183951
2635.0,0.0183514
2640.0,0.0183077
2645.0,0.0182642
2650.0,0.0182207
2655.0,0.0181776
2660.0,0.0181344
2665.0,0.0180915
2670.0,0.0180476
2675.0,0.018008
2680.0,0.0179685
2685.0,0.0179294
2690.0,0.0178902
2695.0,0.0178513
2700.0,0.0178123
2705.0,0.0177756
2710.0,0.0177388
2715.0,0.0177023
2720.0,0.0176658
2725.0,0.0176295
2730.0,0.0175931
2735.0,0.0175571
2740.0,0.017521
2745.0,0.0174853
2750.0,0.0174495
2755.0,0.0174118
2760.0,0.0173741
2765.0,0.0173368
2770.0,0.0172994
2775.0,0.0172623
2780.0,0.0172253
2785.0,0.0171885
2790.0,0.017152
2795.0,0.0171151
2800.0,0.0170771
2805.0,0.0168857
2810.0,0.0166943
2815.0,0.0165074
2820.0,0.0163204
2825.0,0.0161378
2830.0,0.0159552
2835.0,0.0157768
2840.0,0.0155985
2845.0,0.0154242
2850.0,0.01525
2855.0,0.0150813
2860.0,0.0149126
2865.0,0.0147478
2870.0,0.0145829
2875.0,0.0144218
2880.0,0.0142607
2885.0,0.0141032
2890.0,0.0139457
2895.0,0.0137918
2900.0,0.0136378
2905.0,0.0134857
2910.0,0.0133336
2915.0,0.0131847
2920.0,0.0130412
2925.0,0.0129011
2930.0,0.0127607
2935.0,0.0126236
2940.0,0.0124863
2945.0,0.0123522
2950.0,0.0122178
2955.0,0.0120868
2960.0,0.0119555
2965.0,0.0118273
2970.0,0.0116989
2975.0,0.0115734
2980.0,0.0114477
2985.0,0.0113249
2990.0,0.0112019
2995.0,0.0110818
3000.0,0.0109614
3005.0,0.0105364
3010.0,0.0101108
3015.0,0.00971879
3020.0,0.00932618
3025.0,0.00896455
3030.0,0.00860238
3035.0,0.00826879
3040.0,0.0079347
3045.0,0.00762697
3050.0,0.00731878
3055.0,0.00703411
3060.0,0.00674902
3065.0,0.0064865
3070.0,0.00622359
3075.0,0.00598149
3080.0,0.00573903
3085.0,0.00551576
3090.0,0.00529217
3095.0,0.00508626
3100.0,0.00488006
3105.0,0.00469173
3110.0,0.00450313
3115.0,0.00432934
3120.0,0.0041553
3125.0,0.00399492
3130.0,0.0038137
3140.0,0.0035153
3150.0,0.00324024
3160.0,0.00298551
3170.0,0.0027508
3180.0,0.00253453
3190.0,0.00233525
3200.0,0.00215164
3210.0,0.00198245
3220.0,0.00182657
3230.0,0.00168294
3240.0,0.00155061
3250.0,0.00142869
3260.0,0.00131635
3270.0,0.00121284
3280.0,0.00111747
3290.0,0.00102961
3300.0,0.000948655
3310.0,0.000874066
3320.0,0.000805346
3330.0,0.00074203
3340.0,0.000683693
3350.0,0.000629943
3360.0,0.00058042
3370.0,0.000534793
3380.0,0.000492755
3390.0,0.000454026
3400.0,0.000418341
3410.0,0.000385462
3420.0,0.000355168
3430.0,0.000327259
3440.0,0.000301545
3450.0,0.000277854
3460.0,0.000256025
3470.0,0.000235913
3480.0,0.000217382
3490.0,0.000200309
3500.0,0.000184578
3510.0,0.000182064
3520.0,0.000179585
3530.0,0.000177142
3540.0,0.000174733
3550.0,0.000172359
3560.0,0.000170018
3570.0,0.000167709
3580.0,0.000165433
3590.0,0.00016319
3600.0,0.000160977
3610.0,0.000158795
3620.0,0.000156643
3630.0,0.00015452
3640.0,0.000152426
3650.0,0.000150361
3660.0,0.000148324
3670.0,0.000146316
3680.0,0.000144334
3690.0,0.00014238
3700.0,0.000140452
3710.0,0.00013855
3720.0,0.000136673
3730.0,0.000134822
3740.0,0.000132996
3750.0,0.000131194
3760.0,0.000129416
3770.0,0.000127663
3780.0,0.000125932
3790.0,0.000124225
3800.0,0.000122541
3810.0,0.000120878
3820.0,0.000119238
3830.0,0.000117619
3840.0,0.000116021
3850.0,0.000114444
3860.0,0.000112888
3870.0,0.000111352
3880.0,0.000109836
3890.0,0.00010834
3900.0,0.000106864
3910.0,0.000105407
3920.0,0.000103968
3930.0,0.000102548
3940.0,0.000101146
3950.0,9.97631e-05
3960.0,9.83974e-05
3970.0,9.70492e-05
3980.0,9.57182e-05
3990.0,9.44042e-05
4000.0,9.3107e-05
4010.0,9.25057e-05
4020.0,9.1907e-05
4030.0,9.13109e-05
4040.0,9.07176e-05
4050.0,9.01272e-05
4060.0,8.95393e-05
4070.0,8.89542e-05
4080.0,8.83719e-05
4090.0,8.77926e-05
4100.0,8.72163e-05
4110.0,8.66427e-05
4120.0,8.60717e-05
4130.0,8.55037e-05
4140.0,8.49385e-05
4150.0,8.43766e-05
4160.0,8.36852e-05
4170.0,8.29925e-05
4180.0,8.23048e-05
4190.0,8.1622e-05
4200.0,8.09442e-05
4210.0,8.02713e-05
4220.0,7.96034e-05
4230.0,7.89407e-05
4240.0,7.8283e-05
4250.0,7.76302e-05
4260.0,7.69825e-05
4270.0,7.63397e-05
4280.0,7.57019e-05
