Wavelength,Transmission
1651.0,1.37011e-08
1653.844482,1.68991e-08
1656.737183,2.01282e-08
1659.629883,2.33782e-08
1660.0,2.37938e-08
1662.522583,2.66391e-08
1665.415283,2.99007e-08
1668.307983,3.31532e-08
1670.0,3.50399e-08
1671.200684,3.63868e-08
1674.093384,3.95918e-08
1676.986084,4.27585e-08
1679.878784,4.58786e-08
1680.0,4.60062e-08
1682.771484,4.89464e-08
1685.664185,5.19563e-08
1688.556885,5.49029e-08
1690.0,5.63324e-08
1691.449585,5.77808e-08
1694.342285,6.05847e-08
1697.235107,6.33094e-08
1700.0,6.58356e-08
1700.127808,6.59543e-08
1703.020508,6.85529e-08
1705.913208,7.10903e-08
1708.805908,7.35759e-08
1710.0,7.45784e-08
1711.698608,7.6019e-08
1714.591309,7.8429e-08
1717.484009,8.08149e-08
1720.0,8.28747e-08
1720.376709,8.3186e-08
1723.269409,8.5551e-08
1726.162109,8.79135e-08
1729.05481,9.02722e-08
1730.0,9.1037e-08
1731.94751,9.26255e-08
1734.84021,9.4972e-08
1737.73291,9.731e-08
1740.0,9.9132e-08
1740.62561,9.96381e-08
1743.518311,1.01955e-07
1746.411011,1.04259e-07
1749.303711,1.06551e-07
1750.0,1.07099e-07
1752.196411,1.08838e-07
1755.089111,1.11127e-07
1757.981812,1.13425e-07
1760.0,1.15038e-07
1760.874512,1.1574e-07
1763.767212,1.18079e-07
1766.659912,1.20449e-07
1769.552612,1.22857e-07
1770.0,1.23233e-07
1772.445312,1.25298e-07
1775.338013,1.27763e-07
1778.230713,1.30243e-07
1780.0,1.31762e-07
1781.123413,1.3273e-07
1784.016113,1.35214e-07
1786.908936,1.37688e-07
1789.801514,1.40141e-07
1790.0,1.40307e-07
1792.694336,1.4257e-07
1795.586914,1.44977e-07
1798.479736,1.47365e-07
1800.0,1.4861e-07
1801.372437,1.49703e-07
1804.265137,1.51987e-07
1807.157837,1.54261e-07
1810.0,1.5649e-07
1810.050537,1.56529e-07
1812.943237,1.58794e-07
1815.835938,1.6106e-07
1818.728638,1.63329e-07
1820.0,1.64327e-07
1821.621338,1.65605e-07
1824.514038,1.67892e-07
1827.406738,1.70193e-07
1830.0,1.7227e-07
1830.299438,1.72511e-07
1833.192139,1.74846e-07
1836.084839,1.77197e-07
1838.977539,1.79563e-07
1840.0,1.80402e-07
1841.870239,1.81942e-07
1844.762939,1.84334e-07
1847.65564,1.86737e-07
