Wavelength,Transmission
5251.245117,1.41931e-05
5253.990234,1.69922e-05
5256.73584,2.00112e-05
5259.480957,2.33966e-05
5259.548828,2.34916e-05
5260.0,2.43803e-05
5262.227051,2.8965e-05
5264.973145,3.58922e-05
5267.717773,4.31549e-05
5269.753418,4.91935e-05
5270.0,5.00898e-05
5270.463867,5.17957e-05
5273.209961,6.27526e-05
5275.955078,7.40753e-05
5278.701172,8.54736e-05
5279.95752,9.1864e-05
5280.0,9.20853e-05
5281.446777,9.97773e-05
5284.191895,0.000115842
5286.937988,0.000133579
5289.683105,0.000154237
5290.0,0.000156704
5290.162109,0.000157974
5292.429199,0.000174426
5295.174805,0.000193863
5297.919922,0.000218859
5300.0,0.000238726
5300.366211,0.00024231
5300.666016,0.000244747
5303.412109,0.000269099
5306.157227,0.000296866
5308.902832,0.000329836
5310.0,0.00034314
5310.570801,0.000350136
5311.647949,0.000360876
5314.394043,0.000391996
5317.140137,0.000426449
5319.884766,0.00046157
5320.0,0.000463072
5320.774902,0.000473187
5322.630859,0.00049395
5325.375977,0.000531956
5328.12207,0.000571856
5330.0,0.000602555
5330.868164,0.000616657
5330.979492,0.000618641
5333.612793,0.000661758
5336.358887,0.00070696
5339.104004,0.000757579
5340.0,0.000775491
5341.183594,0.000798905
5341.850098,0.000811801
5344.596191,0.000867169
5347.34082,0.000928153
5350.0,0.000989329
5350.086914,0.000991296
5351.388184,0.00102605
5352.832031,0.00106583
5355.578125,0.00113924
5358.324219,0.00121615
5360.0,0.00126458
5361.068848,0.0012951
5361.592773,0.00131299
5363.814941,0.0013927
5366.560059,0.00150105
5369.306152,0.00160662
5370.0,0.00163671
5371.796875,0.00171413
5372.050781,0.00172572
5374.796875,0.00185911
5377.542969,0.00199361
5380.0,0.00212062
5380.288086,0.00213549
5382.001465,0.00223074
5383.03418,0.00229195
5385.778809,0.00246532
5388.524902,0.00265759
5390.0,0.00277508
5391.27002,0.00287647
5392.205566,0.00293648
5394.016113,0.00306097
5396.762207,0.00332404
5399.506836,0.00360095
5400.0,0.0036528
5402.25293,0.00389104
5402.410156,0.00390827
5404.998047,0.0042056
5407.744141,0.00453308
5410.0,0.00481492
5410.48877,0.00487648
5412.614258,0.00514952
5413.234863,0.00523236
5415.97998,0.00560764
5418.726074,0.00599908
5420.0,0.00618311
5421.472168,0.0063977
5422.818848,0.00660045
5424.216797,0.00681701
5426.962891,0.00724844
5429.708008,0.00769284
5430.0,0.00774161
5432.454102,0.00815529
5433.022949,0.00825218
5435.199219,0.008629
5437.944824,0.00912218
5440.0,0.00950484
5440.689941,0.00963446
5443.227539,0.0101208
5443.436035,0.0101609
5446.181152,0.0107037
5448.926758,0.0112714
5450.0,0.0115
5451.671875,0.0118592
5453.431641,0.0122513
5454.417969,0.0124686
5457.164062,0.0131012
5459.90918,0.0137543
5460.0,0.013777
5462.654785,0.0144445
5463.63623,0.0146997
5465.399902,0.0151493
5468.145996,0.0158788
5470.0,0.0163919
5470.891113,0.0166402
5473.637207,0.017434
5473.84082,0.0174954
5476.381836,0.0182419
5479.12793,0.0190738
5480.0,0.0193454
5481.873047,0.0199318
5484.044922,0.020635
5484.619141,0.0208151
5487.36377,0.0216976
5490.0,0.0225684
5490.109863,0.0226048
5492.85498,0.0235251
5494.249512,0.0241884
5494.757812,0.0244246
5499.63916,0.0254011
5500.0,0.0254737
5504.453613,0.0263708
5504.519043,0.0263833
5509.399902,0.0273219
5510.0,0.0274363
5514.279785,0.0282542
5514.658203,0.0283262
5519.161133,0.0291476
5520.0,0.0292978
5524.041992,0.0300229
5524.862305,0.0301683
5528.921875,0.0308654
5530.0,0.0310453
5533.803223,0.0316806
5535.066895,0.0318857
5538.683105,0.0324626
5540.0,0.0326646
5543.563965,0.0332116
5545.270996,0.0334653
5548.444824,0.0339382
5550.0,0.0341585
5553.325195,0.0346299
5555.475586,0.0349216
5558.206055,0.0353026
5560.0,0.0355421
5563.086914,0.0359545
5565.679688,0.0362821
5567.966797,0.0365878
5570.0,0.0368448
5572.848145,0.0372054
5575.884277,0.0375719
5577.728027,0.0378087
5580.0,0.0380869
5582.608887,0.0384071
5586.088379,0.0388094
5587.490234,0.0389803
5590.0,0.0392745
5592.370117,0.039553
5596.292969,0.0399959
5597.250977,0.0401087
5600.0,0.0404156
5602.131836,0.0406543
5606.497559,0.0411283
5607.012207,0.0411858
5610.0,0.041509
5611.893066,0.0417144
5616.70166,0.0422195
5616.773926,0.0422272
5620.0,0.0425634
