Wavelength,Transmission
1150.0,7.69096e-07
1155.0,1.04581e-06
1160.0,1.40634e-06
1165.0,1.75878e-06
1170.0,2.20772e-06
1175.0,2.65179e-06
1180.0,3.11865e-06
1185.0,3.53451e-06
1190.0,3.95467e-06
1195.0,4.33206e-06
1200.0,4.71951e-06
1205.0,5.37133e-06
1210.0,5.9941e-06
1215.0,6.57733e-06
1220.0,7.20619e-06
1225.0,7.87976e-06
1230.0,8.52995e-06
1235.0,9.1613e-06
1240.0,9.62028e-06
1245.0,9.85535e-06
1250.0,1.03241e-05
1255.0,1.07725e-05
1260.0,1.09821e-05
1265.0,1.11352e-05
1270.0,1.12994e-05
1275.0,1.14939e-05
1280.0,1.1749e-05
1285.0,1.19315e-05
1290.0,1.21474e-05
1295.0,1.24011e-05
1300.0,1.26595e-05
1305.0,1.29241e-05
1310.0,1.30627e-05
1315.0,1.31374e-05
1320.0,1.31824e-05
1325.0,1.32217e-05
1330.0,1.3258e-05
1335.0,1.33197e-05
1340.0,1.339e-05
1345.0,1.34991e-05
1350.0,1.3603e-05
1355.0,1.37037e-05
1360.0,1.38039e-05
1365.0,1.38761e-05
1370.0,1.39505e-05
1375.0,1.39975e-05
1380.0,1.40829e-05
1385.0,1.41437e-05
1390.0,1.42155e-05
1395.0,1.43004e-05
1400.0,1.44023e-05
1405.0,1.46202e-05
1410.0,1.48577e-05
1415.0,1.51177e-05
1420.0,1.54056e-05
1425.0,1.56775e-05
1430.0,1.59829e-05
1435.0,1.62739e-05
1440.0,1.66042e-05
1445.0,1.69219e-05
1450.0,1.72849e-05
1455.0,1.76376e-05
1460.0,1.79828e-05
1465.0,1.8316e-05
1470.0,1.87039e-05
1475.0,1.9017e-05
1480.0,1.93877e-05
1485.0,1.97468e-05
1490.0,2.00997e-05
1495.0,2.04392e-05
1500.0,2.15188e-05
1505.0,2.09294e-05
1510.0,2.0926e-05
1515.0,2.08326e-05
1520.0,2.09522e-05
1525.0,2.05855e-05
1530.0,2.04591e-05
1535.0,2.02092e-05
1540.0,2.01911e-05
1545.0,2.00652e-05
1550.0,1.99105e-05
1555.0,1.9886e-05
1560.0,1.9785e-05
1565.0,1.97462e-05
1570.0,1.96817e-05
1575.0,1.96526e-05
1580.0,1.96541e-05
1585.0,1.96479e-05
1590.0,1.95611e-05
1595.0,1.93299e-05
1600.0,1.93461e-05
1605.0,1.92371e-05
1610.0,1.90787e-05
1615.0,1.91129e-05
1620.0,1.89994e-05
1625.0,1.9061e-05
1630.0,1.89432e-05
1635.0,1.89036e-05
1640.0,1.88737e-05
1645.0,1.88567e-05
1650.0,1.88709e-05
1655.0,1.89377e-05
1660.0,1.89227e-05
1665.0,1.89168e-05
1670.0,1.89075e-05
1675.0,1.89104e-05
1680.0,1.891e-05
1685.0,1.89197e-05
1690.0,1.89263e-05
1695.0,1.89414e-05
1700.0,1.89532e-05
1705.0,1.90178e-05
1710.0,1.90744e-05
1715.0,1.91461e-05
1720.0,1.92173e-05
1725.0,1.92876e-05
1730.0,1.93504e-05
1735.0,1.94108e-05
1740.0,1.9464e-05
1745.0,1.95134e-05
1750.0,1.95559e-05
1755.0,1.95937e-05
1760.0,1.96249e-05
1765.0,1.96558e-05
1770.0,1.96807e-05
1775.0,1.97002e-05
1780.0,1.97134e-05
1785.0,1.97216e-05
1790.0,1.97237e-05
1795.0,1.97136e-05
1800.0,1.96792e-05
1805.0,1.98298e-05
1810.0,1.99788e-05
1815.0,2.01272e-05
1820.0,2.02739e-05
1825.0,2.04199e-05
1830.0,2.05643e-05
1835.0,2.07078e-05
1840.0,2.08497e-05
1845.0,2.09908e-05
1850.0,2.11301e-05
1855.0,2.12684e-05
1860.0,2.14051e-05
1865.0,2.15407e-05
1870.0,2.18244e-05
1875.0,2.19942e-05
1880.0,2.21626e-05
1885.0,2.23304e-05
1890.0,2.2497e-05
1895.0,2.26627e-05
1900.0,2.28271e-05
1905.0,2.31859e-05
1910.0,2.35447e-05
1915.0,2.39035e-05
1920.0,2.44242e-05
1925.0,2.48103e-05
1930.0,2.51968e-05
1935.0,2.55839e-05
1940.0,2.59713e-05
1945.0,2.63591e-05
1950.0,2.6747e-05
1955.0,2.71352e-05
1960.0,2.75234e-05
1965.0,2.79117e-05
1970.0,2.82999e-05
1975.0,2.86881e-05
1980.0,2.9076e-05
1985.0,2.94389e-05
1990.0,2.97593e-05
1995.0,3.00777e-05
2000.0,3.03941e-05
2005.0,3.08759e-05
2010.0,3.13684e-05
2015.0,3.18597e-05
2020.0,3.235e-05
2025.0,3.28387e-05
2030.0,3.33263e-05
2035.0,3.38119e-05
2040.0,3.42963e-05
2045.0,3.47784e-05
2050.0,3.52592e-05
2055.0,3.57371e-05
2060.0,3.62136e-05
2065.0,3.66869e-05
2070.0,3.73293e-05
2075.0,3.76882e-05
2080.0,3.80429e-05
2085.0,3.83911e-05
2090.0,3.87352e-05
2095.0,3.90726e-05
2100.0,3.94056e-05
2105.0,3.98586e-05
2110.0,4.03035e-05
2115.0,4.07372e-05
2120.0,4.11739e-05
2125.0,4.16367e-05
2130.0,4.20926e-05
2135.0,4.25378e-05
2140.0,4.2976e-05
2145.0,4.34032e-05
2150.0,4.38234e-05
2155.0,4.42569e-05
2160.0,4.47024e-05
2165.0,4.5137e-05
2170.0,4.55656e-05
2175.0,4.5983e-05
2180.0,4.63942e-05
2185.0,4.68094e-05
2190.0,4.72397e-05
2195.0,4.76589e-05
2200.0,4.80723e-05
2205.0,4.84592e-05
2210.0,4.8838e-05
2215.0,4.92023e-05
2220.0,4.95585e-05
2225.0,4.98999e-05
2230.0,5.02334e-05
2235.0,5.08436e-05
2240.0,5.11e-05
2245.0,5.13402e-05
2250.0,5.15724e-05
2255.0,5.17884e-05
2260.0,5.19964e-05
2265.0,5.21887e-05
2270.0,5.23732e-05
2275.0,5.25423e-05
2280.0,5.27038e-05
