Wavelength,Transmission
6244.0,0.000600475
6247.0,0.00073079
6249.0,0.000869938
6250.0,0.000894738
6252.0,0.000944326
6255.0,0.000995962
6257.0,0.000995819
6260.0,0.000920632
6262.0,0.000805188
6265.0,0.00078275
6267.0,0.00100744
6270.0,0.00172601
6272.0,0.00220892
6275.0,0.00288401
6277.0,0.00418256
6280.0,0.00623274
6283.0,0.00893253
6285.0,0.0138131
6288.0,0.0213195
6290.0,0.0323019
6293.0,0.0472055
6295.0,0.0644191
6298.0,0.0808462
6300.0,0.0920966
6303.0,0.0972389
6305.0,0.0979689
6308.0,0.0964324
6310.0,0.0941369
6311.0,0.0929896
6313.0,0.0862091
6316.0,0.073156
6318.0,0.0573355
6320.0,0.0480311
6321.0,0.0433806
6323.0,0.0300168
6326.0,0.0196126
6328.0,0.0128313
6330.0,0.0102604
6331.0,0.0089755
6333.0,0.00606111
6336.0,0.00469939
6338.0,0.0034039
6340.0,0.00281151
6341.0,0.00251542
6344.0,0.00187294
6346.0,0.00140205
6349.0,0.00109167
6350.0,0.00100512
6351.0,0.000918595
6354.0,0.000803161
6356.0,0.000664326
6359.0,0.000481195
6360.0,0.000390034
6361.0,0.000298897
6364.0,0.000173162
6366.0,8.65587e-05
6369.0,8.65251e-05
6370.0,5.7676e-05
