Wavelength,Transmission
1140.0,1.05855e-07
1150.0,3.91412e-07
1151.151855,4.37881e-07
1160.0,6.23933e-07
1170.0,8.72822e-07
1170.511963,8.86068e-07
1180.0,1.15159e-06
1190.0,1.448e-06
1190.197754,1.45335e-06
1200.0,1.73284e-06
1210.0,2.25994e-06
1210.2146,2.27201e-06
1220.0,2.86313e-06
1230.0,3.53188e-06
1230.567993,3.57097e-06
1240.0,4.27012e-06
1250.0,5.05752e-06
1251.263794,5.15897e-06
1260.0,5.9054e-06
1270.0,6.80076e-06
1272.307617,7.01227e-06
1280.0,7.70323e-06
1290.0,8.63133e-06
1293.705322,8.98423e-06
1300.0,9.51952e-06
1310.0,1.04883e-05
1315.463013,1.10259e-05
1320.0,1.14127e-05
1330.0,1.22588e-05
1337.586548,1.28917e-05
1340.0,1.3066e-05
1350.0,1.37652e-05
1360.0,1.44237e-05
1360.082153,1.4429e-05
1370.0,1.49782e-05
1380.0,1.54742e-05
1382.956055,1.56089e-05
1390.0,1.59072e-05
1400.0,1.62724e-05
1406.214722,1.66544e-05
1410.0,1.68923e-05
1420.0,1.74668e-05
1429.864502,1.79517e-05
1430.0,1.79591e-05
1440.0,1.84656e-05
1450.0,1.88873e-05
1453.912109,1.90265e-05
1460.0,1.92948e-05
1470.0,1.96664e-05
1478.364014,1.9908e-05
1480.0,1.99652e-05
1490.0,2.02603e-05
1500.0,2.04651e-05
1503.227295,2.03329e-05
1510.0,2.00841e-05
1520.0,1.96676e-05
1528.508667,1.92708e-05
1530.0,1.92042e-05
1540.0,1.8728e-05
1550.0,1.82079e-05
1554.21521,1.79768e-05
1560.0,1.76658e-05
1570.0,1.71011e-05
1580.0,1.65037e-05
1580.354004,1.64822e-05
1590.0,1.59219e-05
1600.0,1.53155e-05
1606.932495,1.48615e-05
1610.0,1.46748e-05
1620.0,1.40557e-05
1630.0,1.34137e-05
1633.958008,1.31564e-05
1640.0,1.28033e-05
1650.0,1.22093e-05
1660.0,1.15971e-05
1661.437988,1.15086e-05
1670.0,1.105e-05
1680.0,1.04951e-05
1689.380249,9.95059e-06
1690.0,9.92007e-06
1700.0,9.41945e-06
1710.0,8.93005e-06
1717.792358,8.51716e-06
1720.0,8.4204e-06
1730.0,7.95941e-06
1740.0,7.45629e-06
1746.682251,7.09652e-06
1750.0,6.95115e-06
1760.0,6.48955e-06
1770.0,5.99207e-06
1776.058105,5.67371e-06
1780.0,5.50807e-06
1790.0,5.06856e-06
1800.0,4.60176e-06
1805.927856,4.36209e-06
1810.0,4.23846e-06
1820.0,3.91196e-06
1830.0,3.5515e-06
1836.300171,3.30632e-06
1840.0,3.20129e-06
1850.0,2.89838e-06
1860.0,2.56663e-06
1867.183105,2.30987e-06
1870.0,2.23966e-06
1880.0,1.9761e-06
1890.0,1.68939e-06
1898.585571,1.42409e-06
1900.0,1.39588e-06
1910.0,1.20703e-06
1920.0,9.93263e-07
1930.0,7.53266e-07
1930.515991,7.40146e-07
1940.0,6.09438e-07
1950.0,4.55938e-07
1960.0,2.85562e-07
1962.983521,2.31342e-07
1970.0,1.88771e-07
1980.0,1.22664e-07
1990.0,4.99055e-08
