Wavelength,Transmission
1160.0,3.42655e-05
1170.0,5.73162e-05
1180.0,8.22026e-05
1190.0,0.000102119
1200.0,0.000121431
1210.0,0.000138514
1216.0,0.000146191
1220.0,0.000152339
1230.0,0.000219602
1235.0,0.000678129
1240.0,0.00148285
1250.0,0.00309453
1260.0,0.00372802
1270.0,0.00397851
1280.0,0.00421067
1290.0,0.00429477
1300.0,0.00439748
1310.0,0.00449097
1320.0,0.00457677
1330.0,0.00462225
1340.0,0.00466132
1350.0,0.00472934
1354.0,0.00475511
1360.0,0.00478864
1370.0,0.0048082
1380.0,0.00482635
1390.0,0.00484411
1400.0,0.00486297
1410.0,0.00489041
1420.0,0.00491826
1430.0,0.00494424
1440.0,0.00496666
1450.0,0.00498313
1460.0,0.00498465
1470.0,0.00497604
1480.0,0.00495466
1487.0,0.00492962
1490.0,0.00493648
1500.0,0.00494171
1510.0,0.00489626
1520.0,0.00483344
1530.0,0.00475773
1540.0,0.00467298
1545.0,0.00462904
1550.0,0.00455051
1560.0,0.004398
1570.0,0.00425376
1580.0,0.00412061
1590.0,0.00400199
1600.0,0.00390033
1610.0,0.0038087
1620.0,0.00373758
1630.0,0.0036873
1640.0,0.00365814
1648.0,0.00365234
1650.0,0.00365425
1660.0,0.00369082
1670.0,0.00374857
1680.0,0.00382582
1690.0,0.00392096
1700.0,0.00403236
1710.0,0.00414889
1720.0,0.00427867
1730.0,0.00441994
1740.0,0.00457162
1750.0,0.00473235
1760.0,0.00485748
1770.0,0.00498749
1780.0,0.00512245
1790.0,0.0052622
1800.0,0.00540707
1810.0,0.00556307
1820.0,0.0057245
1830.0,0.0058913
1840.0,0.00606363
1850.0,0.00624144
1860.0,0.0064249
1870.0,0.0066142
1879.0,0.00678963
1880.0,0.00680647
1890.0,0.00697853
1900.0,0.00715471
1910.0,0.00731875
1920.0,0.00748627
1930.0,0.00765686
1940.0,0.00783076
1950.0,0.00800729
1960.0,0.008187
1970.0,0.00836881
1980.0,0.00855328
1990.0,0.00873965
2000.0,0.00892776
2010.0,0.00916223
2020.0,0.00940034
2030.0,0.00964065
2040.0,0.00988321
2050.0,0.0101272
2060.0,0.010372
2070.0,0.0106163
2080.0,0.01086
2090.0,0.0111017
2100.0,0.0113407
2110.0,0.0115763
2120.0,0.0118071
2130.0,0.0120315
2138.0,0.0122053
2140.0,0.0122527
2150.0,0.0124802
2160.0,0.012698
2170.0,0.0129051
2180.0,0.0130989
2190.0,0.0132788
2200.0,0.0134427
2210.0,0.013992
2220.0,0.0145376
2230.0,0.0150786
2240.0,0.0156141
2250.0,0.0161437
2260.0,0.0166661
2270.0,0.0171824
2280.0,0.017692
2290.0,0.0181975
2296.0,0.0184979
2300.0,0.0187111
2310.0,0.0192423
2320.0,0.0197713
2330.0,0.0202981
2340.0,0.0208221
2350.0,0.0213432
2360.0,0.0218601
2370.0,0.0223721
2380.0,0.0228783
2390.0,0.0233789
2400.0,0.0238724
2410.0,0.0243583
2420.0,0.0248379
2430.0,0.0253111
2440.0,0.0257788
2450.0,0.0262428
2460.0,0.0267033
2470.0,0.0271615
2480.0,0.0276188
2490.0,0.0280762
2500.0,0.0285363
2510.0,0.0289767
2520.0,0.0294213
2530.0,0.0298689
2537.0,0.0301861
2540.0,0.0302488
2550.0,0.0304576
2560.0,0.0306663
2570.0,0.0308748
2580.0,0.0310846
2590.0,0.0312967
2600.0,0.0315108
2610.0,0.0317274
2620.0,0.0319475
2630.0,0.0321696
2640.0,0.0323944
2650.0,0.0326194
2660.0,0.0328462
2670.0,0.0330733
2680.0,0.0332994
2690.0,0.0335259
2700.0,0.0337504
2710.0,0.0341922
2720.0,0.0346366
2730.0,0.0350845
2740.0,0.0355339
2750.0,0.0359858
2760.0,0.036097
2770.0,0.0362064
2780.0,0.0363151
2790.0,0.036421
2800.0,0.0365238
2810.0,0.0366241
2820.0,0.0367211
2830.0,0.0368146
2840.0,0.0369063
2850.0,0.0369938
2860.0,0.0370798
2870.0,0.0371633
2880.0,0.0372433
2890.0,0.0373223
2900.0,0.0373982
2910.0,0.0372126
2920.0,0.0370233
2930.0,0.0368314
2940.0,0.0366362
2950.0,0.0364401
2960.0,0.0362399
2970.0,0.0360392
2980.0,0.0358359
2990.0,0.0356303
3000.0,0.0354236
3010.0,0.0352187
3020.0,0.0350129
3030.0,0.0348052
3040.0,0.0345955
3050.0,0.0343848
3060.0,0.0341723
3070.0,0.0339589
3080.0,0.0337448
3090.0,0.0335287
3100.0,0.0333118
3110.0,0.0334965
3120.0,0.0336817
3130.0,0.0338674
3140.0,0.0340527
3150.0,0.0342397
3160.0,0.0344262
3170.0,0.0346134
3180.0,0.0348
3190.0,0.0349885
3200.0,0.0351764
3210.0,0.035365
3220.0,0.0355554
3230.0,0.0357453
3240.0,0.0359359
3250.0,0.0361284
3260.0,0.0363204
3270.0,0.0365132
3280.0,0.0367079
3290.0,0.0369021
3300.0,0.0370983
3310.0,0.0372953
3320.0,0.0374931
3330.0,0.0376917
3340.0,0.0378923
3350.0,0.0380939
3360.0,0.0382963
3370.0,0.0384996
3380.0,0.0387051
3390.0,0.0389116
3400.0,0.0391202
3410.0,0.0393299
3420.0,0.0395406
3430.0,0.0397536
3440.0,0.0399689
3450.0,0.0401855
3460.0,0.0404044
3470.0,0.0406245
3480.0,0.0408472
3490.0,0.0410724
3500.0,0.0412989
3510.0,0.0415281
3520.0,0.0417599
3530.0,0.041993
3540.0,0.0422302
3550.0,0.0424673
3560.0,0.042707
3570.0,0.0429495
3580.0,0.0431931
3590.0,0.0434394
3600.0,0.0436871
3610.0,0.0439372
3620.0,0.0441873
3630.0,0.0444414
3640.0,0.0446954
3650.0,0.0449505
3660.0,0.0452082
3670.0,0.0454671
3680.0,0.0457272
3690.0,0.0459883
3700.0,0.0462507
3710.0,0.0465141
3720.0,0.0467787
3730.0,0.0470443
3740.0,0.0473109
3750.0,0.0475786
3760.0,0.0478473
3770.0,0.0481155
3780.0,0.0483861
3790.0,0.0486562
3800.0,0.0489256
3810.0,0.0491975
3820.0,0.0494687
3830.0,0.0497391
3840.0,0.0500105
3850.0,0.0502824
3860.0,0.0505536
3870.0,0.0508239
3880.0,0.0510948
3890.0,0.0513648
3900.0,0.0516353
