Wavelength,Transmission
1648.0,3.00705e-05
1650.0,3.75902e-05
1660.0,7.56645e-05
1670.0,0.000114867
1680.0,0.000155764
1690.0,0.00019885
1700.0,0.000244545
1710.0,0.000342677
1720.0,0.000447098
1730.0,0.000558436
1740.0,0.000688842
1750.0,0.000827952
1760.0,0.000967514
1770.0,0.0010918
1780.0,0.00122216
1790.0,0.00135885
1800.0,0.00144158
1810.0,0.00152791
1820.0,0.00161809
1830.0,0.00167843
1840.0,0.00174105
1850.0,0.00180595
1860.0,0.00183921
1870.0,0.00187308
1879.0,0.00190407
1880.0,0.00190671
1890.0,0.0019337
1900.0,0.00196086
1910.0,0.00198827
1920.0,0.00199459
1930.0,0.00199995
1940.0,0.00200438
1950.0,0.00200138
1960.0,0.00199703
1970.0,0.00199101
1980.0,0.00197649
1990.0,0.00195988
2000.0,0.00194109
2010.0,0.00190562
2020.0,0.00186659
2030.0,0.00182365
2040.0,0.00175657
2050.0,0.00168438
2060.0,0.00160694
2070.0,0.00151173
2080.0,0.00141055
2090.0,0.00130329
2100.0,0.00119913
2110.0,0.0010893
2120.0,0.00097383
2130.0,0.000880663
2138.0,0.000802889
2140.0,0.000783318
2150.0,0.000682416
2160.0,0.000625075
2170.0,0.000565003
2180.0,0.000502289
2190.0,0.00043713
2200.0,0.000391857
2210.0,0.00035472
2220.0,0.000327215
2230.0,0.000296586
2240.0,0.000273773
2250.0,0.000248641
2260.0,0.000229684
2270.0,0.000209412
2280.0,0.000193733
2290.0,0.00017679
2296.0,0.000169156
2300.0,0.000163996
2310.0,0.000150167
2320.0,0.000139752
2330.0,0.000128569
2340.0,0.0001198
2350.0,0.000110429
2360.0,0.000103016
2370.0,9.51229e-05
2380.0,8.88957e-05
2390.0,8.22916e-05
2400.0,7.72657e-05
2410.0,7.13802e-05
2420.0,6.69313e-05
2430.0,6.22504e-05
2440.0,5.85453e-05
2450.0,5.43591e-05
2460.0,5.12317e-05
2470.0,4.79662e-05
2480.0,4.52073e-05
2490.0,4.26621e-05
2500.0,4.03495e-05
2510.0,3.79478e-05
2520.0,3.58005e-05
2530.0,3.39205e-05
2537.0,3.28103e-05
2540.0,3.22471e-05
2550.0,2.99976e-05
2560.0,2.87805e-05
2570.0,2.68284e-05
2580.0,2.5569e-05
2590.0,2.4292e-05
2600.0,2.29969e-05
2610.0,2.16839e-05
2620.0,2.10932e-05
2630.0,1.97485e-05
2640.0,1.91352e-05
2650.0,1.81339e-05
2660.0,1.74984e-05
2670.0,1.68527e-05
2680.0,1.6196e-05
2690.0,1.55291e-05
