Wavelength,Transmission
7221.0,2.35333e-05
7222.0,3.52833e-05
7223.0,4.70222e-05
7224.0,7.05001e-05
7225.0,9.39557e-05
7226.0,0.000129128
7227.0,0.000164267
7228.0,0.000211101
7229.0,0.000281335
7230.0,0.000351503
7231.0,0.000445025
7232.0,0.000550164
7233.0,0.000690303
7234.0,0.000853697
7235.0,0.00107538
7236.0,0.0013319
7237.0,0.00169328
7238.0,0.00215936
7239.0,0.00271833
7240.0,0.00340505
7241.0,0.00428926
7242.0,0.00537069
7243.0,0.00669563
7244.0,0.00835685
7245.0,0.0102724
7246.0,0.0127327
7247.0,0.0156207
7248.0,0.0193656
7249.0,0.0238501
7250.0,0.0289455
7251.0,0.03508
7252.0,0.0418465
7253.0,0.0490817
7254.0,0.0566576
7255.0,0.0634621
7256.0,0.0700055
7257.0,0.0753744
7258.0,0.0799172
7259.0,0.0832192
7260.0,0.085744
7261.0,0.0877008
7262.0,0.0892517
7263.0,0.0904782
7264.0,0.0913922
7265.0,0.092144
7266.0,0.0928143
7267.0,0.0935301
7268.0,0.0945444
7269.0,0.0955576
7270.0,0.0966504
7271.0,0.0978228
7272.0,0.099109
7273.0,0.100302
7274.0,0.101173
7275.0,0.101871
7276.0,0.102373
7277.0,0.102588
7278.0,0.102746
7279.0,0.102709
7280.0,0.102568
7281.0,0.102302
7282.0,0.101762
7283.0,0.101085
7284.0,0.100181
7285.0,0.0990258
7286.0,0.0977807
7287.0,0.0963885
7288.0,0.0947695
7289.0,0.0934142
7290.0,0.092117
7291.0,0.0910832
7292.0,0.0903916
7293.0,0.0899963
7294.0,0.0896923
7295.0,0.0893431
7296.0,0.0887103
7297.0,0.0877149
7298.0,0.0856653
7299.0,0.0826537
7300.0,0.0784209
7301.0,0.0730026
7302.0,0.0666609
7303.0,0.0598498
7304.0,0.0524003
7305.0,0.045071
7306.0,0.0379407
7307.0,0.0315288
7308.0,0.0256424
7309.0,0.02045
7310.0,0.0160635
7311.0,0.0123351
7312.0,0.00933148
7313.0,0.00701784
7314.0,0.00516801
7315.0,0.00383761
7316.0,0.00281217
7317.0,0.002125
7318.0,0.00160704
7319.0,0.00122437
7320.0,0.000943107
7321.0,0.000729439
7322.0,0.000583274
7323.0,0.000448459
7324.0,0.000369803
7325.0,0.000291221
7326.0,0.000235106
7327.0,0.000190233
7328.0,0.000156588
7329.0,0.000122975
7330.0,0.000100568
7331.0,7.81826e-05
7332.0,5.58183e-05
7333.0,4.46336e-05
7334.0,3.34593e-05
7335.0,2.22957e-05
