Wavelength,Transmission
8000.0,6.67578e-06
8010.0,1.27034e-05
8020.0,1.86447e-05
8030.0,2.45e-05
8040.0,3.02699e-05
8050.0,3.59548e-05
8060.0,4.15549e-05
8070.0,4.70708e-05
8080.0,5.25029e-05
8090.0,5.78517e-05
8100.0,6.31174e-05
8110.0,6.83005e-05
8120.0,7.34015e-05
8130.0,7.84208e-05
8140.0,8.33587e-05
8150.0,8.82157e-05
8160.0,9.29922e-05
8170.0,9.76887e-05
8180.0,0.000102305
8190.0,0.000106843
8200.0,0.000111302
8210.0,0.000115682
8220.0,0.000119984
8230.0,0.000124209
8240.0,0.000128356
8250.0,0.000132427
8260.0,0.000136421
8270.0,0.000140339
8280.0,0.000144182
8290.0,0.000147949
8300.0,0.000151642
8310.0,0.00015526
8320.0,0.000158805
8330.0,0.000162276
8340.0,0.000165674
8350.0,0.000168999
8360.0,0.000173131
8370.0,0.000177229
8380.0,0.000181292
8390.0,0.000185319
8400.0,0.00018931
8410.0,0.000193265
8420.0,0.000197183
8430.0,0.000201064
8440.0,0.000204907
8450.0,0.000208712
8460.0,0.000212479
8470.0,0.000216207
8480.0,0.000219895
8490.0,0.000223544
8500.0,0.000227153
8510.0,0.000230649
8520.0,0.0002341
8530.0,0.000237507
8540.0,0.000240869
8550.0,0.000244185
8560.0,0.000247456
8570.0,0.000250679
8580.0,0.000253856
8590.0,0.000256986
8600.0,0.000260068
8610.0,0.000263102
8620.0,0.000266087
8630.0,0.000269022
8640.0,0.000271909
8650.0,0.000274745
8660.0,0.000277479
8670.0,0.00028016
8680.0,0.00028279
8690.0,0.000285367
8700.0,0.000287891
8710.0,0.000290361
8720.0,0.000292777
8730.0,0.000295139
8740.0,0.000297445
8750.0,0.000299697
8760.0,0.000301892
8770.0,0.000304031
8780.0,0.000306113
8790.0,0.000308138
8800.0,0.000310106
8802.0,0.000323649
8810.0,0.000323525
8820.0,0.000323339
8821.0,0.000323318
8830.0,0.000321498
8840.0,0.000319463
8848.0,0.000317827
8850.0,0.000319667
8851.0,0.000320585
8853.0,0.00032354
8855.0,0.000339949
8859.0,0.000365919
8860.0,0.000348906
8861.0,0.000362088
8862.0,0.000375252
8863.0,0.000398444
8864.0,0.000394835
8865.0,0.000417983
8866.0,0.00044444
8867.0,0.00048422
8868.0,0.000507261
8869.0,0.000553616
8870.0,0.000599908
8871.0,0.000629486
8872.0,0.000698964
8873.0,0.000775002
8874.0,0.000870881
8875.0,0.000986562
8876.0,0.00107221
8877.0,0.00125063
8878.0,0.0013824
8879.0,0.00161337
8880.0,0.001801
8881.0,0.00207108
8882.0,0.00230443
8883.0,0.00271257
8884.0,0.00296827
8885.0,0.0034678
8886.0,0.00385453
8887.0,0.00450764
8888.0,0.00493594
8889.0,0.00574208
8890.0,0.00622814
8891.0,0.00718016
8892.0,0.00775323
8893.0,0.00876197
8894.0,0.0094709
8895.0,0.0106049
8896.0,0.0114065
8897.0,0.0126096
8898.0,0.0134283
8899.0,0.0146087
8900.0,0.0154119
8901.0,0.0166186
8902.0,0.0174388
8903.0,0.0185023
8904.0,0.0192548
8905.0,0.0203481
8906.0,0.0210137
8907.0,0.0219449
8908.0,0.022511
8909.0,0.0233035
8910.0,0.0237868
8911.0,0.0244864
8912.0,0.0249389
8913.0,0.0254685
8914.0,0.025829
8915.0,0.0262569
8916.0,0.0265292
8917.0,0.0269075
8918.0,0.0271562
8919.0,0.0274626
8920.0,0.0276461
8921.0,0.0278905
8922.0,0.0281409
8923.0,0.0283587
8924.0,0.0285923
8925.0,0.0287068
8926.0,0.0288403
8927.0,0.0289447
8928.0,0.0290137
8929.0,0.0290634
8930.0,0.0291737
8931.0,0.0291273
8932.0,0.0291255
8933.0,0.0290919
8934.0,0.0290773
8935.0,0.0289672
8936.0,0.0289144
8937.0,0.0287313
8938.0,0.0286756
8939.0,0.0284546
8940.0,0.0284213
8941.0,0.0282135
8942.0,0.0281264
8943.0,0.0279603
8944.0,0.0277974
8945.0,0.0276759
8946.0,0.027504
8947.0,0.0272027
8948.0,0.0270092
8949.0,0.0266172
8950.0,0.0262731
8951.0,0.025784
8952.0,0.0254027
8953.0,0.0246854
8954.0,0.0242708
8955.0,0.0233701
8956.0,0.0227186
8957.0,0.0216605
8958.0,0.0208703
8959.0,0.0195303
8960.0,0.0187084
8961.0,0.0173032
8962.0,0.0162562
8963.0,0.0148238
8964.0,0.0138645
8965.0,0.0123644
8966.0,0.0114021
8967.0,0.00999331
8968.0,0.00910582
8969.0,0.00767604
8970.0,0.00692205
8971.0,0.00589935
8972.0,0.00520985
8973.0,0.00438205
8974.0,0.0038526
8975.0,0.00320337
8976.0,0.00278686
8977.0,0.00233087
8978.0,0.00204216
8979.0,0.0017015
8980.0,0.00148457
8981.0,0.00123412
8982.0,0.0011163
8983.0,0.000974072
8984.0,0.000896548
8985.0,0.000751649
8986.0,0.000631501
8987.0,0.000566677
8988.0,0.000532562
8989.0,0.000483208
8990.0,0.000458378
8991.0,0.00041832
8992.0,0.00039358
8993.0,0.000347539
8994.0,0.000359447
8995.0,0.000340898
8996.0,0.000346708
8997.0,0.000325159
8998.0,0.00030668
9000.0,0.000230096
9010.0,4.45225e-05
9020.0,2.23865e-05
9030.0,1.59912e-05
9040.0,1.55697e-05
9050.0,1.54437e-05
9060.0,1.56061e-05
9070.0,1.5763e-05
9080.0,1.42093e-05
9090.0,1.38062e-05
9100.0,1.45247e-05
9110.0,1.24592e-05
9120.0,1.31716e-05
9130.0,1.41405e-05
9140.0,1.34723e-05
9150.0,1.33474e-05
9160.0,1.32218e-05
9170.0,1.38813e-05
9180.0,1.4525e-05
9190.0,1.07867e-05
9200.0,1.19504e-05
9210.0,1.30879e-05
9220.0,1.34516e-05
9230.0,1.15858e-05
9240.0,1.29264e-05
9250.0,1.32699e-05
9260.0,1.24071e-05
9270.0,1.15597e-05
9280.0,1.14275e-05
9290.0,1.17558e-05
9300.0,1.13893e-05
9310.0,1.12527e-05
9320.0,1.06709e-05
9330.0,1.05387e-05
9340.0,1.06226e-05
9350.0,1.13425e-05
9360.0,1.24619e-05
9370.0,7.91983e-06
9380.0,1.02801e-05
9390.0,1.01388e-05
9400.0,9.3971e-06
9410.0,1.00515e-05
