Wavelength,Transmission
1160.0,2.19418e-05
1170.0,3.67022e-05
1180.0,5.2638e-05
1190.0,6.53911e-05
1200.0,7.77575e-05
1210.0,8.86968e-05
1216.0,9.41187e-05
1220.0,9.84285e-05
1230.0,0.000107366
1240.0,0.00011473
1250.0,0.000120763
1260.0,0.000125786
1270.0,0.000129935
1280.0,0.000133317
1290.0,0.000136077
1300.0,0.000138374
1310.0,0.000140366
1320.0,0.000142109
1330.0,0.000143642
1340.0,0.000144975
1350.0,0.000146159
1354.0,0.000146588
1360.0,0.000147074
1370.0,0.000147806
1380.0,0.000148494
1390.0,0.000149169
1400.0,0.000149877
1410.0,0.000150644
1420.0,0.000151424
1430.0,0.000152147
1440.0,0.00015276
1450.0,0.000153192
1460.0,0.000153364
1470.0,0.000153224
1480.0,0.000152688
1487.0,0.000152
1490.0,0.000152247
1500.0,0.000152527
1510.0,0.000151433
1520.0,0.00014979
1530.0,0.000147737
1540.0,0.000145391
1545.0,0.000144164
1550.0,0.000141855
1560.0,0.000137364
1570.0,0.00013311
1580.0,0.000129185
1590.0,0.000125699
1600.0,0.00012273
1610.0,0.000120354
1620.0,0.000118602
1630.0,0.000117493
1640.0,0.000117044
1648.0,0.00011724
1650.0,0.000117397
1660.0,0.000118909
1670.0,0.000121111
1680.0,0.000123951
1690.0,0.000127385
1700.0,0.000131363
1710.0,0.000135844
1720.0,0.000140798
1730.0,0.000146173
1740.0,0.000151939
1750.0,0.000158055
1760.0,0.000163026
1770.0,0.000168202
1780.0,0.000173585
1790.0,0.000179173
1800.0,0.00018498
1810.0,0.000190992
1820.0,0.000197226
1830.0,0.000203682
1840.0,0.000210366
1850.0,0.000217278
1860.0,0.000224427
1870.0,0.00023182
1879.0,0.000238688
1880.0,0.000239359
1890.0,0.000246227
1900.0,0.000253276
1910.0,0.000260523
1920.0,0.000305151
1930.0,0.000326504
1940.0,0.000378769
1950.0,0.000384305
1960.0,0.000407117
1970.0,0.000419582
1980.0,0.000434225
1990.0,0.000453518
2000.0,0.000459222
2010.0,0.000471739
2020.0,0.000478601
2030.0,0.000507052
2040.0,0.000538809
2050.0,0.00056559
2060.0,0.000609742
2070.0,0.000617845
2080.0,0.000676052
2090.0,0.000722139
2100.0,0.000764541
2110.0,0.000807134
2120.0,0.000864366
2130.0,0.000906351
2138.0,0.00093812
2140.0,0.00094645
2150.0,0.0010101
2160.0,0.0010603
2170.0,0.00109937
2180.0,0.00115106
2190.0,0.00118889
2200.0,0.00123812
2210.0,0.00132462
2220.0,0.00141676
2230.0,0.00151684
2240.0,0.00160942
2250.0,0.00170746
2260.0,0.00181786
2270.0,0.00193397
2280.0,0.00205083
2290.0,0.00217204
2296.0,0.00224657
2300.0,0.00229853
2310.0,0.00244229
2320.0,0.00258166
2330.0,0.00273713
2340.0,0.00288553
2350.0,0.00304858
2360.0,0.00320048
2370.0,0.00337143
2380.0,0.00354785
2390.0,0.00371441
2400.0,0.00389563
2410.0,0.00405977
2420.0,0.00423081
2430.0,0.00440702
2440.0,0.00458269
2450.0,0.00476209
2460.0,0.00492619
2470.0,0.00510019
2480.0,0.00528723
2490.0,0.00546207
2500.0,0.00562708
2510.0,0.00581834
2520.0,0.00598882
2530.0,0.00617323
2537.0,0.00630499
2540.0,0.00634653
2550.0,0.0064808
2560.0,0.00660529
2570.0,0.00674436
2580.0,0.0068796
2590.0,0.00701686
2600.0,0.0071563
2610.0,0.00728687
2620.0,0.00743442
2630.0,0.00757259
2640.0,0.00772153
2650.0,0.00786936
2660.0,0.00800625
2670.0,0.00815495
2680.0,0.00831383
2690.0,0.00845166
2700.0,0.00858439
2710.0,0.0087926
2720.0,0.00900451
